,volume_kalman,moving_average,fisher,raw_price
2024-12-15 14:45:00,3907.080078125,,,3907.08
2024-12-15 15:00:00,3903.645544559906,,,3891.69
2024-12-15 15:15:00,3902.124063244521,,,3901.79
2024-12-15 15:30:00,3899.280959468209,,,3897.01
2024-12-15 15:45:00,3896.298882031179,,,3894.76
2024-12-15 16:00:00,3894.7404379492077,,,3895.5
2024-12-15 16:15:00,3894.406202214048,,,3896.5
2024-12-15 16:30:00,3901.0655253894756,,,3910.49
2024-12-15 16:45:00,3905.8482743070676,,,3911.81
2024-12-15 17:00:00,3911.3001227037657,,,3915.99
2024-12-15 17:15:00,3911.300157279569,,,3907.49
2024-12-15 17:30:00,3913.7491044298235,,,3914.39
2024-12-15 17:45:00,3913.5613439696644,,,3910.41
2024-12-15 18:00:00,3907.90494955003,,,3899.08
2024-12-15 18:15:00,3903.626444254249,,,3898.9
2024-12-15 18:30:00,3901.499908291127,,,3900.45
2024-12-15 18:45:00,3899.4887399465756,,,3898.82
2024-12-15 19:00:00,3900.083396212108,,,3902.8
2024-12-15 19:15:00,3903.9575129490927,,,3910.86
2024-12-15 19:30:00,3905.590957079347,3903.6525024414063,,3907.23
2024-12-15 19:45:00,3905.2566206399397,3903.5030029296877,,3904.09
2024-12-15 20:00:00,3903.8915505962214,3904.01201171875,,3901.87
2024-12-15 20:15:00,3904.562984173445,3904.2080078125,,3905.71
2024-12-15 20:30:00,3903.2276266237945,3904.4340087890623,,3901.53
2024-12-15 20:45:00,3898.031746802795,3904.296008300781,,3892.0
2024-12-15 21:00:00,3886.514212099518,3903.2470092773438,,3874.52
2024-12-15 21:15:00,3867.098281348094,3900.96201171875,,3850.8
2024-12-15 21:30:00,3861.5988701391643,3898.6800170898437,-0.34591625233439827,3864.85
2024-12-15 21:45:00,3855.040202882192,3895.901013183594,-0.6273281628962664,3856.23
2024-12-15 22:00:00,3855.5719411564305,3893.368017578125,-0.37227313045100685,3865.33
2024-12-15 22:15:00,3863.2683778980454,3891.897021484375,0.02404617105127471,3878.07
2024-12-15 22:30:00,3871.3344751622753,3890.396520996094,0.08642696319466434,3884.38
2024-12-15 22:45:00,3879.3235808043573,3889.3365234375,0.0019747552614753474,3889.21
2024-12-15 23:00:00,3891.8060261741616,3889.453515625,0.4475289008927084,3901.42
2024-12-15 23:15:00,3917.5386044163893,3891.4690185546874,2.2975599250672945,3939.21
2024-12-15 23:30:00,3939.642366832774,3894.1215209960938,2.2975599250672945,3953.5
2024-12-15 23:45:00,3956.170967581083,3897.1350219726564,2.2975599250672945,3959.09
2024-12-16 00:00:00,3964.9549824322594,3899.8855224609374,2.2975599250672945,3957.81
2024-12-16 00:15:00,3976.183995383094,3903.042517089844,2.2975599250672945,3974.0
2024-12-16 00:30:00,3989.733281289879,3907.2210205078127,2.2975599250672945,3990.8
2024-12-16 00:45:00,4001.4447057409284,3912.0300170898436,2.2975599250672945,4000.27
2024-12-16 01:00:00,4010.417253830881,3917.2260131835938,1.5460136506556053,4005.79
2024-12-16 01:15:00,4014.3720258087737,3922.2110107421877,2.2975599250672945,4005.41
2024-12-16 01:30:00,4010.897947401056,3926.994006347656,1.1755783515664864,3997.19
2024-12-16 01:45:00,4013.5960284116622,3932.8735107421876,1.1527423965780417,4009.59
2024-12-16 02:00:00,4008.885885990066,3938.9840087890625,0.7481430147241959,3996.73
2024-12-16 02:15:00,3990.107552778459,3944.7085083007814,0.29604851929768755,3965.29
2024-12-16 02:30:00,3981.2774611462046,3950.1805053710937,0.2607376206568673,3974.29
2024-12-16 02:45:00,3974.1010224632482,3955.9295043945312,-0.13633027154527477,3971.21
2024-12-16 03:00:00,3970.2772071683007,3961.2824951171874,-0.2653137752991792,3972.39
2024-12-16 03:15:00,3963.7183404690345,3965.4764892578123,-0.4347733153888883,3961.95
2024-12-16 03:30:00,3952.1414207172134,3968.497998046875,-0.6292698836587818,3944.81
2024-12-16 03:45:00,3943.900904800967,3971.1675048828124,-0.9252045348648898,3942.6
2024-12-16 04:00:00,3943.5577851270077,3973.7360107421873,-1.0671870224339934,3952.79
2024-12-16 04:15:00,3945.5443212774617,3974.5445068359377,-2.2975599250672945,3955.38
2024-12-16 04:30:00,3947.147294396313,3974.5595092773438,-2.2975599250672945,3953.8
2024-12-16 04:45:00,3949.317125718591,3974.3550048828124,-2.2975599250672945,3955.0
2024-12-16 05:00:00,3954.027740677439,3974.5315063476564,-1.2389548535096941,3961.34
2024-12-16 05:15:00,3957.4444961125937,3973.8815063476563,-2.0405148389288508,3961.0
2024-12-16 05:30:00,3963.2236461234834,3972.776501464844,-1.0194592870714985,3968.7
2024-12-16 05:45:00,3966.176702496884,3971.106005859375,-0.5276011374844354,3966.86
2024-12-16 06:00:00,3970.7554423233764,3969.4859985351563,-0.5594626176406754,3973.39
2024-12-16 06:15:00,3968.6976751046936,3967.318005371094,-0.6744508214523044,3962.05
2024-12-16 06:30:00,3967.723031169904,3965.6805053710937,-0.65662231372538,3964.44
2024-12-16 06:45:00,3963.670355127692,3963.09150390625,-0.6030015235490568,3957.81
2024-12-16 07:00:00,3965.224185625093,3961.6285034179687,-0.28445394444511785,3967.47
2024-12-16 07:15:00,3971.92450587358,3962.3515014648438,-0.13580991184555447,3979.75
