,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
adx_7_slope,0.005326992,0.0024081662,0.01178359,19.166666,6.4657216,56.816723,297.19952,125.71807,702.5844,0.038875476,0.016473247,0.09174285,0.10489811,0.03923676,0.28044143,109.0,0.0,0.94330925,0.2730204,0.20238096,0.33333334,0.18484747,93.0,44.666668,0.25999886,92.0
ft_drop_8,0.005350116,0.0026236644,0.010909834,22.0,5.033223,96.16105,287.33588,127.80033,646.02264,0.03739577,0.016920067,0.082650006,0.11663453,0.069341265,0.19618352,119.0,0.0,0.94330925,0.27449793,0.22916667,0.33333334,0.0,76.0,43.166668,0.25826553,93.0
clv_pullback,0.0061821225,0.0030960059,0.012344498,14.833333,4.3748016,50.294346,261.17883,132.2498,515.79956,0.041446947,0.020726297,0.0828826,0.09562684,0.056548275,0.16171125,120.0,0.0,0.94330925,0.3276589,0.110119045,0.33333334,0.0,102.0,49.833332,0.25774217,94.0
reversion_target_distance,0.0047616465,0.0010863988,0.020870121,15.833333,2.114763,118.54494,254.51323,69.8009,928.025,0.03485854,0.0099413125,0.122229114,0.09359296,0.030006494,0.29192486,58.0,0.0,0.94330925,0.2368977,0.5029762,0.0,0.0,81.0,27.833334,0.25603777,95.0
flow_ratio,0.004460831,0.0011513378,0.017283386,14.833333,2.9107082,75.59252,218.08711,61.694836,770.92334,0.030905437,0.0095830895,0.09966995,0.079362035,0.027587181,0.2283065,77.0,0.0,0.94330925,0.21767715,0.54464287,0.0,0.0,111.0,25.5,0.25588316,96.0
vp_dist_lvn_below_atr,0.0030180204,0.0010387935,0.008768295,12.333333,1.9720266,77.134415,157.83386,35.34372,704.8362,0.020354917,0.004580385,0.09045585,0.057347786,0.026165202,0.12569246,122.0,0.0,0.94330925,0.12548889,0.6666667,0.0,0.399851,156.5,18.666666,0.25567812,97.0
decel_8,0.0047594374,0.0014057535,0.016113952,21.666666,3.3499587,140.1344,260.86188,72.27426,941.5375,0.033829723,0.009658074,0.118496716,0.097226635,0.03817938,0.24759488,69.0,0.0,0.94330925,0.23675656,0.39880952,0.16666667,0.0,69.5,33.666668,0.2549185,98.0
progress,0.0053010294,0.0027353906,0.010273089,12.333333,4.606758,33.01912,278.21545,162.59735,476.0461,0.040652763,0.02516963,0.06566037,0.11103355,0.07751897,0.15903783,136.0,0.0,0.94330925,0.27136153,0.3184524,0.16666667,0.0,102.5,38.166668,0.25386193,99.0
ffd_vol_price_corr_10h_04,0.004001985,0.0009640897,0.01661244,13.166667,2.477678,69.969185,217.48572,68.559166,689.9156,0.028960463,0.009153833,0.09162374,0.07846497,0.030958336,0.19887216,92.0,0.0,0.94330925,0.1883592,0.5952381,0.0,0.0,97.5,22.666666,0.25240707,100.0
signed_max_bar_ret_5h,0.0036853633,0.00092507264,0.014681985,11.0,2.9439204,41.101658,184.32208,37.23379,912.4676,0.026117038,0.005781948,0.117970556,0.06595921,0.020888787,0.20827523,73.0,0.0,0.94330925,0.1681287,0.6279762,0.0,0.0,128.5,20.833334,0.24946484,101.0
up_down_semivol_ratio_tanh,0.004302468,0.0008461936,0.021875883,16.0,2.6457512,96.7589,238.84807,58.168907,980.73706,0.030954204,0.0076436843,0.12535352,0.0862941,0.022823546,0.32627147,54.0,0.0,0.94330925,0.20755856,0.5327381,0.0,0.0,103.5,26.166666,0.24734172,102.0
dir_path_risk_short_2h,0.0038327111,0.00064642704,0.02272441,12.333333,1.4907119,102.03924,211.2223,50.56221,882.3756,0.027620716,0.005431164,0.14046785,0.07864799,0.02750283,0.22490439,56.0,0.0,0.94330925,0.17754348,0.5922619,0.0,0.0,100.5,22.833334,0.2457144,103.0
rsi_1h_slope,0.0034168619,0.00074624404,0.015644941,12.0,2.9439204,48.914368,187.71068,59.10092,596.18866,0.025569428,0.007872603,0.08304695,0.06765073,0.027928678,0.16386814,101.0,0.0,0.94330925,0.15097283,0.57738096,0.0,0.35896748,131.5,23.666666,0.24532868,104.0
rolling_range_20,0.0047635976,0.0021894358,0.010364251,15.166667,4.0585985,56.67665,263.57678,123.18844,563.95496,0.034931883,0.016333206,0.074708946,0.105791174,0.06779164,0.16509075,125.0,0.0,0.94330925,0.23702237,0.32738096,0.16666667,0.14494316,106.5,37.666668,0.24445471,105.0
impact_12,0.0036672526,0.0008894476,0.015120331,15.0,3.2145503,69.99424,209.67595,54.51127,806.51215,0.026377441,0.006849029,0.101586565,0.078709714,0.030899381,0.20049655,80.0,0.0,0.94330925,0.16697152,0.61011904,0.0,0.0,98.5,21.833334,0.2443641,106.0
vol_compression,0.0027861935,0.0005661961,0.013710573,12.166667,2.9107082,50.856274,154.32396,36.520454,652.1245,0.019742621,0.0044813068,0.0869771,0.05335116,0.019213866,0.1481402,104.0,0.0,0.94330925,0.11067634,0.7083333,0.0,0.11661252,136.5,16.333334,0.24378595,107.0
ffd_rv_24_06,0.0010540312,0.00030974238,0.0035867926,4.8333335,1.5723302,14.857637,58.997314,17.189953,202.48357,0.008018331,0.00251293,0.025585124,0.014474063,0.007085846,0.029565774,195.0,0.0,0.94330925,0.0,0.9047619,0.0,0.3516492,196.0,5.3333335,0.24377294,108.0
ffd_rv_6h_06,0.0014629057,0.00045674955,0.004685485,6.6666665,2.0548046,21.629522,82.97232,26.79815,256.89853,0.010818337,0.0036137332,0.03238657,0.024931768,0.012427146,0.05001897,186.0,0.0,0.94330925,0.026124993,0.85714287,0.0,0.29876992,189.0,8.0,0.24359295,109.0
