phase,quantile,entry_offset_mode,tp_sl_ratio,sizing_mode,net_pnl,trades_per_day,sortino,maxdd,ulcer,tuw_max_days,expectancy_per_trade,win_rate
phase1_non_sizing_grid,0.3,optimizer,2:1,linear_5_15,-7343.350299768423,1.3283018867924528,-2.6523465417200276,0.09125547027290759,5.212588229097016,0.0,-20.86179062434211,0.2556818181818182
phase1_non_sizing_grid,0.3,optimizer,3:2,linear_5_15,-7343.350299768423,1.3283018867924528,-2.6523465417200276,0.09125547027290759,5.212588229097016,0.0,-20.86179062434211,0.2556818181818182
phase1_non_sizing_grid,0.3,optimizer,4:2,linear_5_15,-7343.350299768423,1.3283018867924528,-2.6523465417200276,0.09125547027290759,5.212588229097016,0.0,-20.86179062434211,0.2556818181818182
phase1_non_sizing_grid,0.3,fixed_0_15,2:1,linear_5_15,-14047.421992075902,1.3547169811320754,-4.679513890458211,0.15436819814671565,9.779384660682535,0.0,-39.12930917012786,0.2116991643454039
phase1_non_sizing_grid,0.3,fixed_0_15,3:2,linear_5_15,-14047.421992075902,1.3547169811320754,-4.679513890458211,0.15436819814671565,9.779384660682535,0.0,-39.12930917012786,0.2116991643454039
phase1_non_sizing_grid,0.3,fixed_0_15,4:2,linear_5_15,-14047.421992075902,1.3547169811320754,-4.679513890458211,0.15436819814671565,9.779384660682535,0.0,-39.12930917012786,0.2116991643454039
phase1_non_sizing_grid,0.1,optimizer,2:1,linear_5_15,246.78801657065526,0.45660377358490567,0.3552353042186065,0.02489626112971921,1.18043094495439,0.0,2.0395703848814484,0.256198347107438
phase1_non_sizing_grid,0.1,optimizer,3:2,linear_5_15,246.78801657065526,0.45660377358490567,0.3552353042186065,0.02489626112971921,1.18043094495439,0.0,2.0395703848814484,0.256198347107438
phase1_non_sizing_grid,0.1,optimizer,4:2,linear_5_15,246.78801657065526,0.45660377358490567,0.3552353042186065,0.02489626112971921,1.18043094495439,0.0,2.0395703848814484,0.256198347107438
phase1_non_sizing_grid,0.1,fixed_0_15,2:1,linear_5_15,-2829.9828789668536,0.46037735849056605,-3.512254613782517,0.04458300808629112,2.676121335947722,0.0,-23.196580975138144,0.21311475409836064
phase1_non_sizing_grid,0.1,fixed_0_15,3:2,linear_5_15,-2829.9828789668536,0.46037735849056605,-3.512254613782517,0.04458300808629112,2.676121335947722,0.0,-23.196580975138144,0.21311475409836064
phase1_non_sizing_grid,0.1,fixed_0_15,4:2,linear_5_15,-2829.9828789668536,0.46037735849056605,-3.512254613782517,0.04458300808629112,2.676121335947722,0.0,-23.196580975138144,0.21311475409836064
phase1_non_sizing_grid,0.05,optimizer,2:1,linear_5_15,207.937734564564,0.22519083969465647,0.6733295486113373,0.017588148196922337,0.8832523234465502,0.0,3.5243683824502376,0.2542372881355932
phase1_non_sizing_grid,0.05,optimizer,3:2,linear_5_15,207.937734564564,0.22519083969465647,0.6733295486113373,0.017588148196922337,0.8832523234465502,0.0,3.5243683824502376,0.2542372881355932
phase1_non_sizing_grid,0.05,optimizer,4:2,linear_5_15,207.937734564564,0.22519083969465647,0.6733295486113373,0.017588148196922337,0.8832523234465502,0.0,3.5243683824502376,0.2542372881355932
phase1_non_sizing_grid,0.05,fixed_0_15,2:1,linear_5_15,-1184.012898293468,0.22900763358778625,-3.6962726636182532,0.026211565118685387,1.560985964570231,0.0,-19.733548304891134,0.2
phase1_non_sizing_grid,0.05,fixed_0_15,3:2,linear_5_15,-1184.012898293468,0.22900763358778625,-3.6962726636182532,0.026211565118685387,1.560985964570231,0.0,-19.733548304891134,0.2
phase1_non_sizing_grid,0.05,fixed_0_15,4:2,linear_5_15,-1184.012898293468,0.22900763358778625,-3.6962726636182532,0.026211565118685387,1.560985964570231,0.0,-19.733548304891134,0.2
phase2_sizing_compare,0.1,optimizer,2:1,linear_5_15,246.78801657065526,0.45660377358490567,0.3552353042186065,0.02489626112971921,1.18043094495439,0.0,2.0395703848814484,0.256198347107438
phase2_sizing_compare,0.1,optimizer,2:1,convex_power,287.4709393394007,0.45660377358490567,0.453894651705179,0.022361162078698982,1.0515719335441764,0.0,2.375792887102485,0.256198347107438
phase2_sizing_compare,0.1,optimizer,2:1,concave_power,195.629115929737,0.45660377358490567,0.25296910963368185,0.026708081805192796,1.2822512177107257,0.0,1.6167695531383224,0.256198347107438
