timestamp,symbol,feature,inference_value,training_value,abs_diff,inference_missing,training_missing,both_missing
2026-01-28 12:00:00+00:00,ASTER/USD:USD,mkt_ret_eq_24h,-0.4100615382194519,,,False,True,False
2026-01-28 12:00:00+00:00,ASTER/USD:USD,range_12h_pct,0.06413868814706802,,,False,True,False
2026-01-28 12:00:00+00:00,ASTER/USD:USD,range_24h_pct,0.11139093339443207,,,False,True,False
2026-01-28 12:00:00+00:00,ASTER/USD:USD,ret12h,0.00044465065002441406,,,False,True,False
2026-01-28 12:00:00+00:00,ASTER/USD:USD,ret1h,-0.027233421802520752,,,False,True,False
2026-01-28 12:00:00+00:00,ASTER/USD:USD,ret24h,0.041017770767211914,,,False,True,False
2026-01-28 12:00:00+00:00,ASTER/USD:USD,ret6h,-0.00074005126953125,,,False,True,False
2026-01-28 12:00:00+00:00,ASTER/USD:USD,rsi_slope,-15.054295539855957,,,False,True,False
2026-01-28 12:00:00+00:00,ASTER/USD:USD,volume_autocorr_48,-0.6609722971916199,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,chop_score,1.0,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,dist_ema_fast,0.9872809648513794,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,dist_prior_day_low,0.04020977392792702,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,dist_weekly_vwap,0.05598326027393341,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,loc_prev_week_range_pos_48,0.8901733756065369,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,loc_vwap_dev_z_48,0.7481502294540405,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,mkt_ret_eq_24h,-0.4100615382194519,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,range_12h_pct,0.02534964121878147,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,range_24h_pct,0.05594407767057419,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,ret12h,-0.015490591526031494,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,ret1h,0.0,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,ret24h,0.04189431667327881,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,ret6h,0.009708642959594727,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,rsi_slope,27.499906539916992,,,False,True,False
2026-01-28 12:00:00+00:00,ASTR/USD:USD,volume_autocorr_48,-1.2300649881362915,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,chop_score,0.9995337128639221,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,dist_ema_fast,0.5796573162078857,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,dist_prior_day_low,0.02872627228498459,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,dist_weekly_vwap,0.02894401364028454,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,loc_prev_week_range_pos_48,0.9413906335830688,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,loc_vwap_dev_z_48,1.5527392625808716,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,mkt_ret_eq_24h,-0.4100615382194519,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,range_12h_pct,0.015037634409964085,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,range_24h_pct,0.03210972994565964,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,ret12h,0.006017923355102539,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,ret1h,-0.00207442045211792,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,ret24h,0.02860391139984131,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,ret6h,0.002038717269897461,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,rsi_slope,-10.895404815673828,,,False,True,False
2026-01-28 12:00:00+00:00,BNB/USD:USD,volume_autocorr_48,-2.053748846054077,,,False,True,False
2026-01-28 12:00:00+00:00,CAKE/USD:USD,chop_score,1.0,,,False,True,False
2026-01-28 12:00:00+00:00,CAKE/USD:USD,dist_ema_fast,7.715912342071533,,,False,True,False
2026-01-28 12:00:00+00:00,CAKE/USD:USD,dist_prior_day_low,0.02268243581056595,,,False,True,False
2026-01-28 12:00:00+00:00,CAKE/USD:USD,dist_weekly_vwap,0.0012850083876401186,,,False,True,False
