feature,status,rows,start,end,eval_finite_rows
asset_minus_mkt_oi_1d_peer_resid,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
atr_percentile,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
bars_in_high_vol_state_log_norm,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
bollinger_band_width,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
dist_ema20_atr,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
leverage_build_score,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
loc_bb_channel_pos_48,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
loc_range_pos_48,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
loc_swing_range_pos_24,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
oi_expansion_compression_balance_24h,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
oi_value_z_90d,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
price_rv_15d_robust_z,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
range_24h_pct,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
return_autocorr_48,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
rolling_range_20,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
variance_ratio_10_48,ok,2997,2026-02-01 00:00:00+00:00,2026-06-05 20:00:00+00:00,93
