config_id,mode,pct,min_range_pct,min_vol_zscore,min_sign_consistency,barrier_k_tp,barrier_sl_base_mult,barrier_disp_floor,expansion_name,expansion_offsets,slice,side,kind,horizon,n_samples,n_days,opportunities_per_day,tp_sl_ratio,label_pos_rate,mean_ret_bps,sharpe,sortino,weighted_ret_bps
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,202,0.0,202.0,1.00:0.50,0.35148514851485146,64.96764253824949,22.94655626898098,129.40870738926492,66.92246999591589
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,202,0.0,202.0,1.00:0.50,0.35148514851485146,-1.0505990212550387,-0.5028025812982646,-4.122273631109318,15.248446725308895
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,202,0.0,202.0,1.00:0.50,0.35148514851485146,0.16246765881078318,0.07629327172153813,0.6063723404530889,14.83358908444643
A_P06_R08,atr,0.06,0.08,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,202,0.0,202.0,1.00:0.50,0.35148514851485146,-4.62891737697646,-1.6241005358785934,-12.107423214574474,8.614908438175917
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,355,0.0,355.0,1.00:0.50,0.3492957746478873,27.581171598285437,15.368760913257288,103.35096191328222,40.128990076482296
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,4,355,0.0,355.0,1.00:0.50,0.3492957746478873,35.17876844853163,17.34730432705686,140.49399225042296,50.757331773638725
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,355,0.0,355.0,1.00:0.50,0.3492957746478873,43.34345459938049,16.827911893223416,88.0356934001748,53.044529631733894
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,355,0.0,355.0,1.00:0.50,0.3492957746478873,-0.8623843314126134,-0.4968368194261997,-3.383777387265549,5.067775491625071
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,355,0.0,355.0,1.00:0.50,0.3492957746478873,-0.10200369615631644,-0.05607664145289361,-0.3628092905081179,4.469349805731326
A_P06_V14,atr,0.06,0.06,1.4,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,355,0.0,355.0,1.00:0.50,0.3492957746478873,-4.9553741700947285,-2.0668087502780303,-12.851404367747666,-2.828369615599513
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,317,0.0,317.0,1.00:0.50,0.3501577287066246,30.416841618716717,16.76629528798597,113.89989786985883,41.39601718634367
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,4,317,0.0,317.0,1.00:0.50,0.3501577287066246,41.21941514313221,19.953372761287298,160.93844492054424,56.265271268785
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,317,0.0,317.0,1.00:0.50,0.3501577287066246,51.780520007014275,19.61387935359671,103.86743122022145,58.1474881619215
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,317,0.0,317.0,1.00:0.50,0.3501577287066246,-2.789556747302413,-1.5736182926185849,-10.98637354599534,2.650237875059247
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,317,0.0,317.0,1.00:0.50,0.3501577287066246,-3.90238274121657,-2.146561251427561,-14.182184920519369,0.9380525443702936
A_P06_V16,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,317,0.0,317.0,1.00:0.50,0.3501577287066246,-9.159825858660042,-3.7779057727283574,-23.49784317570947,-6.229666178114712
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,284,0.0,284.0,1.00:0.50,0.352112676056338,23.910689633339643,14.573522507493845,90.50392107070999,29.96819093823433
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,4,284,0.0,284.0,1.00:0.50,0.352112676056338,31.67352406308055,17.178528846860416,123.19868046388763,38.81487995386124
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,284,0.0,284.0,1.00:0.50,0.352112676056338,45.29681522399187,17.883233465242604,89.93594746105478,40.18294159322977
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,284,0.0,284.0,1.00:0.50,0.352112676056338,-10.948942508548498,-9.319988150578345,-42.385382447035816,-10.053364094346762
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,284,0.0,284.0,1.00:0.50,0.352112676056338,-12.031598016619682,-9.016750517284397,-43.799337805256116,-10.005951626226306
A_P06_V18,atr,0.06,0.06,1.8,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,284,0.0,284.0,1.00:0.50,0.352112676056338,-22.062924690544605,-13.533145490443548,-55.99703873401052,-19.924540538340807
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,2,317,0.0,317.0,1.00:0.50,0.3501577287066246,30.416841618716717,16.76629528798597,113.89989786985883,41.39601718634367
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,4,317,0.0,317.0,1.00:0.50,0.3501577287066246,41.21941514313221,19.953372761287298,160.93844492054424,56.265271268785
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_mr,long,mr,8,317,0.0,317.0,1.00:0.50,0.3501577287066246,51.780520007014275,19.61387935359671,103.86743122022145,58.1474881619215
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,2,317,0.0,317.0,1.00:0.50,0.3501577287066246,-2.789556747302413,-1.5736182926185849,-10.98637354599534,2.650237875059247
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,4,317,0.0,317.0,1.00:0.50,0.3501577287066246,-3.90238274121657,-2.146561251427561,-14.182184920519369,0.9380525443702936
A_P06_S60,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,none,,short_tf,short,tf,8,317,0.0,317.0,1.00:0.50,0.3501577287066246,-9.159825858660042,-3.7779057727283574,-23.49784317570947,-6.229666178114712
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,2,298,0.0,298.0,1.00:0.50,0.348993288590604,32.038132194429636,17.321554665862067,118.5747712997365,43.230666778981686
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,4,298,0.0,298.0,1.00:0.50,0.348993288590604,42.79227927327156,20.362229132311818,165.00097970748826,56.91648926585913
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_mr,long,mr,8,298,0.0,298.0,1.00:0.50,0.348993288590604,54.7753507271409,20.321976890272477,110.4713570745233,58.118728920817375
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_mr,short,mr,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,2,298,0.0,298.0,1.00:0.50,0.348993288590604,-0.7950734288897365,-0.43665864065381965,-3.2111427207917607,6.430998328141868
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,4,298,0.0,298.0,1.00:0.50,0.348993288590604,-1.6842862532939762,-0.9040305597297645,-6.07494906324359,5.541148129850626
A_P06_S70,atr,0.06,0.06,1.6,0.7,1.0,0.5,0.1,none,,short_tf,short,tf,8,298,0.0,298.0,1.00:0.50,0.348993288590604,-6.306699360720813,-2.5374175504447223,-16.17550971053569,0.9911972301779315
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_mr,long,mr,2,298,0.0,298.0,1.00:0.50,0.348993288590604,32.038132194429636,17.321554665862067,118.5747712997365,43.230666778981686
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_mr,long,mr,4,298,0.0,298.0,1.00:0.50,0.348993288590604,42.79227927327156,20.362229132311818,165.00097970748826,56.91648926585913
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_mr,long,mr,8,298,0.0,298.0,1.00:0.50,0.348993288590604,54.7753507271409,20.321976890272477,110.4713570745233,58.118728920817375
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_tf,long,tf,2,0,,,,0.0,0.0,0.0,0.0,0.0
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_tf,long,tf,4,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
A_P06_S80,atr,0.06,0.06,1.6,0.8,1.0,0.5,0.1,none,,long_tf,long,tf,8,0,0.0,0.0,1.00:0.50,0.0,0.0,0.0,0.0,0.0
