model,kind,tail_lambda,composite,n,ic,ic_mh,ic_top30,mean_ret_top30,mean_ret_bot30,spread30,spread10,ece_top30,robust_loss_top30,win_rate_top30
ridge,ridge,0.0,0.348478333588625,5034,0.08717683324737144,0.09115457131948472,0.040055016869437014,0.5242388217864151,0.4745362090625313,0.04970261272388382,0.0771898083781331,0.22278145695364238,0.0,0.9993377483443708
extratrees,extratrees,0.0,0.3771935427163997,5034,0.09995060951171623,0.11091333599980076,0.10942736105493131,0.5278874659972475,0.47825080873506354,0.049636657262183914,0.092932806796511,0.2002649006622516,0.0,0.9993377483443708
extratrees_tailweighted,extratrees,2.0,0.36948185806094924,5034,0.08782260222071507,0.10389520430412268,0.09307925446433392,0.5266863029832576,0.48300482940964945,0.04368147357360813,0.0881630720766946,0.21748344370860928,0.0,0.9993377483443708
xgb_basic,xgb,0.0,0.3680059675609151,5034,0.11057173305323247,0.1165612529299233,0.07127155462981935,0.5313202650539133,0.4683906886677276,0.06292957638618568,0.07896122468957611,0.22185430463576158,0.0,0.9993377483443708
