decile,count,Utility,MAE,MFE
0,2512,-0.009832069,0.00028222028943863996,0.18437307851958115
1,2698,-0.0023382453,0.0002468690894397056,0.18862443156268552
2,2345,-0.001690665,0.0002513989636530792,0.18417282337708757
3,2483,-0.01113538,0.000250620829902112,0.1882470852271042
4,2510,-0.0027427457,0.00020119524315512195,0.1868952953739597
5,2509,-0.0020707233,0.0002177711391620135,0.18012949867154132
6,2509,-0.000955251,0.00022500649966627145,0.1787279820686434
7,2510,0.0016925255,0.00025235304978174044,0.18343721664382326
8,2512,0.0049823723,0.00028980693458993114,0.19362572348109136
9,2507,0.0059603006,0.0003188342262429101,0.19897094519516612
