decile,count,Utility
0,229,-0.0009828258
1,228,0.0013135335
2,228,0.0018388402
3,837,-0.0021471519
4,75,-0.001198441
5,228,-0.00042515877
6,228,0.00078164437
7,229,-0.0021615252
