alpha,delta,gamma,ranking_top_k_pct,eval_top_k_pct,cooldown_hours,PnL_total,PnL_per_day,Trades_per_day,Unique_Symbols_Selected,Unique_Symbols_Total,Sortino,MaxDD,IntradayRisk,TemporalStability,TemporalInstability,ObjectiveScore,Sharpe,ProfitFactor,AvgWin,AvgLoss,Ulcer,TUW,N_days,N_neg_days,Mean_daily,Downside_dev,IC,RankingObjective,RankingIC,RankingMeanGross,RankingMeanNet,RankingHitAboveCost,RankingNSelected,WinRate,GrossWinRate,N_neg_trades,N_selected,threshold_low,threshold_high,oof_fallback_occurred,pos_sizing,stage,base_size,rank_multiplier
0.09910481101279596,0.5362529374708169,0.3850426667642533,0.5,0.02,0.0,0.0027246290013069148,1.0204603001149494e-05,0.0749063670411985,73,79,0.19495866659382,0.003785361716082014,3.073744158090828,0.4045648893452505,1.4717913648374288,0.0011360744929435822,0.0,1.509422191121506,0.0013455164003528053,-0.0003820335286292797,0.22079602431419387,0.8,267.0,0,3.821948689569099e-08,0.0,0.1267142330090376,0.145523310517904,0.1267142330090376,0.008534547730604592,0.006034547730604591,0.4605263157894737,532,0.3,0.3,0,20,-0.01150446059320389,0.07481210229526292,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.10083322093044793, 'median': 0.10224907845258713, 'std': 0.012811762838573161, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
0.07114476009343425,1.5979909127171077,0.29963209507789,0.5,0.02,0.0,0.006976911052246495,2.613075300466852e-05,0.0749063670411985,73,79,0.4992273351847958,0.001997849690546394,2.510494552926067,0.40519865703599867,1.4679252574895822,0.0035086943195066786,0.0,2.5674088511254745,0.0014285187282334396,-0.00037093656446841855,0.084833667951476,0.75,267.0,0,9.786798878153003e-08,0.0,0.11903771751737167,0.14547255888596672,0.11903771751737167,0.008548988326088547,0.006048988326088545,0.4605263157894737,532,0.4,0.4,0,20,0.002984157040584549,0.08811079405981952,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.11039652614609193, 'median': 0.11240816116333008, 'std': 0.013511022281790292, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
0.013311216080736894,0.5308767414437037,0.48089200939456705,0.1,0.02,0.0,-0.011988348306356615,-4.490018092268395e-05,0.06367041198501873,73,79,-0.8578167520599953,0.012467023852744896,5.127675294433901,0.4045510948282479,1.4718756487967233,-0.0028432067946388005,0.0,0.20747768716419623,0.00034871990902923724,-0.0018908534359524689,0.8144051331154185,0.8823529411764706,267.0,0,-1.6816547162053915e-07,0.0,0.0658025574352595,0.03819541165531357,0.0658025574352595,0.005874421149405225,0.0033744211494052233,0.4392523364485981,107,0.5294117647058824,0.5294117647058824,0,17,0.1999771832755326,0.29100330962193455,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.11968288417079283, 'median': 0.12224020808935165, 'std': 0.015281127636925464, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
0.0037520558551242854,1.1479175279631737,0.2433937943676302,0.2,0.02,0.0,-0.0017844527773218644,-6.683343735287882e-06,0.07116104868913857,73,79,-0.12768510277892364,0.005869518526992135,3.6445192957468633,0.4056499579480055,1.4651795973517043,-0.0006288748681053686,0.0,0.763102990554867,0.0005748157201594546,-0.0008369566643240457,0.36686498356406766,0.8421052631578947,267.0,0,-2.5031249944898433e-08,0.0,0.08619338335000422,0.1241179127017597,0.08619338335000422,0.010709125581394198,0.008209125581394198,0.5164319248826291,213,0.5263157894736842,0.5263157894736842,0,19,0.11802026995849713,0.20771960454473984,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.11764134306082488, 'median': 0.11984178423881531, 'std': 0.013129197885164857, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
0.0226739865237804,0.7995106732375397,0.3648559873736288,0.4,0.02,0.0,0.010532338232507668,3.9446959672313365e-05,0.0749063670411985,73,79,0.7536331063568183,0.002321394156501899,2.609010587951761,0.4049811878140736,1.469250498764152,0.005047434371361337,0.0,3.1644108779197384,0.0019248104653372291,-0.0004055121241825137,0.11734880182741844,0.75,267.0,0,1.47741421993683e-07,0.0,0.13396308207159596,0.16380159070606154,0.13396308207159596,0.010111686374616105,0.007611686374616103,0.49061032863849763,426,0.4,0.4,0,20,0.0005915177023556048,0.1159606270804858,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.10544369831345135, 'median': 0.10755403339862823, 'std': 0.012999326979604375, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
0.07025166339242159,1.948448049611839,0.05204127438822362,0.1,0.02,0.0,-0.01294190654555061,-4.847156009569517e-05,0.06741573033707865,73,79,-0.9260478553564956,0.013114916589562098,5.197017197062096,0.4051954334902908,1.4679448911508075,-0.0031574203565727286,0.0,0.15943049066440976,0.00027274292908612344,-0.0017107325452584135,0.7747797046533591,0.9444444444444444,267.0,0,-1.8154142357938266e-07,0.0,0.06610504015799042,0.039869924172442894,0.06610504015799042,0.006034840279145636,0.0035348402791456363,0.4205607476635514,107,0.5,0.5,0,18,0.2162544858228606,0.3069627387686334,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.12116891943772597, 'median': 0.12399282306432724, 'std': 0.014830536120037971, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
0.0030586566669785274,0.5515827816728276,0.09763058787582307,0.1,0.02,0.0,-0.005611711712793509,-2.1017646864395167e-05,0.0599250936329588,73,79,-0.4015415795362834,0.00747749068895498,4.054353849952235,0.40498524589682866,1.4692257560779223,-0.0017792806004420598,0.0,0.3276443774500851,0.0003418291096448521,-0.001043293073744041,0.4689737926284565,0.875,267.0,0,-7.871777851833396e-08,0.0,0.0838596360402339,0.025347046712502576,0.0838596360402339,0.004545040644061203,0.002045040644061202,0.4485981308411215,107,0.5,0.5,0,16,0.1996786201190185,0.28755907960705174,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.11882392929208682, 'median': 0.12112967669963837, 'std': 0.015163510772559443, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
0.00035856126103454,1.9543769416468377,0.43736822347462373,0.2,0.02,0.0,-0.00383421400353452,-1.4360352073162997e-05,0.06741573033707865,73,79,-0.2743541411347692,0.006082005221066944,3.5888535143985885,0.4056353094594906,1.4652686210490424,-0.0013651439296447757,0.0,0.4776006343371992,0.0003894898042971548,-0.000815513582467657,0.35686916624512927,0.8333333333333334,267.0,0,-5.3784090161659166e-08,0.0,0.08004423226245642,0.14596920156562457,0.08004423226245642,0.012227417868365285,0.009727417868365283,0.5258215962441315,213,0.5,0.5,0,18,0.12402662920995962,0.20961615793969574,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.11613378781069042, 'median': 0.11809559166431427, 'std': 0.012859884307898712, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
0.0003872118032174585,0.5678409333658071,0.0707940016415356,0.4,0.02,0.0,0.005103701774140939,1.911498791813086e-05,0.0749063670411985,73,79,0.3651913314075998,0.0027192168075281797,2.684370652578969,0.4049861104782797,1.4692204846705037,0.0023619246910413796,0.0,1.9935677267076977,0.00146292064017228,-0.00039513405438961705,0.1420710007187948,0.75,267.0,0,7.159171504917926e-08,0.0,0.13704323248495454,0.15615553673576632,0.13704323248495454,0.009733772160542229,0.0072337721605422265,0.49061032863849763,426,0.35,0.35,0,20,0.0007351629877191887,0.10191556063608004,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.10208740668455349, 'median': 0.10366171970963478, 'std': 0.012803251953824939, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
0.004247058562261873,0.711386337462144,0.22474760774990463,0.3,0.02,0.0,0.007796520170104293,2.9200450075296976e-05,0.07116104868913857,73,79,0.557873815373125,0.0013046201779947086,1.7202008919899918,0.40562882806071077,1.4653080126995541,0.004169276237533743,0.0,3.1588713117224256,0.0012675452606944993,-0.00036113871761462,0.04577988767831831,0.5263157894736842,267.0,0,1.0936498155541938e-07,0.0,0.118047224044145,0.1421572450702948,0.118047224044145,0.010116879564884584,0.007616879564884582,0.4875,320,0.47368421052631576,0.47368421052631576,0,19,0.04552608198825325,0.15244540951789032,False,"{'base_size': 0.05, 'rank_multiplier': 0.1, 'max_position': 0.15000000000000002, 'position_hard_cap': 0.2, 'sizing_formula': 'linear', 'squash_fn': 'tanh', 'squash_k': 1.0, 'avg': 0.11485521514738974, 'median': 0.11680841445922852, 'std': 0.01413621064832193, 'min': 0.05000000074505806, 'max': 0.15000000000000002, 'n_zero': 0, 'n_max': 1}",stage1_core,,
