decile,count,Utility,MAE,MFE
0,1428,-0.0070394366,0.0003358481435456695,0.18304313284257095
1,1427,-0.0038107308,0.00033984579326204895,0.1919142344008204
2,1427,-0.0122316675,0.00024524854039291845,0.19533248732060315
3,1427,-0.0067331665,0.000264230609607546,0.1935020052884778
4,1427,-0.001811679,0.0003385399256913224,0.18979835537502013
5,1427,0.0018669901,0.0002859190295578228,0.18956183717011196
6,1427,0.0034119287,0.00029340388121464945,0.18464461096689627
7,1427,0.0045645377,0.0003475797498585218,0.18011290070050892
8,1427,0.0040695914,0.00043761169952134696,0.16866710939054708
9,1427,0.004252859,0.00044704957129066515,0.16305592771295793
