model,pool,n_features,pinball085,topk_utility,top30_mean,top10_mean,top10_mean_y,bot10_mean_y,spread10,top_decile_pred_mean,top_decile_realized_rate,top_decile_calibration_gap,sortino_med,maxdd_med,coverage_tau085,score,guard_pass
xgb_multi_075_080_085,quantile,30,0.0052953363477269404,-0.002990435343235731,0.004241418093442917,0.004436558578163385,0.004509860853602945,-0.0010093637837973587,0.005519224637400304,0.03731500610490056,0.5647058823529412,0.5273908762480406,0.532588090519296,0.06899903444632438,0.7708089097303634,0.03501875687139594,0
xgb_multi_075_080_085_unconstrained,quantile,30,0.005264558610085326,-0.0017806468531489372,0.0036324793472886086,0.00556901004165411,0.005553459063829745,0.000811065812869107,0.004742393250960638,0.033853746972539844,0.5764705882352941,0.5426168412627542,0.6249237888711301,0.07640896248685079,0.764947245017585,0.04382556190843903,0
lgbm_085,quantile,30,0.0050167256551546255,-0.0013047312386333942,0.003207998350262642,0.006661292631179094,0.006503235824707457,0.0013880474088877877,0.00511518841581967,0.03953401269930968,0.6235294117647059,0.5839953990653962,0.7245114483686055,0.06967647279538057,0.8188745603751465,0.0564393687732221,0
lgbm_085_unconstrained,quantile,30,0.0050167256551546255,-0.0013047312386333942,0.003207998350262642,0.006661292631179094,0.006503235824707457,0.0013880474088877877,0.00511518841581967,0.03953401269930968,0.6235294117647059,0.5839953990653962,0.7245114483686055,0.06967647279538057,0.8188745603751465,0.0564393687732221,0
qreg_l1_085,quantile,30,0.004887458152691283,-0.007215930236270651,0.002586072077974677,0.0004150526656303555,0.0003947332761633922,0.0036124254960347626,-0.0032176922198713705,0.012185562402009964,0.34705882352941175,0.3348732611274018,0.050971316892973774,0.905046222175328,0.7960140679953107,-0.2213170372409382,0
ridge_reg,non_quantile,40,0.005854902843975802,-0.005191241391003132,0.002258914988487959,0.0027322396636009216,0.0027968406841597138,-0.0009189665775492733,0.003715807261708987,0.03551247236044968,0.5588235294117647,0.5233110570513151,0.292782849984294,0.3192806191590512,0.7028135990621337,-0.05519616640840021,0
extratrees_reg,non_quantile,40,0.005576335657320743,0.00010081613436341286,0.002369687892496586,0.006611031945794821,0.006497045396313564,-0.001178941128155737,0.007675986524469301,0.028037125492645094,0.6588235294117647,0.6307864039191196,0.8772884550855314,0.04840644460282774,0.7268464243845252,0.07881149732573972,0
ridge_tailweighted_l0,non_quantile,40,0.00588692135438668,-0.005641099531203508,0.002066793153062463,0.0025724503211677074,0.002636111825225217,-0.0008732677374877419,0.003509379562712959,0.036878635173925214,0.5411764705882353,0.5042978354143101,0.26942288306841095,0.24930456089430905,0.705158264947245,-0.04078439050873793,0
extratrees_tailweighted_l0,non_quantile,40,0.005560919322157018,-0.0005756830796599388,0.0023494765628129244,0.006044279783964157,0.006089046476614278,-0.0010803781630409717,0.0071694246396552495,0.02659177637446116,0.6470588235294118,0.6204670471549506,0.7935435525763086,0.058970957207013425,0.7250879249706916,0.06625105288933228,0
lgbm_tailweighted_l0,non_quantile,40,0.006196553788844542,-0.007215930236270651,0.002586072077974677,0.0004150526656303555,0.0003947332761633922,0.0036124254960347626,-0.0032176922198713705,0.0011778817001510647,0.34705882352941175,0.3458809418292607,0.050971316892973774,0.905046222175328,0.6060961313012896,-0.22171272244380164,0
xgb_tailweighted_l0,non_quantile,40,0.006196729177150559,-0.007215930236270651,0.002586072077974677,0.0004150526656303555,0.0003947332761633922,0.0036124254960347626,-0.0032176922198713705,0.0011763317197855496,0.34705882352941175,0.3458824918096262,0.050971316892973774,0.905046222175328,0.6060961313012896,-0.2217127777126279,0
ridge_tailweighted_l1,non_quantile,40,0.005737996261970789,-0.006160105345770717,0.0015397754032164812,0.0019627066794782877,0.0020608146866673933,-0.00043690127846168574,0.0024977159651290793,0.03318402245097754,0.5117647058823529,0.4785806834313754,0.2217871742256872,0.2696820075412204,0.7209847596717468,-0.05117339440406472,0
extratrees_tailweighted_l1,non_quantile,40,0.005359419124527684,-0.0006221919320523739,0.0026953332126140594,0.0060355085879564285,0.006136458013925756,-0.0007149298458791557,0.006851387859804912,0.03247546452806929,0.6647058823529411,0.6322304178248719,0.7870275835167232,0.047632567248294545,0.7497069167643611,0.06786557918195647,0
lgbm_tailweighted_l1,non_quantile,40,0.005669264247280557,-0.007215930236270651,0.002586072077974677,0.0004150526656303555,0.0003947332761633922,0.0036124254960347626,-0.0032176922198713705,0.0038828483455242454,0.34705882352941175,0.3431759751838875,0.050971316892973774,0.905046222175328,0.6770222743259086,-0.22160520896736224,0
xgb_tailweighted_l1,non_quantile,40,0.0056913639513325644,-0.007215930236270651,0.002586072077974677,0.0004150526656303555,0.0003947332761633922,0.0036124254960347626,-0.0032176922198713705,0.003779885159474579,0.34705882352941175,0.34327893836993717,0.050971316892973774,0.905046222175328,0.671746776084408,-0.22160940284814631,0
ridge_tailweighted_l2,non_quantile,40,0.005673814156261377,-0.006092609139159322,0.003008783794939518,0.002257669111713767,0.0022767285426037714,-0.00012999211347264732,0.0024067206560764187,0.03307625915653164,0.5411764705882353,0.5081002114317036,0.23966444280700558,0.16769241058487,0.7250879249706916,-0.024960922682971044,0
