decile,count,Utility,MAE,MFE
0,2628,-0.013399294,0.00023296191976759613,0.19423537738867314
1,3219,-0.0026366278,0.00028409872887889527,0.18825216468742148
2,2462,-0.002359795,0.00024046195643705247,0.1929731354509495
3,2454,-0.0020408873,0.00024276375895562025,0.19198201370918455
4,1812,-0.0017214484,0.00029504053708560754,0.18628062126740375
5,2529,-0.001204427,0.00024208934301452202,0.1875871762627823
6,2722,-0.00023559222,0.0002297515689655164,0.19108112077893802
7,2570,0.0013781873,0.0002880645545855006,0.18822803300811222
8,2408,0.0034724078,0.000236070312337677,0.1903353610862105
9,2326,0.009344486,0.0002572178774020126,0.19659075226722078
