decile,count,Utility
0,183,-0.0016092765
1,183,-0.0015495081
2,183,-0.00013447186
3,671,-0.0020631324
4,61,-0.00021121351
5,183,-0.00020577952
6,183,-0.0002566594
7,183,-6.375704e-05
