decile,count,Utility,MAE,MFE
0,1379,-0.008723658,0.0004126936465264736,0.18083454476960445
1,1378,-0.00088505924,0.0003127499948522098,0.19372800885055522
2,1378,-0.016259955,0.0004035575737077715,0.17368949185808358
3,1379,-0.008939467,0.00026355622226508836,0.20795035011714447
4,1378,-0.0044556507,0.0003281131058396778,0.21186190072646857
5,1378,-0.00078666955,0.00031327667056836383,0.20415430605561646
6,1379,0.0023086034,0.0002721131704742637,0.2119860661282943
7,1378,0.0043813246,0.0003736028403851683,0.2055395967415987
8,1378,0.004958777,0.00032198533427603806,0.2053617618120085
9,1379,0.003376228,0.00031288239472802826,0.18180980354519577
