model,pool,n_features,pinball085,topk_utility,top30_mean,top10_mean,top10_mean_y,bot10_mean_y,spread10,top_decile_pred_mean,top_decile_realized_rate,top_decile_calibration_gap,sortino_med,maxdd_med,coverage_tau085,score,guard_pass
lgbm_085,quantile,10,0.4072814172850205,1.0681301653385162,0.14940711855888367,1.16231369972229,2.41881093261315,-1.8572125795705723,4.2760235121837225,-0.12186965346336365,1.0,1.1218696534633636,12.340943019510265,0.0,0.5384615384615384,2.8204204739159016,0
lgbm_085_unconstrained,quantile,10,0.4072814172850205,1.0681301653385162,0.14940711855888367,1.16231369972229,2.41881093261315,-1.8572125795705723,4.2760235121837225,-0.12186965346336365,1.0,1.1218696534633636,12.340943019510265,0.0,0.5384615384615384,2.8204204739159016,0
qreg_l1_085,quantile,10,0.4043721540616109,1.0681301653385162,0.14940711855888367,1.16231369972229,2.41881093261315,-1.8572125795705723,4.2760235121837225,-0.11187325128668278,1.0,1.1118732512866827,12.340943019510265,0.0,0.5384615384615384,2.8208658291423725,0
ridge_reg,non_quantile,10,0.4099502857487935,-0.9750915169715881,-0.13025616109371185,-0.08754587173461914,0.712453907809378,-0.8394531877964869,1.551907095605865,0.19862580299377441,1.0,0.8013741970062256,-0.09863816394247289,0.0,0.46153846153846156,0.2550978138827517,0
extratrees_reg,non_quantile,10,0.5207358796436053,-0.48035091161727905,-0.22292929887771606,-0.24017545580863953,-0.11187325128668278,0.5615780972965274,-0.6734513485832102,-0.18582584225643628,1.0,1.1858258422564363,-0.8820346152412762,0.0,0.46153846153846156,-0.45875337805097655,0
ridge_tailweighted_l0,non_quantile,10,0.3945157527350463,-0.9750915169715881,0.5329614877700806,-0.08754587173461914,-0.8875456618732183,-0.8394531877964869,-0.04809247407673134,0.16708578231190896,0.0,0.16708578231190896,-0.09863816394247289,0.0,0.46153846153846156,0.07659923793230737,0
extratrees_tailweighted_l0,non_quantile,10,0.49541059245283786,-0.48035091161727905,-0.22292929887771606,-0.24017545580863953,-0.11187325128668278,0.5615780972965274,-0.6734513485832102,-0.1855835445750475,1.0,1.1855835445750476,-0.8820346152412762,0.0,0.46153846153846156,-0.4574798447609965,0
lgbm_tailweighted_l0,non_quantile,10,0.4954105937137054,-0.48035091161727905,-0.22292929887771606,-0.24017545580863953,-0.11187325128668278,0.5615780972965274,-0.6734513485832102,-0.18558354617788575,1.0,1.1855835461778859,-0.8820346152412762,0.0,0.46153846153846156,-0.457479844872125,0
ridge_tailweighted_l1,non_quantile,10,0.3734140368178487,-0.9750915169715881,0.5373839139938354,-0.08754587173461914,0.712453907809378,-0.8394531877964869,1.551907095605865,0.3494658442569958,1.0,0.6505341557430042,-0.09863816394247289,0.0,0.5384615384615384,0.44838904859170886,0
extratrees_tailweighted_l1,non_quantile,10,0.47166598903445095,-0.48035091161727905,-0.22292929887771606,-0.24017545580863953,-0.11187325128668278,0.5615780972965274,-0.6734513485832102,-0.1855835445750475,1.0,1.1855835445750476,-0.8820346152412762,0.0,0.46153846153846156,-0.45629261459007714,0
lgbm_tailweighted_l1,non_quantile,10,0.47166598903445095,-0.48035091161727905,-0.22292929887771606,-0.24017545580863953,-0.11187325128668278,0.5615780972965274,-0.6734513485832102,-0.18558354617788575,1.0,1.1855835461778859,-0.8820346152412762,0.0,0.46153846153846156,-0.4562926146381623,0
ridge_tailweighted_l2,non_quantile,10,0.3646825267431827,-0.9750915169715881,0.07307570427656174,-0.08754587173461914,0.712453907809378,-0.8394531877964869,1.551907095605865,0.4897634619940122,1.0,0.5102365380059878,-0.09863816394247289,0.0,0.5384615384615384,0.32302825390671597,0
extratrees_tailweighted_l2,non_quantile,10,0.4522874122055677,-0.48035091161727905,-0.22292929887771606,-0.24017545580863953,-0.11187325128668278,0.5615780972965274,-0.6734513485832102,-0.1855835445750475,1.0,1.1855835445750476,-0.8820346152412762,0.0,0.46153846153846156,-0.45532368574863297,0
lgbm_tailweighted_l2,non_quantile,10,0.4522874122055677,-0.48035091161727905,-0.22292929887771606,-0.24017545580863953,-0.11187325128668278,0.5615780972965274,-0.6734513485832102,-0.18558354617788575,1.0,1.1855835461778859,-0.8820346152412762,0.0,0.46153846153846156,-0.4553236857967181,0
ridge_tailweighted_l4,non_quantile,10,0.3539626967448454,0.21495166420936584,0.07307570427656174,0.30913519859313965,0.712453907809378,-1.8572125795705723,2.5696664873799504,0.6659322183528221,1.0,0.3340677816471779,3.282263501590556,0.0,0.5384615384615384,1.0898904616789136,1
extratrees_tailweighted_l4,non_quantile,10,0.42264686966171633,1.0681301653385162,0.14940711855888367,1.16231369972229,2.41881093261315,-1.8572125795705723,4.2760235121837225,-0.17856758112814428,1.0,1.1785675811281442,12.340943019510265,0.0,0.46153846153846156,2.8179512634671235,1
lgbm_tailweighted_l4,non_quantile,10,0.42264686868740964,1.0681301653385162,0.14940711855888367,1.16231369972229,2.41881093261315,-1.8572125795705723,4.2760235121837225,-0.17856756879857655,1.0,1.1785675687985766,12.340943019510265,0.0,0.46153846153846156,2.817951263885726,0
