config_id,mode,pct,min_range_pct,min_vol_zscore,min_sign_consistency,barrier_k_tp,barrier_sl_base_mult,barrier_disp_floor,expansion_name,expansion_offsets,n_candidates_mean,ic,ic_std,ks_stat,snr,class_balance,mean_feat_ic,sharpe,candidate_rate,mean_return_bps,volatility_bps,sortino,hit_rate,tail_ratio,ic_spearman,oof_mae,oof_directional_acc,ic_source,ic_oof_n,auc_source,auc_oof_n,brier_source,brier_oof_n,auc,brier,ridge_alpha,ridge_top_frac,ridge_selected_k_mean,ridge_jaccard_median,ridge_replacement_rate_median,mean_abs_ret6h,median_abs_ret6h,ret6h_q01,ret6h_q05,atr_mean,atr_q10,atr_q50,atr_q90,atr_decile_worst,atr_decile_worst_share,atr_decile_pnl_json,slice_overall_sharpe,slice_overall_sortino,slice_overall_opportunities_per_day,slice_total_samples,slice_metrics_json,has_error,policy_icstd_threshold,policy_pass_stability,global_score,policy_rank,global_rank
A_P05_FULL_ENEG48_S3,atr,0.05,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.47165160230073955,0.169960712585172,0.8485781784004096,0.5648023151978083,0.35669672,0.016640635207295418,0.3660956264169625,8.582611246961962,0.0024437906854960596,14.049141900613904,160.97892075777054,31.119274765506894,0.40171813048179744,2.550920215948482,0.16908945568902678,0.013885978609323502,0.48453944684669986,oof_regression,12257,oof_classifier_proba,12257,oof_classifier_proba,12257,0.6152966802913089,0.012823451492354357,0.5,0.25,15.0,0.42857142857142855,0.4,0.013714809902012348,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.0186131000518799,0.4421286225318909,0.9965595901012421,1.6253867745399475,6,0.32076871395111084,"{""0"": 2.3934264183044434, ""1"": 4.5923614501953125, ""2"": 1.6063412427902222, ""3"": 1.3398268222808838, ""4"": 2.0319340229034424, ""5"": 0.7839440703392029, ""6"": -1.0106658935546875, ""7"": -0.7659701704978943, ""8"": -0.40446463227272034, ""9"": -0.9696611166000366}",3.8151048480513694,16.91099410073826,6207.380649850594,74294,"{""long_mr"": {""n_samples"": 19524.0, ""mean_ret_bps"": 5.440136883407831, ""weighted_ret_bps"": 28.60205713659525, ""sharpe"": 2.3059985130697536, ""sortino"": 10.030661584945848, ""opportunities_per_day"": 6508.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19524.0, ""mean_ret_bps"": 15.21767097680519, ""weighted_ret_bps"": 3.526641085045412, ""sharpe"": 8.095921570175173, ""sortino"": 35.84286105145028, ""opportunities_per_day"": 6508.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,False,0.62856,1,1
A_P07_FULL_ENEG48_S3,atr,0.07,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.4718499419148273,0.18459892546627044,0.847908564155679,0.56481427329333,0.35588792,0.01693388633430004,0.3702144314692248,8.565474448915047,0.002444818351890297,14.176969416439533,161.02345660328865,31.07674138294892,0.40257010748814026,2.550920215948482,0.183080935901684,0.013859487138688564,0.4914383561643836,oof_regression,12264,oof_classifier_proba,12264,oof_classifier_proba,12264,0.6093458682540082,0.013208128189490628,0.5,0.25,15.0,0.42857142857142855,0.4,0.013720001094043255,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.0185953378677368,0.44227914810180663,0.9966098070144653,1.6253568887710572,9,0.38918983936309814,"{""0"": 2.5217528343200684, ""1"": 4.52582311630249, ""2"": 1.5368062257766724, ""3"": 1.418679118156433, ""4"": 2.0615711212158203, ""5"": 0.7608509659767151, ""6"": -0.8423899412155151, ""7"": -0.998304545879364, ""8"": -0.37121179699897766, ""9"": -1.4093599319458008}",3.8235783640162215,16.948112860217645,6211.231489453293,74336,"{""long_mr"": {""n_samples"": 19545.0, ""mean_ret_bps"": 5.404046435918038, ""weighted_ret_bps"": 28.679451206699014, ""sharpe"": 2.2889465864768797, ""sortino"": 9.960969594832443, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19545.0, ""mean_ret_bps"": 15.30891788812975, ""weighted_ret_bps"": 3.5171144797156253, ""sharpe"": 8.142222990993336, ""sortino"": 36.040779077968196, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,True,0.46556,9,9
A_P10_FULL_ENEG48_S3,atr,0.1,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.4718499419148273,0.18963818907424343,0.8486144857923814,0.5670983074701417,0.35636896,0.01699393428862095,0.375098961347386,8.560400587737975,0.002444818351890297,14.147345209494233,160.98836436867714,31.092859226686723,0.4028103044496487,2.550920215948482,0.1877071763524068,0.013848363421857357,0.4914383561643836,oof_regression,12264,oof_classifier_proba,12264,oof_classifier_proba,12264,0.6084250945155479,0.013286262860154698,0.5,0.25,15.0,0.42857142857142855,0.4,0.013717723079025745,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.0185953378677368,0.44227914810180663,0.9966098070144653,1.6253568887710572,9,0.3739966154098511,"{""0"": 2.5217528343200684, ""1"": 4.440815448760986, ""2"": 1.5396596193313599, ""3"": 1.418679118156433, ""4"": 2.0615711212158203, ""5"": 0.7217680215835571, ""6"": -0.9614953994750977, ""7"": -1.1013199090957642, ""8"": -0.4890991747379303, ""9"": -1.524604082107544}",3.8235783640162215,16.948112860217645,6211.231489453293,74336,"{""long_mr"": {""n_samples"": 19545.0, ""mean_ret_bps"": 5.404046435918038, ""weighted_ret_bps"": 28.679451206699014, ""sharpe"": 2.2889465864768797, ""sortino"": 9.960969594832443, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19545.0, ""mean_ret_bps"": 15.30891788812975, ""weighted_ret_bps"": 3.5171144797156253, ""sharpe"": 8.142222990993336, ""sortino"": 36.040779077968196, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,False,0.5781200000000001,3,3
A_P20_FULL_ENEG48_S3,atr,0.2,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.4718499419148273,0.18954857232373065,0.8485812525351175,0.5670372201152242,0.35627717,0.01699393428862095,0.3748883551339114,8.561259577682435,0.002444818351890297,14.164858730509877,160.9816774725914,31.097057738458293,0.40287035369002583,2.550920215948482,0.1874748803113099,0.013847011141479015,0.49151989562948467,oof_regression,12264,oof_classifier_proba,12264,oof_classifier_proba,12264,0.6084250945155479,0.013286262860154698,0.5,0.25,15.0,0.42857142857142855,0.4,0.013716875575482845,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.0185953378677368,0.44227914810180663,0.9966098070144653,1.6253568887710572,9,0.3750222623348236,"{""0"": 2.5217528343200684, ""1"": 4.440815448760986, ""2"": 1.5396596193313599, ""3"": 1.418679118156433, ""4"": 2.0615711212158203, ""5"": 0.7217680215835571, ""6"": -0.9614953994750977, ""7"": -1.1013199090957642, ""8"": -0.46669092774391174, ""9"": -1.5178477764129639}",3.8235783640162215,16.948112860217645,6211.231489453293,74336,"{""long_mr"": {""n_samples"": 19545.0, ""mean_ret_bps"": 5.404046435918038, ""weighted_ret_bps"": 28.679451206699014, ""sharpe"": 2.2889465864768797, ""sortino"": 9.960969594832443, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19545.0, ""mean_ret_bps"": 15.30891788812975, ""weighted_ret_bps"": 3.5171144797156253, ""sharpe"": 8.142222990993336, ""sortino"": 36.040779077968196, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,False,0.5238,6,6
A_P06_FULL_ENEG48_S3,atr,0.06,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.4718499419148273,0.17898508809186311,0.8474459771058482,0.5654825635674666,0.356976,0.016693688929080963,0.3681369950328269,8.543535189095923,0.002444818351890297,13.77640524879098,160.885751247406,30.98026092560007,0.40118897495946676,2.550920215948482,0.1778793633088481,0.013854020275175571,0.4892367906066536,oof_regression,12264,oof_classifier_proba,12264,oof_classifier_proba,12264,0.613023260218466,0.012895671209279078,0.5,0.25,15.0,0.42857142857142855,0.4,0.013705668039619923,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.0185953378677368,0.44227914810180663,0.9966098070144653,1.6253568887710572,9,0.3687666654586792,"{""0"": 2.5217528343200684, ""1"": 4.490486145019531, ""2"": 1.4782402515411377, ""3"": 1.3967026472091675, ""4"": 2.081836700439453, ""5"": 0.7527999877929688, ""6"": -0.9200049638748169, ""7"": -1.0067802667617798, ""8"": -0.43246784806251526, ""9"": -1.3782762289047241}",3.8235783640162215,16.948112860217645,6211.231489453293,74336,"{""long_mr"": {""n_samples"": 19545.0, ""mean_ret_bps"": 5.404046435918038, ""weighted_ret_bps"": 28.679451206699014, ""sharpe"": 2.2889465864768797, ""sortino"": 9.960969594832443, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19545.0, ""mean_ret_bps"": 15.30891788812975, ""weighted_ret_bps"": 3.5171144797156253, ""sharpe"": 8.142222990993336, ""sortino"": 36.040779077968196, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,True,0.53354,5,5
AVW_P05_FULL_ENEG48_S3,atr_vol_weight,0.05,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.47165160230073955,0.1699069706726451,0.8485610002410355,0.5647412241109979,0.35652626,0.016640635207295418,0.3656718852534604,8.584474202532887,0.0024437906854960596,14.076876686885953,160.98076477646828,31.12107612019938,0.40177820497416794,2.550920215948482,0.16902858869667714,0.013887028209865093,0.4846210328791711,oof_regression,12257,oof_classifier_proba,12257,oof_classifier_proba,12257,0.6152606586868219,0.012823530520971528,0.5,0.25,15.0,0.42857142857142855,0.4,0.013715557754039764,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.018595814704895,0.4421286225318909,0.9964616298675537,1.6253867745399475,6,0.32923588156700134,"{""0"": 2.3934264183044434, ""1"": 4.5923614501953125, ""2"": 1.6063412427902222, ""3"": 1.3398268222808838, ""4"": 2.0475821495056152, ""5"": 0.7840062379837036, ""6"": -1.0273164510726929, ""7"": -0.730391263961792, ""8"": -0.4100998044013977, ""9"": -0.9524977207183838}",3.822021996130824,16.943996111671883,6207.380649850594,74294,"{""long_mr"": {""n_samples"": 19524.0, ""mean_ret_bps"": 5.505076745369782, ""weighted_ret_bps"": 28.49554002750665, ""sharpe"": 2.3441399198979376, ""sortino"": 10.194039042836561, ""opportunities_per_day"": 6508.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19524.0, ""mean_ret_bps"": 15.196861155952016, ""weighted_ret_bps"": 3.5512190758405873, ""sharpe"": 8.08410174700889, ""sortino"": 35.80506500107351, ""opportunities_per_day"": 6508.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,True,0.5994600000000001,2,2
AVW_P07_FULL_ENEG48_S3,atr_vol_weight,0.07,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.4718499419148273,0.18459892546627044,0.847908564155679,0.56481427329333,0.35588792,0.01693388633430004,0.3702144314692248,8.565474448915047,0.002444818351890297,14.176969416439533,161.02345660328865,31.07674138294892,0.40257010748814026,2.550920215948482,0.183080935901684,0.013859487138688564,0.4914383561643836,oof_regression,12264,oof_classifier_proba,12264,oof_classifier_proba,12264,0.6093458682540082,0.013208128189490628,0.5,0.25,15.0,0.42857142857142855,0.4,0.013720001094043255,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.0185953378677368,0.44227914810180663,0.9966098070144653,1.6253568887710572,9,0.38918983936309814,"{""0"": 2.5217528343200684, ""1"": 4.52582311630249, ""2"": 1.5368062257766724, ""3"": 1.418679118156433, ""4"": 2.0615711212158203, ""5"": 0.7608509659767151, ""6"": -0.8423899412155151, ""7"": -0.998304545879364, ""8"": -0.37121179699897766, ""9"": -1.4093599319458008}",3.8235783640162215,16.948112860217645,6211.231489453293,74336,"{""long_mr"": {""n_samples"": 19545.0, ""mean_ret_bps"": 5.404046435918038, ""weighted_ret_bps"": 28.679451206699014, ""sharpe"": 2.2889465864768797, ""sortino"": 9.960969594832443, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19545.0, ""mean_ret_bps"": 15.30891788812975, ""weighted_ret_bps"": 3.5171144797156253, ""sharpe"": 8.142222990993336, ""sortino"": 36.040779077968196, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,True,0.46556,10,10
AVW_P10_FULL_ENEG48_S3,atr_vol_weight,0.1,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.4718499419148273,0.18963818907424343,0.8486144857923814,0.5670983074701417,0.35636896,0.01699393428862095,0.375098961347386,8.560400587737975,0.002444818351890297,14.147345209494233,160.98836436867714,31.092859226686723,0.4028103044496487,2.550920215948482,0.1877071763524068,0.013848363421857357,0.4914383561643836,oof_regression,12264,oof_classifier_proba,12264,oof_classifier_proba,12264,0.6084250945155479,0.013286262860154698,0.5,0.25,15.0,0.42857142857142855,0.4,0.013717723079025745,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.0185953378677368,0.44227914810180663,0.9966098070144653,1.6253568887710572,9,0.3739966154098511,"{""0"": 2.5217528343200684, ""1"": 4.440815448760986, ""2"": 1.5396596193313599, ""3"": 1.418679118156433, ""4"": 2.0615711212158203, ""5"": 0.7217680215835571, ""6"": -0.9614953994750977, ""7"": -1.1013199090957642, ""8"": -0.4890991747379303, ""9"": -1.524604082107544}",3.8235783640162215,16.948112860217645,6211.231489453293,74336,"{""long_mr"": {""n_samples"": 19545.0, ""mean_ret_bps"": 5.404046435918038, ""weighted_ret_bps"": 28.679451206699014, ""sharpe"": 2.2889465864768797, ""sortino"": 9.960969594832443, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19545.0, ""mean_ret_bps"": 15.30891788812975, ""weighted_ret_bps"": 3.5171144797156253, ""sharpe"": 8.142222990993336, ""sortino"": 36.040779077968196, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,False,0.5781200000000001,4,4
AVW_P20_FULL_ENEG48_S3,atr_vol_weight,0.2,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.4718499419148273,0.18954857232373065,0.8485812525351175,0.5670372201152242,0.35627717,0.01699393428862095,0.3748883551339114,8.561259577682435,0.002444818351890297,14.164858730509877,160.9816774725914,31.097057738458293,0.40287035369002583,2.550920215948482,0.1874748803113099,0.013847011141479015,0.49151989562948467,oof_regression,12264,oof_classifier_proba,12264,oof_classifier_proba,12264,0.6084250945155479,0.013286262860154698,0.5,0.25,15.0,0.42857142857142855,0.4,0.013716875575482845,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.0185953378677368,0.44227914810180663,0.9966098070144653,1.6253568887710572,9,0.3750222623348236,"{""0"": 2.5217528343200684, ""1"": 4.440815448760986, ""2"": 1.5396596193313599, ""3"": 1.418679118156433, ""4"": 2.0615711212158203, ""5"": 0.7217680215835571, ""6"": -0.9614953994750977, ""7"": -1.1013199090957642, ""8"": -0.46669092774391174, ""9"": -1.5178477764129639}",3.8235783640162215,16.948112860217645,6211.231489453293,74336,"{""long_mr"": {""n_samples"": 19545.0, ""mean_ret_bps"": 5.404046435918038, ""weighted_ret_bps"": 28.679451206699014, ""sharpe"": 2.2889465864768797, ""sortino"": 9.960969594832443, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19545.0, ""mean_ret_bps"": 15.30891788812975, ""weighted_ret_bps"": 3.5171144797156253, ""sharpe"": 8.142222990993336, ""sortino"": 36.040779077968196, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,False,0.5238,7,7
AVW_P06_FULL_ENEG48_S3,atr_vol_weight,0.06,0.06,1.6,0.6,1.0,0.5,0.1,neg48,"-4,-8",0.4718499419148273,0.17883857443662196,0.8474454156579428,0.5653604261628864,0.35663667,0.016693688929080963,0.3683716568409969,8.546027534174026,0.002444818351890297,13.825992355123162,160.90596094727516,31.00864494040195,0.401309073440221,2.550920215948482,0.1777540107552716,0.013856520876288414,0.4893998695368558,oof_regression,12264,oof_classifier_proba,12264,oof_classifier_proba,12264,0.613023260218466,0.012895671209279078,0.5,0.25,15.0,0.42857142857142855,0.4,0.013707748614251614,0.012882228940725327,-0.012882228940725327,-0.012882228940725327,1.0185953378677368,0.44227914810180663,0.9966098070144653,1.6253568887710572,9,0.3687666654586792,"{""0"": 2.5217528343200684, ""1"": 4.490486145019531, ""2"": 1.4782402515411377, ""3"": 1.4231032133102417, ""4"": 2.1107094287872314, ""5"": 0.7801047563552856, ""6"": -0.9200049638748169, ""7"": -1.0067802667617798, ""8"": -0.43246784806251526, ""9"": -1.3782762289047241}",3.8235783640162215,16.948112860217645,6211.231489453293,74336,"{""long_mr"": {""n_samples"": 19545.0, ""mean_ret_bps"": 5.404046435918038, ""weighted_ret_bps"": 28.679451206699014, ""sharpe"": 2.2889465864768797, ""sortino"": 9.960969594832443, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}, ""long_tf"": {""n_samples"": 17623.0, ""mean_ret_bps"": 8.680406579464183, ""weighted_ret_bps"": 27.657038858785292, ""sharpe"": 4.00380422827207, ""sortino"": 17.962951020242578, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_mr"": {""n_samples"": 17623.0, ""mean_ret_bps"": 1.8169525041537855, ""weighted_ret_bps"": -0.32529506563482324, ""sharpe"": 0.5557095818541568, ""sortino"": 2.507498946689866, ""opportunities_per_day"": 5874.333371162686, ""tp_sl_ratio"": ""1.00:0.50""}, ""short_tf"": {""n_samples"": 19545.0, ""mean_ret_bps"": 15.30891788812975, ""weighted_ret_bps"": 3.5171144797156253, ""sharpe"": 8.142222990993336, ""sortino"": 36.040779077968196, ""opportunities_per_day"": 6515.0, ""tp_sl_ratio"": ""1.00:0.50""}}",False,0.8485695893207226,True,0.49028000000000005,8,8
