regime_family,generated_booleans,retained,dropped
compression,3,3,0
context,2,2,0
liquidity,4,4,0
momentum,1,1,0
path_structure,9,6,3
trend,6,5,1
volatility,6,5,1
volatility_term_structure,4,4,0
