metric,value,filter_type
volume_kalman_snr_improvement,83.84794503197786,volume
volume_kalman_noise_reduction,0.9880177231448878,volume
volume_kalman_smoothness_ratio,3.074927662071797,volume
volume_kalman_tracking_rmse,189.47435609407975,volume
volume_kalman_high_freq_reduction,-1.0,volume
volume_kalman_low_freq_preservation,0.9997542620678631,volume
moving_average_snr_improvement,20.751205578692662,moving
moving_average_noise_reduction,0.9509482767924887,moving
moving_average_smoothness_ratio,0.0024163972336439577,moving
moving_average_tracking_rmse,372.857111820134,moving
moving_average_high_freq_reduction,0.7552460134624286,moving
moving_average_low_freq_preservation,1.0227779425828352,moving
fisher_snr_improvement,4.667019685678815e-07,fisher
fisher_noise_reduction,-2.497465063200366e-05,fisher
fisher_smoothness_ratio,2.1704368073299837e-05,fisher
fisher_tracking_rmse,91184.35242338318,fisher
fisher_high_freq_reduction,0.9999814516653358,fisher
fisher_low_freq_preservation,3.8409381149574446e-07,fisher
