fold_id,seed,group,gain,split
0,42,location,22.47761728661135,15
0,42,regime,70.31930371322505,105
1,42,location,3.029383063316345,3
1,42,regime,8.107024489552714,8
2,42,location,1.3312509655952454,3
2,42,regime,14.97511452040635,19
3,42,location,33.121028236623886,336
3,42,regime,155.3642722295201,2032
4,42,location,1.1825229823589325,4
4,42,regime,10.687402548501268,8
