symbol,rows,strategy_band_count,gross_hit_rate,net_hit_rate,mean_net_return,mean_gross_return,gross_hit_delta_vs_live_traded,net_return_delta_vs_live_traded,baseline_gross_hit_rate,baseline_mean_net_return,deployable_symbol,reject_reason
PYTH_USD:USD,1,1,1.0,1.0,0.0037404333296654248,0.010617494285486686,0.7555555555555555,0.002386141822249297,0.24444444444444444,0.0013542915074161277,True,
JUP_USD:USD,3,3,1.0,1.0,0.007059037312654049,0.013939420137893364,0.5845544693226813,-0.0023935065460395275,0.41544553067731876,0.009452543858693577,True,
MANA_USD:USD,1,1,1.0,1.0,2.19616401215747e-06,0.006875515170142292,0.5695364238410596,-0.007555199147746138,0.4304635761589404,0.007557395311758295,True,
DYDX_USD:USD,1,1,1.0,1.0,0.008216791784345836,0.01509833340201196,0.4375,-0.008294914707662832,0.5625,0.016511706492008667,True,
ETH_USD:USD,2,1,1.0,1.0,0.000899241782304494,0.007773458715922079,0.4285714285714286,-0.018546702974601814,0.5714285714285714,0.019445944756906308,True,
ENS_USD:USD,26,5,0.8846153846153846,0.8846153846153846,0.004501868180514836,0.011379691270864866,0.3942949879332891,-0.014507031277406733,0.4903203966820955,0.01900889945792157,True,
GRT_USD:USD,2,1,1.0,1.0,0.010245163085700726,0.0171287355026152,0.3868613138686131,-0.010007001561379694,0.6131386861313869,0.02025216464708042,True,
IMX_USD:USD,10,5,0.8,0.8,0.015161345025435818,0.02204983824014258,0.32045102003698467,0.00018208443257199252,0.4795489799630153,0.014979260592863825,True,
ASTR_USD:USD,230,12,0.8652173913043478,0.8347826086956521,0.024509201791720316,0.031407052260713,0.31614565806953704,0.00029171674794220944,0.5490717332348108,0.024217485043778107,True,
ENJ_USD:USD,45,14,0.8,0.8,0.022844828878422548,0.02974101308601461,0.2987865983894709,0.004057908222219098,0.5012134016105291,0.01878692065620345,True,
ALT_USD:USD,122,15,0.8360655737704918,0.8360655737704918,0.018892727773709286,0.025784956093474493,0.29097586892552907,-0.007921024069086256,0.5450897048449628,0.026813751842795542,True,
COMP_USD:USD,31,8,0.8064516129032258,0.7741935483870968,0.0024966529593774297,0.009372468929411973,0.290595872168663,-0.01851346926089755,0.5158557407345628,0.021010122220274978,True,
KSM_USD:USD,35,10,0.7714285714285715,0.7428571428571429,0.009154762161652797,0.016037242701749204,0.26753560215709327,-0.007126454978512737,0.5038929692714781,0.016281217140165536,True,
BAND_USD:USD,272,15,0.8161764705882353,0.7647058823529411,0.019514544420247082,0.02640739507759941,0.2653608884512377,-0.01219381054729555,0.5508155821369976,0.031708354967542624,True,
HFT_USD:USD,111,14,0.7837837837837838,0.7837837837837838,0.01828421432703835,0.025175833418213927,0.26332831229534853,-0.00702672535845207,0.5204554714884352,0.025310939685490422,True,
LDO_USD:USD,2,1,0.5,0.5,0.0015476574481602928,0.008422523672553792,0.25555555555555554,0.0001933659407441651,0.24444444444444444,0.0013542915074161277,True,
YGG_USD:USD,175,12,0.7828571428571428,0.7828571428571428,0.04529682131865669,0.052215480488497515,0.2548877326372546,0.010398092972135767,0.5279694102198882,0.03489872834652092,True,
NOT_USD:USD,257,12,0.8132295719844358,0.7665369649805448,0.02328560607909056,0.030182231773520352,0.25487143709500104,-0.006820222595506827,0.5583581348894348,0.030105828674597386,True,
