stage,rows,symbols,fraction_of_prev
side_input,720,1,1.0
stage_a_feature_matrix,720,1,1.0
stage_a_target_finite,717,1,0.9958333333333333
stage_a_any_feature_finite,720,1,1.00418410041841
stage_a_complete_rows,717,1,0.9958333333333333
