fold_id,seed,group,used_feature_count,split_count
0,42,location,40,553
0,42,regime,57,1299
1,42,location,38,180
1,42,regime,51,321
2,42,location,32,94
2,42,regime,41,146
3,42,location,5,6
3,42,regime,8,13
4,42,location,39,296
4,42,regime,57,533
