model,n,ic,auc,prec_at_10,mean_pred
long_mr_H2,7551,-0.03155388079881591,,,0.3008348016233175
long_mr_H4,7551,0.04282442327481075,,,0.2981729160018937
long_mr_H8,104878,0.051747259927218875,,,0.001110290451745832
long_mr_clf,104878,0.06567379853498359,,,0.4945606962190085
long_mr_early_inval,104878,-0.045064457438710494,,,0.5023837207204286
long_tf_H2,5167,0.25082702609686813,,,0.6057250529665741
long_tf_H4,5167,0.13293190508618424,,,0.3013351464268419
long_tf_H8,52899,0.10562491405354653,,,0.0002308793699616931
long_tf_clf,52899,0.10130175616383445,,,0.4868887276073174
long_tf_early_inval,52899,-0.06511352742127653,,,0.5065792120555671
short_mr_H2,5167,0.17791769113542064,,,0.5266544716547373
short_mr_H4,5167,0.15744611366855155,,,0.5043094245120371
short_mr_H8,49786,0.08891333194388668,,,0.0005904234433592676
short_mr_clf,49786,0.10149791746975871,,,0.4846078021154512
short_mr_early_inval,49786,-0.06178025813650835,,,0.5025837535275565
short_tf_H2,7551,0.04164030197888932,,,0.34115286076120976
short_tf_H4,7551,0.09839758119288955,,,0.5075898719452396
short_tf_H8,105024,0.056020215290066705,,,0.000939005423510793
short_tf_clf,105024,0.054980613471457225,,,0.5205070708865244
short_tf_early_inval,105024,-0.03634657307476258,,,0.49778068365320094
