regime_families_combo,count
trend|volatility,1444
volatility,721
trend|volatility|volatility_term_structure,124
volatility|volatility_term_structure,73
compression|trend|volatility,19
trend,18
,12
trend|volatility_term_structure,10
volatility_term_structure,4
compression|volatility,2
