field_group,scope,accepted_alternatives,rows_checked,present_rows,missing_rows,coverage_rate,missing_symbols_sample,missing_decision_sample
decision_identity,all,signal_bar_ts,447,447,0,1.0,,
decision_identity,all,symbol,447,447,0,1.0,,
decision_identity,all,side,447,447,0,1.0,,
decision_identity,all,strategy_id,447,447,0,1.0,,
decision_identity,all,portfolio_decision,447,447,0,1.0,,
feature_prediction_replay,all,base_model_features_json,447,447,0,1.0,,
feature_prediction_replay,all,base_model_feature_values_json,447,447,0,1.0,,
feature_prediction_replay,all,base_pred,447,447,0,1.0,,
feature_prediction_replay,all,meta_pred,447,447,0,1.0,,
feature_prediction_replay,all,calibrated_score|raw_prediction_score,447,447,0,1.0,,
rank_threshold_replay,all,policy_rank_pct|normalized_rank_score|threshold_rank_score,447,441,6,0.9865771812080537,"XLM/USD:USD,SNX/USD:USD,TAO/USD:USD,TRX/USD:USD,USDC/USD:USD",rank_rejected
rank_threshold_replay,all,auction_rank_pct|threshold_rank_score,447,441,6,0.9865771812080537,"XLM/USD:USD,SNX/USD:USD,TAO/USD:USD,TRX/USD:USD,USDC/USD:USD",rank_rejected
rank_threshold_replay,all,threshold_rank_score|effective_threshold|final_threshold|initial_rank_threshold,447,447,0,1.0,,
rank_threshold_replay,all,threshold_rank_score_source|rank_score_source,447,447,0,1.0,,
rank_threshold_replay,all,passed_rank_gate,447,447,0,1.0,,
entry_timing_attribution,traded,signal_bar_close_ts,12,5,7,0.4166666666666667,"USDC/USD:USD,SHIB/USD:USD,XLM/USD:USD,ZRX/USD:USD,TLM/USD:USD,SUPER/USD:USD,STORJ/USD:USD",traded
entry_timing_attribution,traded,decision_ts,12,12,0,1.0,,
entry_timing_attribution,traded,theoretical_entry_price|policy_entry_price|signal_price,12,11,1,0.9166666666666666,USDC/USD:USD,traded
entry_timing_attribution,traded,expected_fill_price|expected_entry_price,12,12,0,1.0,,
entry_timing_attribution,traded,realized_entry_price|entry_price_actual,12,12,0,1.0,,
entry_timing_attribution,traded,signal_to_entry_seconds,12,12,0,1.0,,
entry_timing_attribution,traded,decision_to_entry_seconds,12,12,0,1.0,,
