canonical_key,source_tree,source_leaf,source_target,source_horizon,side,count,support_pct,mean_net_ret,shrunk_mean_net_ret,mean_uplift,shrunk_mean_uplift,tstat_net_ret,presence_freq,sign_consistency,support_score,diversity_score,cheap_score,rejection_reason,mean_baseline_ret,std_support_pct,unique_symbol_count,unique_day_count,max_single_symbol_share,max_single_day_share,discovery_count,accepted
(*)|(dist_rolling_7d_high<=0.22520435&distance_to_ema>-0.43324578&zscore_price_200<=0.9432835)|(direction_entropy_20>0.27922934&range_24h_pct<=0.10015678&tail_asymmetry_q90_q10_atr_norm<=0.10562759),1,6,returns_target,5,short,243,0.14160839160839161,0.00556426013938684,0.0027426272086632903,0.005111110633206833,0.002519269541316958,5.231410278696916,1.0,1.0,0.906993006993007,0.7415637860082305,0.7900083466981381,a1_symbol_diversity_too_low,0.0006263488104107252,0.02038743946258398,4,28,0.3168724279835391,0.11934156378600823,1,False
(*)|(dist_rolling_7d_high>0.072073169&loc_vwap_dev_z_24<=-0.42563286)|(choppiness_index_20>-0.55763382&up_down_semivol_ratio_tanh<=0.26399991),0,2,returns_target,5,short,276,0.16083916083916083,0.003709579723468725,0.001946471489880928,0.002825847675626628,0.0014827641796063675,3.2203732636306532,1.0,1.0,0.4993006993006993,0.7423913043478261,0.6939644496186469,a1_symbol_diversity_too_low,0.0006263488104107252,0.024330437499575475,4,30,0.31521739130434784,0.11594202898550725,1,False
(*)|(dist_ma100_atr<=-0.0027330492&dist_ma100_atr>-0.0099486159&dist_rolling_7d_high>0.060904261)|(volume_zscore_48h<=-0.29575825),0,2,returns_target,5,short,271,0.15792540792540793,0.004275005901871572,0.0022236594998218734,0.00221204163815281,0.0011506013127435923,4.102222817667487,1.0,0.5,0.5156177156177155,0.6988929889298894,0.6752936998931357,a1_sign_consistency_too_low|a1_symbol_diversity_too_low,0.0006263488104107252,0.07389130774403456,4,25,0.4022140221402214,0.1033210332103321,1,False
(*)|(dist_ma100_atr>-0.0099486159&dist_rolling_7d_high>0.060904261)|(volatility_ratio_short_long>0.71305871&volume_zscore_48h>-0.29575825),0,4,returns_target,5,short,171,0.09965034965034965,0.004520259056872094,0.0018360197119361714,0.003578208368589169,0.0014533815463865746,3.1419996166507884,1.0,0.5,0.558041958041958,0.7187134502923977,0.6537584308747217,a1_sign_consistency_too_low|a1_symbol_diversity_too_low,0.0006263488104107252,0.003266473309197611,4,22,0.36257309941520466,0.1695906432748538,1,False
(*)|(dist_range_mid_atr<=0.0000075072094&dist_rolling_7d_high<=0.06571281)|(volume_percentile>0.58808237),1,1,returns_target,5,short,99,0.057692307692307696,0.005595933909368033,0.0015873852636889263,0.004736351612194154,0.0013435495977284274,2.644584087512585,1.0,1.0,0.3230769230769231,0.7030303030303031,0.6165790989137365,a1_symbol_diversity_too_low,0.0006263488104107252,0.005715818859824889,4,15,0.3939393939393939,0.16161616161616163,1,False
(*)|(dist_ma100_atr>-0.0099486159&dist_rolling_7d_high<=0.060904261)|(realized_volatility_24h>-0.55039382&up_down_semivol_ratio_tanh<=0.53327596),0,5,returns_target,5,short,71,0.041375291375291376,0.00737172952840026,0.0016305071542567554,0.007767755587404482,0.0017181017031330788,2.866279809338058,1.0,1.0,0.2317016317016317,0.6323943661971831,0.6063495363791662,a1_support_too_low|a1_symbol_diversity_too_low|a1_symbol_concentration_too_high|a1_day_concentration_too_high,0.0006263488104107252,0.01190099373059916,4,10,0.5352112676056338,0.3380281690140845,1,False
(*)|(dist_ma100_atr>-0.0099486159&dist_rolling_7d_high<=0.060904261)|(realized_volatility_24h>-0.55039382&up_down_semivol_ratio_tanh>0.53327596),0,6,returns_target,5,short,82,0.047785547785547784,0.004536183868966452,0.0011203827628170151,0.007616176349901927,0.0018811037972649338,2.467785135117305,1.0,1.0,0.26759906759906754,0.5829268292682928,0.5267511043797267,a1_support_too_low|a1_symbol_diversity_too_low|a1_symbol_concentration_too_high|a1_day_concentration_too_high,0.0006263488104107252,0.028749583964462075,4,11,0.6341463414634146,0.2926829268292683,1,False
(*)|(dist_rolling_7d_high<=0.072073169)|(compression_ratio>-0.1923634&volume_zscore_48h<=0.28649461),0,3,returns_target,5,short,70,0.04079254079254079,0.004164895841053554,0.0009110709652304649,0.0030960818842601786,0.000677267912181914,2.317909390163789,1.0,1.0,0.22843822843822845,0.7214285714285714,0.5081239283788789,a1_support_too_low|a1_symbol_diversity_too_low,0.0006263488104107252,0.007826222804860651,4,15,0.35714285714285715,0.14285714285714285,1,False
(*)|(dist_rolling_7d_high<=0.072073169&loc_prev_day_range_pos_48<=0.76470572)|(compression_ratio>-0.1923634&volume_zscore_48h>0.28649461),0,6,returns_target,5,short,73,0.042540792540792544,0.004792568618304109,0.0010831501830842103,0.0020352784096601554,0.000459985522926289,2.328078013099684,1.0,0.5,0.23822843822843823,0.6808219178082192,0.4810030931832129,a1_support_too_low|a1_sign_consistency_too_low|a1_symbol_diversity_too_low,0.0006263488104107252,0.016082405602385497,4,11,0.4383561643835616,0.1643835616438356,1,False
(*)|(dist_rolling_7d_high<=0.072073169&loc_prev_day_range_pos_48>0.76470572)|(compression_ratio>-0.1923634&volume_zscore_48h>0.28649461),0,10,returns_target,5,short,22,0.01282051282051282,0.010596240108663385,0.000857048832318362,0.011210594539257232,0.000906739264204629,2.8691025134220602,1.0,1.0,0.07179487179487176,0.45454545454545453,0.4796612236761181,a1_count_too_low|a1_support_too_low|a1_symbol_diversity_too_low|a1_day_diversity_too_low|a1_symbol_concentration_too_high|a1_day_concentration_too_high,0.0006263488104107252,0.0033921330226934646,4,7,0.5909090909090909,0.36363636363636365,1,False
