canonical_key,display_arity,structural_depth,groups_used,regime_families_used,location_families_used,all_families_used
(*)|(zscore_price_50>-1.0107112)|(mark_vs_perp_bps<=1.1342534&price_trend_15d_vol_norm<=0.012674913&prior_range<=-0.30182564),4,4,location|regime,context|open_interest|perp_tradeability,context,context|open_interest|perp_tradeability
(*)|(zscore_price_50>-1.0107112)|(mark_vs_perp_bps<=1.1342534&price_trend_15d_vol_norm<=0.012674913&prior_range>-0.30182564),4,4,location|regime,context|open_interest|perp_tradeability,context,context|open_interest|perp_tradeability
(*)|(*)|(mark_vs_perp_bps>1.1342534&price_trend_15d_vol_norm<=0.012674913&volume_autocorr_48<=-0.054347992),3,3,regime,liquidity|open_interest|perp_tradeability,,liquidity|open_interest|perp_tradeability
(*)|(*)|(dist_funding_pressure_price_96h_atr<=-1.793425&mark_vs_perp_bps>1.1342534&price_trend_15d_vol_norm<=0.012674913&volume_autocorr_48>-0.054347992),4,4,regime,liquidity|open_interest|perp_tradeability,,liquidity|open_interest|perp_tradeability
(*)|(*)|(log_oi_to_volume_7d<=41.693867&mark_vs_perp_bps<=2.0421774&price_trend_15d_vol_norm>0.012674913),3,3,regime,open_interest|perp_tradeability,,open_interest|perp_tradeability
(*)|(*)|(log_oi_to_volume_7d<=41.693867&mark_vs_perp_bps>2.0421774&price_trend_15d_vol_norm>0.012674913),3,3,regime,open_interest|perp_tradeability,,open_interest|perp_tradeability
(*)|(*)|(log_oi_to_volume_7d<=1.2537228&ob_imbalance_mkt_resid<=-2.5011921&price_trend_15d_vol_norm>-0.093607038),3,3,regime,open_interest|residual,,open_interest|residual
(*)|(dist_local_swing>0.0003999956)|(asset_funding_rate_mean_7d<=0.0000076076676&dist_oiw_z_delta_96h_atr<=1.0595262&log_oi_to_volume_7d<=1.2537228&ob_imbalance_mkt_resid>-2.5011921&price_trend_15d_vol_norm>-0.093607038),6,6,location|regime,open_interest|perp_tradeability|residual,context,context|open_interest|perp_tradeability|residual
(*)|(dist_local_swing>0.0003999956)|(asset_funding_rate_mean_7d>0.0000076076676&log_oi_to_volume_7d<=1.2537228&ob_imbalance_mkt_resid>-2.5011921&price_trend_15d_vol_norm>-0.093607038),5,5,location|regime,open_interest|perp_tradeability|residual,context,context|open_interest|perp_tradeability|residual
(*)|(bars_in_high_vol_state_log_norm<=1.2614927&loc_session_pos_24>0.024122575)|(dist_funding_pressure_price_96h_atr<=-1.7235775&log_oi_to_volume_1d<=40.481667&price_trend_15d_vol_norm>-0.092431381),5,5,location|regime,open_interest|perp_tradeability,context,context|open_interest|perp_tradeability
