rejection_reason,count
b_sign_consistency_too_low,837
b_mask_ic_uplift_too_low,648
b_min_fold_support_too_low,216
b_support_too_low,223
b_support_too_high,10
b_decile_spread_too_low,7
b_positive_ic_fraction_too_low,157
b_support_instability_too_high,5
b_oos_ic_too_low,3
low_support,1
