strategy_id,reject_adverse_entry_threshold_bps,kept_rows,rejected_rows,rejected_fraction,net_hit_rate,gross_hit_rate,mean_net_return,mean_gross_return,mean_entry_adverse_bps,mean_entry_favorable_bps,mean_delay_max_adverse_bps
__global__,50.0,48913,0,0.0,0.597652975691534,0.6023960910187476,0.03337201159102064,0.03540741910363184,,,0.10077925583693532
__global__,100.0,48913,0,0.0,0.597652975691534,0.6023960910187476,0.03337201159102064,0.03540741910363184,,,0.10077925583693532
__global__,150.0,48913,0,0.0,0.597652975691534,0.6023960910187476,0.03337201159102064,0.03540741910363184,,,0.10077925583693532
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,50.0,7422,0,0.0,0.6409323632444085,0.6534626785233091,0.03249078190831161,0.03452530730356095,,,0.05021923154289523
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,100.0,7422,0,0.0,0.6409323632444085,0.6534626785233091,0.03249078190831161,0.03452530730356095,,,0.05021923154289523
long_asset_vol_level_pct_0_20587213_compression_score_-0_99787366,150.0,7422,0,0.0,0.6409323632444085,0.6534626785233091,0.03249078190831161,0.03452530730356095,,,0.05021923154289523
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,50.0,6688,0,0.0,0.5992822966507177,0.6018241626794258,0.034578541302025416,0.036615156560821746,,,0.0
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,100.0,6688,0,0.0,0.5992822966507177,0.6018241626794258,0.034578541302025416,0.036615156560821746,,,0.0
long_bars_in_high_vol_state_log_norm_-0_38407263_pullback_depth_1_8353814_pullback_depth_-0_90359813_asset_funding_rate_abs_mean_7d_0_000011711979_variance_ratio_10_48_-0_27143899,150.0,6688,0,0.0,0.5992822966507177,0.6018241626794258,0.034578541302025416,0.036615156560821746,,,0.0
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,50.0,12079,0,0.0,0.599718519745012,0.602533322294892,0.03308785363840861,0.035122976674738716,,,0.01616556156386745
