model,side,kind,score,degenerate,fit_status,failure_reason,metrics_are_fallback,constant_prediction_warning,training_warnings,reg_head_target_name,reg_head_calibration_method,passed,top5_features,top10_features,H,is_winner,downstream_blocked,variant,checks.pr_auc_ge_threshold.pass,checks.pr_auc_ge_threshold.emoji,checks.pr_auc_ge_random.pass,checks.pr_auc_ge_random.emoji,checks.brier_and_logloss_improve_ge_2pct.pass,checks.brier_and_logloss_improve_ge_2pct.emoji,checks.liftk_and_preck_lift.pass,checks.liftk_and_preck_lift.emoji,checks.bootstrap_prec20_cv_le_0_30.pass,checks.bootstrap_prec20_cv_le_0_30.emoji,checks.delta_logloss_le_minus_0_5pct.pass,checks.delta_logloss_le_minus_0_5pct.emoji,checks.logloss_improves_in_ge_70pct_folds.pass,checks.logloss_improves_in_ge_70pct_folds.emoji,checks.worst_fold_delta_logloss_ge_0_5pct_improve.pass,checks.worst_fold_delta_logloss_ge_0_5pct_improve.emoji,metrics.auc,metrics.ic,metrics.ic_ret,metrics.median_ic_t30,metrics.std_ic_t30,metrics.ic_std,metrics.brier,metrics.logloss,metrics.pr_auc,metrics.pr_auc_threshold,metrics.brier_improvement,metrics.logloss_improvement,metrics.lift_at_20pct,metrics.precision_lift_abs,metrics.bootstrap_prec20_cv,metrics.fold_logloss_improvement_ratio,metrics.worst_fold_logloss_improvement,metrics.pr_auc_random,metrics.ece,metrics.ic_stability,metrics.mean_ic,metrics.decile_spearman,metrics.months_rho_decile_gt_0,metrics.median_ic_m,metrics.months_ic_m_lt_neg_01,metrics.ir_weekly,metrics.prec_at_10pct,metrics.recall_at_10pct,metrics.lift_at_10pct,metrics.prec_at_20pct,metrics.recall_at_20pct,metrics.prec_at_30pct,metrics.recall_at_30pct,metrics.lift_at_30pct,metrics.timeout_rate_at_20pct,metrics.timeout_rate_at_bot50pct,training_diagnostics.n_total,training_diagnostics.n_eval,training_diagnostics.class_counts.neg,training_diagnostics.class_counts.pos,training_diagnostics.extratrees_training_disabled,training_diagnostics.candidate_oof_coverage.lgbm_pipeline,support.n_total,support.n_positive,support.n_negative,support.minority_support_pct
long_bars_in_high_vol_state_log_norm_-0_23822941_dist_prior_day_high_0_098164082_dist_rolling_7d_high_0_063372016_volume_autocorr_48_-0_38587153_H10:lgbm_pipeline,long,bars_in_high_vol_state_log_norm_-0_23822941_dist_prior_day_high_0_098164082_dist_rolling_7d_high_0_063372016_volume_autocorr_48_-0_38587153,0.6825566267314934,False,trained,,False,False,[],positive_part_residualized_return_over_realized_vol,identity,False,"['p_exh_lag1', 'G_VOL', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_0', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_1', 'ret1h_G_VOL_0']","['p_exh_lag1', 'G_VOL', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_0', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_1', 'ret1h_G_VOL_0', 'ret1h_G_VOL_1', 'G_EXH_EFFORT', 'G_EXH_GIVEBACK', 'G_EXH_TAIL_FAIL', 'G_TF_TREND']",10,True,False,primary,True,✅,True,✅,False,⚠️,True,✅,True,✅,False,⚠️,False,⚠️,False,⚠️,0.6082013769414587,0.17078382491302027,0.16462224145158313,0.1236695736290305,0.051951796110516126,0.0437893796842444,0.21273276295490365,0.6172817431320384,0.4047521536019935,0.3676372533403468,-0.024678750522630525,-0.018968783638497556,1.4585671745507738,0.1348691012191119,0.004970969660651143,0.0,-1.0,,,,,,0,,0,,0.4947953324689757,0.168230537677746,1.682349000180451,0.4289789038913893,0.29171127372570754,0.3954338350599479,0.4033527715152965,1.344510898538715,0.5280324498527532,0.7310969194979923,269957,31507,190560,79397,True,0.1167111799286553,269957,79397,190560,29.410980267227743
long_prior_range_0_84333628_range_24h_pct_0_10307747_H5:lgbm_pipeline,long,prior_range_0_84333628_range_24h_pct_0_10307747,0.7665671883963845,False,trained,,False,False,[],positive_part_residualized_return_over_realized_vol,identity,False,"['p_exh_lag1', 'G_VOL', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_0', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_1', 'ret1h_G_VOL_0']","['p_exh_lag1', 'G_VOL', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_0', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_1', 'ret1h_G_VOL_0', 'ret1h_G_VOL_1', 'G_EXH_EFFORT', 'G_EXH_GIVEBACK', 'G_EXH_TAIL_FAIL', 'G_TF_TREND']",5,True,False,primary,True,✅,True,✅,False,⚠️,True,✅,True,✅,False,⚠️,False,⚠️,False,⚠️,0.7290475591111251,0.34971934420877687,0.29075542473297694,0.27795801517813157,0.05080376909157405,0.051870162660643926,0.19368745951447405,0.5745491281842067,0.515767278816267,0.32991114196728816,0.003000881825517967,0.004465786669987238,2.0534928866725433,0.2780472330372429,0.004415684346342717,0.0,-1.0,,,,,,0,,0,,0.6459157551780312,0.24472431225017635,2.447309566927555,0.5419761466110734,0.41069539148836115,0.4722035476030408,0.5367387726310839,1.7891315551941158,0.2870745660816445,0.8102286037870502,257827,30060,189779,68048,True,0.11658980634301296,257827,68048,189779,26.392891357383053
long_loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147_H10:lgbm_pipeline,long,loc_prev_week_range_pos_48_0_42586401_loc_vwap_dev_z_24_0_10701825_zscore_price_50_1_0128103_mkt_ret_eq_24h_-0_78752208_up_down_return_mass_ratio_tanh_1_1231147,0.7138350720869604,False,trained,,False,False,[],positive_part_residualized_return_over_realized_vol,identity,False,"['p_exh_lag1', 'G_VOL', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_0', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_1', 'ret1h_G_VOL_0']","['p_exh_lag1', 'G_VOL', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_0', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_1', 'ret1h_G_VOL_0', 'ret1h_G_VOL_1', 'G_EXH_EFFORT', 'G_EXH_GIVEBACK', 'G_EXH_TAIL_FAIL', 'G_TF_TREND']",10,True,False,primary,True,✅,True,✅,False,⚠️,True,✅,True,✅,False,⚠️,False,⚠️,False,⚠️,0.6482191855789874,0.23842478974557318,0.23750495192470478,0.21629445625660587,0.06905018112686753,0.07656070252886708,0.21489394583078059,0.6215330307353344,0.4916841978356198,0.39326658252247093,0.003421634348236514,0.001941707671201705,1.6658683441240838,0.20949101448286006,0.004601100749642468,0.0,-1.0,,,,,,0,,0,,0.626986047261876,0.19928223532427583,1.9928786067973705,0.5241042805008368,0.3331709817995386,0.4660600032259799,0.44441168931043323,1.4813742889002959,0.4284130088513418,0.7426064374601792,247987,28950,169967,78020,True,0.11673999040272272,247987,78020,169967,31.461326601797673
long_dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653_H10:lgbm_pipeline,long,dist_weekly_vwap_0_074823022_loc_prev_week_range_pos_48_0_48354843_mkt_ret_eq_24h_-0_43956268_volume_autocorr_48_-0_38378653,0.71143020647417,False,trained,,False,False,[],positive_part_residualized_return_over_realized_vol,identity,False,"['p_exh_lag1', 'G_VOL', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_0', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_1', 'ret1h_G_VOL_0']","['p_exh_lag1', 'G_VOL', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_0', 'tail_asymmetry_q90_q10_atr_norm_G_VOL_1', 'ret1h_G_VOL_0', 'ret1h_G_VOL_1', 'G_EXH_EFFORT', 'G_EXH_GIVEBACK', 'G_EXH_TAIL_FAIL', 'G_TF_TREND']",10,True,False,primary,True,✅,True,✅,False,⚠️,True,✅,True,✅,False,⚠️,False,⚠️,False,⚠️,0.6454168992879087,0.23352641811231395,0.23778752034095663,0.21557954873704432,0.05989026620134211,0.04441122940520785,0.2161743429440725,0.6242668644641776,0.4848018822560646,0.39085321203148754,-0.005872922905825583,-0.0048880735130274085,1.6396040512470775,0.19999303828661796,0.0047884150120083594,0.0,-1.0,,,,,,0,,0,,0.6107374537350261,0.1953187643981723,1.9532187370313348,0.512675607911808,0.32791559011824,0.4591679711336924,0.440542707683692,1.4684795883700623,0.42464281450232816,0.7400367726067958,251274,29327,172705,78569,True,0.1167132293830639,251274,78569,172705,31.268256962519004
