symbol,rows,n_features,nan_cells,nan_pct_overall,leading_nan_cells,interior_nan_cells,trailing_nan_cells,all_nan_features,constant_features,features_with_interior_nan
1INCH/USD:USD,35041,870,2757001,9.043596548804734,2517279,204879,34843,0,4,45
2Z/USD:USD,35041,870,25364558,83.20157634718214,25258821,84223,21514,0,15,67
AAVE/USD:USD,35041,872,1552385,5.080500064275951,1453084,69079,30222,0,19,47
ADA/USD:USD,35041,872,980269,3.2081324655338217,784902,152814,42553,0,4,32
AEVO/USD:USD,35041,870,15321679,50.25862643005714,15121729,147999,51951,0,4,42
AIXBT/USD:USD,35041,870,20141494,66.06872671651959,20045249,70401,25844,0,5,33
AKT/USD:USD,35041,872,18890398,61.82272326336462,18797536,64296,28566,0,5,48
ALCH/USD:USD,35041,870,20355954,66.7722047768673,20218605,105075,32274,0,5,46
ALGO/USD:USD,35041,872,1789356,5.856036532826946,1611399,146224,31733,0,4,50
ALICE/USD:USD,35041,870,3519504,11.54478153178198,3096222,387722,35560,0,5,51
ALT/USD:USD,35041,870,15472762,50.75421337303723,15255216,168791,48755,0,8,45
ANIME/USD:USD,35041,870,20411002,66.95277486110687,20290468,77975,42559,0,15,51
ANKR/USD:USD,35041,871,3215567,10.535688372397354,2942322,199529,73716,0,9,48
APE/USD:USD,35041,872,1348844,4.414370165067448,1188457,108916,51471,0,3,40
API3/USD:USD,35041,871,13001199,42.5979558602026,12863664,91315,46220,0,6,46
APT/USD:USD,35041,872,3695540,12.094416789349514,3598399,66685,30456,0,5,45
AR/USD:USD,35041,870,15157758,49.72092789825515,15108867,23915,24976,0,5,40
ARB/USD:USD,35041,872,6661310,21.80051075162542,6517792,112251,31267,0,7,39
ARC/USD:USD,35041,870,20354489,66.76739924036441,20247397,83459,23633,0,7,45
ARKM/USD:USD,35041,872,15184406,49.69410014847614,15033861,124518,26027,0,3,50
ASTER/USD:USD,35041,872,25164227,82.35512253143041,25102910,31034,30283,0,9,35
ASTR/USD:USD,35041,870,14878763,48.80576021455327,14706417,131505,40841,0,14,48
ATH/USD:USD,35041,872,18823661,61.604312667546196,18709599,65788,48274,0,13,47
ATOM/USD:USD,35041,872,849717,2.780874121507466,783683,35763,30271,0,8,31
AUCTION/USD:USD,35041,870,17032498,55.87050571629228,16835357,157760,39381,0,5,45
AUD/USD:USD,35041,872,22646226,74.11444496604109,22384000,197355,64871,0,13,75
AVAX/USD:USD,35041,872,844750,2.764618589652122,783685,30794,30271,0,15,29
AXS/USD:USD,35041,872,2286523,7.483118072171813,2161204,91154,34165,0,10,47
B3/USD:USD,35041,870,21244110,69.68556046168577,21098125,99337,46648,0,5,54
BAND/USD:USD,35041,870,3378318,11.081659022091364,3043806,291768,42744,0,5,52
BAT/USD:USD,35041,870,2111186,6.925175008454792,1865030,218105,28051,0,5,46
BCH/USD:USD,35041,872,863634,2.826420374141013,784839,48524,30271,0,27,31
BEAM/USD:USD,35041,872,14587862,47.741786881893795,14447922,56226,83714,0,22,48
BERA/USD:USD,35041,870,20538863,67.37218831011423,20471259,43856,23748,0,5,46
BICO/USD:USD,35041,870,14923835,48.953606727357474,14682462,189923,51450,0,6,51
BIGTIME/USD:USD,35041,870,16019452,52.54748214488971,15796036,180066,43350,0,6,58
BIO/USD:USD,35041,870,20286268,66.54361869035517,20175886,84424,25958,0,4,44
BLUR/USD:USD,35041,872,6106493,19.984757697994144,5838960,185507,82026,0,8,49
BNB/USD:USD,35041,872,11901362,38.94966158908476,11857246,14957,29159,0,33,31
BNT/USD:USD,35041,870,15946073,52.30678217011468,15669035,215664,61374,0,6,57
BONK/USD:USD,35041,869,12097609,39.7286013369379,12003072,64269,30268,0,25,34
BTC/USD:USD,35041,872,906144,2.9655431160718937,784379,91035,30730,0,35,24
C98/USD:USD,35041,870,15429161,50.61119207811408,15161072,214873,53216,0,6,48
CAKE/USD:USD,35041,870,18959981,62.193092689122466,18874941,58957,26083,0,7,46
CAT/USD:USD,35041,867,18567612,61.11677976041709,18451522,63324,52766,0,23,54
CELO/USD:USD,35041,870,18300435,60.02963031483316,18190685,71381,38369,0,5,49
CELR/USD:USD,35041,870,17166254,56.3092561193505,16972557,119152,74545,0,15,43
CFX/USD:USD,35041,866,10041065,33.08913352771247,9949985,76387,14693,25,6,41
CHR/USD:USD,35041,870,15069415,49.43114256632706,14828773,189545,51097,0,4,47
CHZ/USD:USD,35041,871,2128142,6.972779893626987,1879233,173382,75527,0,5,44
COMP/USD:USD,35041,870,1860980,6.104441857436625,1728687,108418,23875,0,16,48
COOKIE/USD:USD,35041,870,20532670,67.3518738476143,20379999,83616,69055,0,6,58
COTI/USD:USD,35041,870,14808189,48.57426128407216,14661223,106862,40104,0,4,45
COW/USD:USD,35041,870,19121375,62.72250208048568,18929238,159809,32328,0,4,48
CRO/USD:USD,35041,872,19561878,64.0202800441632,19465960,50443,45475,0,8,51
CRV/USD:USD,35041,872,1668237,5.459649626688946,1465243,164539,38455,0,5,42
CTSI/USD:USD,35041,870,15485492,50.79597069705209,15256614,194216,34662,0,6,49
CVX/USD:USD,35041,871,6887957,22.568140696329124,6681420,175602,30935,0,7,51
CYBER/USD:USD,35041,870,18527444,60.77427197762096,18332575,151008,43861,0,5,58
DASH/USD:USD,35041,872,2714326,8.883191616426263,2569305,114552,30469,0,17,51
DEEP/USD:USD,35041,870,18943285,62.13832597413801,18813632,105781,23872,0,6,47
DEGEN/USD:USD,35041,870,18937848,62.120491365287364,18800924,87612,49312,0,9,47
DENT/USD:USD,35041,870,19114060,62.69850720026819,18972225,107215,34620,0,17,49
DOG/USD:USD,35041,872,18986103,62.13593761331745,18881898,44293,59912,0,18,54
DOGE/USD:USD,35041,872,1519780,4.9737934775750245,1310125,151976,57679,0,5,39
DOGS/USD:USD,35041,870,18172853,59.611132049910665,18055382,80330,37141,0,15,49
DOT/USD:USD,35041,872,886711,2.9019446158615243,783677,72649,30385,0,5,31
DYDX/USD:USD,35041,872,2993402,9.796525380884097,2807474,129283,56645,0,5,48
DYM/USD:USD,35041,872,13192534,43.1752882403287,13032211,97349,62974,0,3,48
EGLD/USD:USD,35041,872,2956393,9.675405795936555,2811956,80975,63462,0,7,48
EIGEN/USD:USD,35041,872,18053496,59.08378887222281,17970061,50257,33178,0,5,50
ENA/USD:USD,35041,872,14724608,48.1893163683224,14603475,89863,31270,0,7,43
ENJ/USD:USD,35041,872,1997425,6.536985245854856,1755294,190894,51237,0,3,48
ENS/USD:USD,35041,870,3348020,10.982274622798187,3173619,149329,25072,0,5,43
ESPORTS/USD:USD,35041,870,26843556,88.05302950533809,26787866,21590,34100,0,7,40
ETC/USD:USD,35041,872,2276473,7.450227374538189,2152259,75767,48447,0,13,48
ETH/USD:USD,35041,872,861871,2.820650593053642,784375,47966,29530,0,32,28
ETHFI/USD:USD,35041,870,15003609,49.215283771030784,14871986,105242,26381,0,5,47
EUR/USD:USD,35041,872,21955948,71.85536785348958,21825605,99416,30927,0,15,49
FARTCOIN/USD:USD,35041,872,20133636,65.89147601407421,20059221,43037,31378,0,9,33
FET/USD:USD,35041,872,6879744,22.515381064750102,6529233,320225,30286,0,3,93
FIL/USD:USD,35041,872,883566,2.891651954761251,783673,69622,30271,0,3,34
FLOKI/USD:USD,35041,869,15067070,49.48032436374303,14991489,41394,34187,0,23,36
FLOW/USD:USD,35041,872,2612534,8.55005630363802,2413343,160787,38404,0,5,52
FLR/USD:USD,35041,872,5344503,17.490988276119012,5166059,118806,59638,0,14,48
FLUX/USD:USD,35041,872,19192725,62.81215072042737,19033732,122156,36837,0,6,59
GALA/USD:USD,35041,872,2315969,7.5794861798852144,2141909,102458,71602,0,11,46
GAS/USD:USD,35041,866,18557854,61.15519708255977,18470367,86601,886,25,7,41
GBP/USD:USD,35041,872,22311973,73.02053308980908,21952818,214493,144662,0,10,98
GIGA/USD:USD,35041,872,19390975,63.460964730961294,19290309,65461,35205,0,12,48
GMT/USD:USD,35041,870,1209160,3.966322537769385,900661,268263,40236,0,2,48
GMX/USD:USD,35041,870,6406206,21.01382715223251,6215283,150518,40405,0,7,47
GOAT/USD:USD,35041,872,18432247,60.32332963037532,18310377,63492,58378,0,9,34
GRASS/USD:USD,35041,870,18823427,61.74516420337818,18708944,81548,32935,0,3,46
GRIFFAIN/USD:USD,35041,872,20202490,66.1168149289862,20095102,65167,42221,0,6,50
