symbol,status,error,dist_vwap_norm_nan_before,dist_vwap_norm_nan_after,tail_asymmetry_q90_q10_atr_norm_nan_before,tail_asymmetry_q90_q10_atr_norm_nan_after,vwap_zone_1d_atr_nan_before,vwap_zone_1d_atr_nan_after,dist_vwap_12_atr_nan_before,dist_vwap_12_atr_nan_after,dist_vwap_24_atr_nan_before,dist_vwap_24_atr_nan_after,dist_vwap_96_atr_nan_before,dist_vwap_96_atr_nan_after,trapped_longs_12_nan_before,trapped_longs_12_nan_after,trapped_longs_24_nan_before,trapped_longs_24_nan_after,trapped_longs_96_nan_before,trapped_longs_96_nan_after,dist_stack_nan_before,dist_stack_nan_after,oi_chg_2h_nan_before,oi_chg_2h_nan_after,oi_chg_4h_nan_before,oi_chg_4h_nan_after,oi_chg_8h_nan_before,oi_chg_8h_nan_after,oi_chg_z_2h_nan_before,oi_chg_z_2h_nan_after,oi_chg_z_4h_nan_before,oi_chg_z_4h_nan_after,oi_chg_z_8h_nan_before,oi_chg_z_8h_nan_after,oi_vel_2h_nan_before,oi_vel_2h_nan_after,oi_vel_4h_nan_before,oi_vel_4h_nan_after,oi_vel_8h_nan_before,oi_vel_8h_nan_after,oi_chg_w_nan_before,oi_chg_w_nan_after
1INCH_USD:USD,updated,,0.07262920578750606,0.07262920578750606,0.06378242630061927,0.06378242630061927,0.06549470620130704,0.06549470620130704,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.10904369167546589,0.10904369167546589,0.19908107645329756,0.19908107645329756,0.19913815244998717,0.19913815244998717,0.19925230444336633,0.19925230444336633,0.19908107645329756,0.19908107645329756,0.19913815244998717,0.19913815244998717,0.19925230444336633,0.19925230444336633,0.19908107645329756,0.19908107645329756,0.19913815244998717,0.19913815244998717,0.19925230444336633,0.19925230444336633,1.0,0.19925230444336633
2Z_USD:USD,updated,,0.9191233126908479,0.9191233126908479,0.8446676750092749,0.8446676750092749,0.8927542022202563,0.8927542022202563,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9467195570902657,0.9467195570902657,0.8464941069033418,0.8464941069033418,0.8465511829000314,0.8465511829000314,0.8466653348934106,0.8466653348934106,0.8464941069033418,0.8464941069033418,0.8465511829000314,0.8465511829000314,0.8466653348934106,0.8466653348934106,0.8464941069033418,0.8464941069033418,0.8465511829000314,0.8465511829000314,0.8466653348934106,0.8466653348934106,1.0,0.8466653348934106
AAVE_USD:USD,updated,,0.024143146599697497,0.024143146599697497,0.024057532604663107,0.024057532604663107,0.02397191860962872,0.02397191860962872,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.06552324419965183,0.06552324419965183,0.19910961445164235,0.19910961445164235,0.19916669044833196,0.19916669044833196,0.19928084244171113,0.19928084244171113,0.19910961445164235,0.19910961445164235,0.19916669044833196,0.19916669044833196,0.19928084244171113,0.19928084244171113,0.19910961445164235,0.19910961445164235,0.19916669044833196,0.19916669044833196,0.19928084244171113,0.19928084244171113,1.0,0.19933791843840074
ADA_USD:USD,updated,,0.0,0.0,0.00014268999172398049,0.00014268999172398049,2.8537998344796096e-05,2.8537998344796096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04160840158671271,0.04160840158671271,0.19913815244998717,0.19913815244998717,0.19919522844667675,0.19919522844667675,0.19930938044005594,0.19930938044005594,0.19913815244998717,0.19913815244998717,0.19919522844667675,0.19919522844667675,0.19930938044005594,0.19930938044005594,0.19913815244998717,0.19913815244998717,0.19919522844667675,0.19919522844667675,0.19930938044005594,0.19930938044005594,1.0,0.1994235324334351
AEVO_USD:USD,updated,,0.5090037384777831,0.5090037384777831,0.5005850289660683,0.5005850289660683,0.5014126309180674,0.5014126309180674,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5506121400644959,0.5506121400644959,0.5024399988584801,0.5024399988584801,0.5024970748551697,0.5024970748551697,0.5026112268485489,0.5026112268485489,0.5024399988584801,0.5024399988584801,0.5024970748551697,0.5024970748551697,0.5026112268485489,0.5026112268485489,0.5024399988584801,0.5024399988584801,0.5024970748551697,0.5024970748551697,0.5026112268485489,0.5026112268485489,1.0,0.5026112268485489
AIXBT_USD:USD,updated,,0.6670186353129192,0.6670186353129192,0.6671613253046431,0.6671613253046431,0.667047173311264,0.667047173311264,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.7086270368996319,0.7086270368996319,0.6689877571987101,0.6689877571987101,0.6690448331953996,0.6690448331953996,0.6691589851887788,0.6691589851887788,0.6689877571987101,0.6689877571987101,0.6690448331953996,0.6690448331953996,0.6691589851887788,0.6691589851887788,0.6689877571987101,0.6689877571987101,0.6690448331953996,0.6690448331953996,0.6691589851887788,0.6691589851887788,1.0,0.6691589851887788
AKT_USD:USD,updated,,0.6254102337262064,0.6254102337262064,0.6239833338089666,0.6239833338089666,0.6238691818155875,0.6238691818155875,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6670186353129192,0.6670186353129192,0.6258668416997232,0.6258668416997232,0.6259239176964128,0.6259239176964128,0.6260380696897919,0.6260380696897919,0.6258668416997232,0.6258668416997232,0.6259239176964128,0.6259239176964128,0.6260380696897919,0.6260380696897919,0.6258668416997232,0.6258668416997232,0.6259239176964128,0.6259239176964128,0.6260380696897919,0.6260380696897919,1.0,0.6260951456864815
ALCH_USD:USD,updated,,0.6783196826574585,0.6783196826574585,0.6718700950315345,0.6718700950315345,0.6742958248908422,0.6742958248908422,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.7199280842441711,0.7199280842441711,0.6736965269256014,0.6736965269256014,0.673753602922291,0.673753602922291,0.6738677549156702,0.6738677549156702,0.6736965269256014,0.6736965269256014,0.673753602922291,0.673753602922291,0.6738677549156702,0.6738677549156702,0.6736965269256014,0.6736965269256014,0.673753602922291,0.673753602922291,0.6738677549156702,0.6738677549156702,1.0,0.6738677549156702
ALGO_USD:USD,updated,,0.030307354242173453,0.030307354242173453,0.030164664250449474,0.030164664250449474,0.03005051225707029,0.03005051225707029,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.07183014183385178,0.07183014183385178,0.19908107645329756,0.19908107645329756,0.19913815244998717,0.19913815244998717,0.19925230444336633,0.19925230444336633,0.19908107645329756,0.19908107645329756,0.19913815244998717,0.19913815244998717,0.19925230444336633,0.19925230444336633,0.19908107645329756,0.19908107645329756,0.19913815244998717,0.19913815244998717,0.19925230444336633,0.19925230444336633,1.0,0.19930938044005594
ALICE_USD:USD,updated,,0.11001398361918895,0.11001398361918895,0.08295996118832225,0.08295996118832225,0.08741188893011044,0.08741188893011044,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.14639993150880398,0.14639993150880398,0.19916669044833196,0.19916669044833196,0.19922376644502154,0.19922376644502154,0.19933791843840074,0.19933791843840074,0.19916669044833196,0.19916669044833196,0.19922376644502154,0.19922376644502154,0.19933791843840074,0.19933791843840074,0.19916669044833196,0.19916669044833196,0.19922376644502154,0.19922376644502154,0.19933791843840074,0.19933791843840074,1.0,0.19945207043177993
