symbol,status,error,unwind_score_nan_before,unwind_score_nan_after,basis_nan_before,basis_nan_after,basis_pct_nan_before,basis_pct_nan_after,basis_per_atr_nan_before,basis_per_atr_nan_after,basis_stretch_nan_before,basis_stretch_nan_after,basis_vol_nan_before,basis_vol_nan_after,basis_mom_2h_nan_before,basis_mom_2h_nan_after,basis_mom_4h_nan_before,basis_mom_4h_nan_after,basis_mom_8h_nan_before,basis_mom_8h_nan_after,basis_mom_w_nan_before,basis_mom_w_nan_after,basis_fund_div_z_nan_before,basis_fund_div_z_nan_after,basis_funding_div_nan_before,basis_funding_div_nan_after,basis_funding_div_2h_nan_before,basis_funding_div_2h_nan_after,basis_funding_div_4h_nan_before,basis_funding_div_4h_nan_after,basis_funding_div_8h_nan_before,basis_funding_div_8h_nan_after,leverage_build_score_nan_before,leverage_build_score_nan_after,squeeze_prob_nan_before,squeeze_prob_nan_after,basis_adjusted_trend_5h_nan_before,basis_adjusted_trend_5h_nan_after,basis_adjusted_trend_10h_nan_before,basis_adjusted_trend_10h_nan_after,basis_adjusted_trend_self_z_5h_nan_before,basis_adjusted_trend_self_z_5h_nan_after,basis_adjusted_trend_self_z_10h_nan_before,basis_adjusted_trend_self_z_10h_nan_after
1INCH_USD:USD,updated,,0.19958342844099522,0.19958342844099522,0.0636270257931979,0.0636270257931979,0.0636270257931979,0.0636270257931979,0.0636270257931979,0.0636270257931979,0.06551015749828806,0.06551015749828806,0.06428326866012327,0.06428326866012327,0.065567222095412,0.065567222095412,0.06562428669253595,0.06562428669253595,0.06573841588678384,0.06573841588678384,0.06573841588678384,0.06573841588678384,0.06551015749828806,0.06551015749828806,0.06551015749828806,0.06551015749828806,0.06551015749828806,0.06551015749828806,0.06551015749828806,0.06551015749828806,0.06551015749828806,0.06551015749828806,0.19958342844099522,0.19958342844099522,0.20183748002739102,0.20183748002739102,0.06376968728600776,0.06376968728600776,0.06391234877881762,0.06391234877881762,0.06565281899109793,0.06565281899109793,0.06579548048390778,0.06579548048390778
2Z_USD:USD,updated,,0.8608479799132618,0.8608479799132618,0.8443563113444419,0.8443563113444419,0.8443563113444419,0.8443563113444419,0.8443563113444419,0.8443563113444419,0.846239443049532,0.846239443049532,0.8450125542113672,0.8450125542113672,0.846296507646656,0.846296507646656,0.8463535722437799,0.8463535722437799,0.8464677014380279,0.8464677014380279,0.8464677014380279,0.8464677014380279,0.8603343985391463,0.8603343985391463,0.8603343985391463,0.8603343985391463,0.8603343985391463,0.8603343985391463,0.8603343985391463,0.8603343985391463,0.8603343985391463,0.8603343985391463,0.8467530244236475,0.8467530244236475,0.8648710340104999,0.8648710340104999,0.8444989728372517,0.8444989728372517,0.8446416343300617,0.8446416343300617,0.846382104542342,0.846382104542342,0.8465247660351518,0.8465247660351518
AAVE_USD:USD,updated,,0.19955489614243324,0.19955489614243324,0.023910066194932664,0.023910066194932664,0.023910066194932664,0.023910066194932664,0.023910066194932664,0.023910066194932664,0.025793197900022827,0.025793197900022827,0.024566309061858024,0.024566309061858024,0.02585026249714677,0.02585026249714677,0.025907327094270714,0.025907327094270714,0.026021456288518603,0.026021456288518603,0.026021456288518603,0.026021456288518603,0.026107053184204518,0.026107053184204518,0.026107053184204518,0.026107053184204518,0.026107053184204518,0.026107053184204518,0.026107053184204518,0.026107053184204518,0.026107053184204518,0.026107053184204518,0.19955489614243324,0.19955489614243324,0.20180894772882904,0.20180894772882904,0.024052727687742526,0.024052727687742526,0.024195389180552387,0.024195389180552387,0.025935859392832685,0.025935859392832685,0.026078520885642546,0.026078520885642546
ADA_USD:USD,updated,,0.19952636384387126,0.19952636384387126,0.0,0.0,0.0,0.0,0.0,0.0,0.0018831317050901622,0.0018831317050901622,0.0006562428669253595,0.0006562428669253595,0.0019401963022141063,0.0019401963022141063,0.0019972608993380505,0.0019972608993380505,0.0021113900935859392,0.0021113900935859392,0.0021113900935859392,0.0021113900935859392,0.0021399223921479116,0.0021399223921479116,0.0021399223921479116,0.0021399223921479116,0.0021399223921479116,0.0021399223921479116,0.0021399223921479116,0.0021399223921479116,0.0021399223921479116,0.0021399223921479116,0.19952636384387126,0.19952636384387126,0.20178041543026706,0.20178041543026706,0.00014266149280986077,0.00014266149280986077,0.00028532298561972154,0.00028532298561972154,0.002025793197900023,0.002025793197900023,0.0021684546907098836,0.0021684546907098836
AEVO_USD:USD,updated,,0.5027676329605113,0.5027676329605113,0.5003709198813057,0.5003709198813057,0.5003709198813057,0.5003709198813057,0.5003709198813057,0.5003709198813057,0.5022540515863958,0.5022540515863958,0.501027162748231,0.501027162748231,0.5023111161835198,0.5023111161835198,0.5023681807806437,0.5023681807806437,0.5024823099748916,0.5024823099748916,0.5024823099748916,0.5024823099748916,0.5022540515863958,0.5022540515863958,0.5022540515863958,0.5022540515863958,0.5022540515863958,0.5022540515863958,0.5022540515863958,0.5022540515863958,0.5022540515863958,0.5022540515863958,0.5027676329605113,0.5027676329605113,0.5208856425473636,0.5208856425473636,0.5005135813741155,0.5005135813741155,0.5006562428669253,0.5006562428669253,0.5023967130792056,0.5023967130792056,0.5025393745720155,0.5025393745720155
AIXBT_USD:USD,updated,,0.6692821273681808,0.6692821273681808,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6687685459940653,0.6687685459940653,0.6675416571559005,0.6675416571559005,0.6688256105911893,0.6688256105911893,0.6688826751883131,0.6688826751883131,0.668996804382561,0.668996804382561,0.668996804382561,0.668996804382561,0.6687685459940653,0.6687685459940653,0.6687685459940653,0.6687685459940653,0.6687685459940653,0.6687685459940653,0.6687685459940653,0.6687685459940653,0.6687685459940653,0.6687685459940653,0.6692821273681808,0.6692821273681808,0.6874001369550331,0.6874001369550331,0.667028075781785,0.667028075781785,0.6671707372745949,0.6671707372745949,0.6689112074868752,0.6689112074868752,0.669053868979685,0.669053868979685
AKT_USD:USD,updated,,0.6261127596439169,0.6261127596439169,0.6237160465647112,0.6237160465647112,0.6237160465647112,0.6237160465647112,0.6237160465647112,0.6237160465647112,0.6255991782698014,0.6255991782698014,0.6243722894316366,0.6243722894316366,0.6256562428669253,0.6256562428669253,0.6257133074640493,0.6257133074640493,0.6258274366582972,0.6258274366582972,0.6258274366582972,0.6258274366582972,0.6255991782698014,0.6255991782698014,0.6255991782698014,0.6255991782698014,0.6255991782698014,0.6255991782698014,0.6255991782698014,0.6255991782698014,0.6255991782698014,0.6255991782698014,0.6261127596439169,0.6261127596439169,0.6442307692307693,0.6442307692307693,0.6238587080575211,0.6238587080575211,0.6240013695503309,0.6240013695503309,0.6257418397626113,0.6257418397626113,0.6258845012554212,0.6258845012554212
ALCH_USD:USD,updated,,0.6818363387354486,0.6818363387354486,0.6717929696416344,0.6717929696416344,0.6717929696416344,0.6717929696416344,0.6717929696416344,0.6717929696416344,0.6736761013467245,0.6736761013467245,0.6724492125085597,0.6724492125085597,0.6737331659438485,0.6737331659438485,0.6737902305409724,0.6737902305409724,0.6739043597352202,0.6739043597352202,0.6739043597352202,0.6739043597352202,0.6813227573613331,0.6813227573613331,0.6813227573613331,0.6813227573613331,0.6813227573613331,0.6813227573613331,0.6813227573613331,0.6813227573613331,0.6813227573613331,0.6813227573613331,0.6739899566309062,0.6739899566309062,0.6923076923076923,0.6923076923076923,0.6719356311344442,0.6719356311344442,0.672078292627254,0.672078292627254,0.6738187628395343,0.6738187628395343,0.6739614243323442,0.6739614243323442
ALGO_USD:USD,updated,,0.19952636384387126,0.19952636384387126,0.030015978087194705,0.030015978087194705,0.030015978087194705,0.030015978087194705,0.030015978087194705,0.030015978087194705,0.031899109792284865,0.031899109792284865,0.030672220954120064,0.030672220954120064,0.03195617438940881,0.03195617438940881,0.03201323898653276,0.03201323898653276,0.032127368180780644,0.032127368180780644,0.032127368180780644,0.032127368180780644,0.0320703035836567,0.0320703035836567,0.0320703035836567,0.0320703035836567,0.0320703035836567,0.0320703035836567,0.0320703035836567,0.0320703035836567,0.0320703035836567,0.0320703035836567,0.19952636384387126,0.19952636384387126,0.20178041543026706,0.20178041543026706,0.030158639580004566,0.030158639580004566,0.030301301072814427,0.030301301072814427,0.03204177128509473,0.03204177128509473,0.03218443277790459,0.03218443277790459
ALICE_USD:USD,updated,,0.19955489614243324,0.19955489614243324,0.08280073042684319,0.08280073042684319,0.08280073042684319,0.08280073042684319,0.08280073042684319,0.08280073042684319,0.08468386213193335,0.08468386213193335,0.08345697329376854,0.08345697329376854,0.0847409267290573,0.0847409267290573,0.08479799132618124,0.08479799132618124,0.08491212052042912,0.08491212052042912,0.08491212052042912,0.08491212052042912,0.08471239443049532,0.08471239443049532,0.08471239443049532,0.08471239443049532,0.08471239443049532,0.08471239443049532,0.08471239443049532,0.08471239443049532,0.08471239443049532,0.08471239443049532,0.19955489614243324,0.19955489614243324,0.20180894772882904,0.20180894772882904,0.08294339191965305,0.08294339191965305,0.0830860534124629,0.0830860534124629,0.0848265236247432,0.0848265236247432,0.08496918511755307,0.08496918511755307
