symbol,status,error,oi_rel_vol_2h_nan_before,oi_rel_vol_2h_nan_after,oi_rel_vol_4h_nan_before,oi_rel_vol_4h_nan_after,oi_rel_vol_8h_nan_before,oi_rel_vol_8h_nan_after,leverage_build_nan_before,leverage_build_nan_after,leverage_build_score_nan_before,leverage_build_score_nan_after,unwind_score_nan_before,unwind_score_nan_after
1INCH_USD:USD,updated,,0.4117462401187181,0.4117462401187181,0.30898090807910733,0.30898090807910733,0.238349362175737,0.238349362175737,0.1996232984218487,0.1996232984218487,0.1996232984218487,0.1996232984218487,0.1996232984218487,0.1996232984218487
2Z_USD:USD,updated,,0.9767415313489912,0.9767415313489912,0.9654690220027967,0.9654690220027967,0.9511714848320538,0.9511714848320538,0.8469221768785138,0.8469221768785138,0.8469221768785138,0.8469221768785138,0.861590708027739,0.861590708027739
AAVE_USD:USD,updated,,0.20367569418680972,0.20367569418680972,0.1987671584715048,0.1987671584715048,0.19759710053936816,0.19759710053936816,0.1996232984218487,0.1995947604235039,0.1996232984218487,0.1995947604235039,0.1995947604235039,0.1995947604235039
ADA_USD:USD,updated,,0.19762563853771298,0.19762563853771298,0.1975114865443338,0.1975114865443338,0.1975114865443338,0.1975114865443338,0.1996232984218487,0.1995662224251591,0.1996232984218487,0.1995662224251591,0.1995662224251591,0.1995662224251591
AEVO_USD:USD,updated,,0.7198710082474815,0.7198710082474815,0.6309466054050968,0.6309466054050968,0.5608002054735881,0.5608002054735881,0.502868068833652,0.502868068833652,0.502868068833652,0.502868068833652,0.502868068833652,0.502868068833652
AIXBT_USD:USD,updated,,0.7035187351959133,0.7035187351959133,0.6804600325333181,0.6804600325333181,0.6708427270911218,0.6708427270911218,0.669415827173882,0.669415827173882,0.669415827173882,0.669415827173882,0.669415827173882,0.669415827173882
AKT_USD:USD,updated,,0.7661596415627407,0.7661596415627407,0.7045746411346708,0.7045746411346708,0.6558888159584487,0.6558888159584487,0.6262378356782056,0.6262378356782056,0.6262378356782056,0.6262378356782056,0.6262378356782056,0.6262378356782056
ALCH_USD:USD,updated,,0.7651893496190177,0.7651893496190177,0.7272908878171285,0.7272908878171285,0.6992094974458491,0.6992094974458491,0.6741245969007734,0.6741245969007734,0.6741245969007734,0.6741245969007734,0.6819725464455924,0.6819725464455924
ALGO_USD:USD,updated,,0.2577837390485431,0.2577837390485431,0.22042749921520505,0.22042749921520505,0.20281955423646586,0.20281955423646586,0.1996232984218487,0.1995662224251591,0.1996232984218487,0.1995662224251591,0.1995662224251591,0.1995662224251591
ALICE_USD:USD,updated,,0.5794355183927399,0.5794355183927399,0.4397990924916526,0.4397990924916526,0.3186552895179932,0.3186552895179932,0.1996232984218487,0.1995947604235039,0.1996232984218487,0.1995947604235039,0.1995947604235039,0.1995947604235039
