sidecar,symbol_key,confirmed_before,source_conflicts_marked,error
1INCH_USD_USD.parquet,1INCH_USD:USD,14973,24,
2Z_USD_USD.parquet,2Z_USD:USD,4949,8,
AAVE_USD_USD.parquet,AAVE_USD:USD,3547,0,
ADA_USD_USD.parquet,ADA_USD:USD,0,0,
AEVO_USD_USD.parquet,AEVO_USD:USD,10679,34,
AIXBT_USD_USD.parquet,AIXBT_USD:USD,2626,25,
AKT_USD_USD.parquet,AKT_USD:USD,7260,22,
ALCH_USD_USD.parquet,ALCH_USD:USD,4779,9,
ALEO_USD_USD.parquet,ALEO_USD:USD,1752,4,
ALGO_USD_USD.parquet,ALGO_USD:USD,7091,0,
ALICE_USD_USD.parquet,ALICE_USD:USD,21094,17,
ALT_USD_USD.parquet,ALT_USD:USD,10563,18,
ANIME_USD_USD.parquet,ANIME_USD:USD,8975,16,
ANKR_USD_USD.parquet,ANKR_USD:USD,17050,18,
APE_USD_USD.parquet,APE_USD:USD,3290,3,
API3_USD_USD.parquet,API3_USD:USD,9170,25,
APT_USD_USD.parquet,APT_USD:USD,4845,0,
ARB_USD_USD.parquet,ARB_USD:USD,2509,0,
ARC_USD_USD.parquet,ARC_USD:USD,4179,13,
ARKM_USD_USD.parquet,ARKM_USD:USD,9570,8,
AR_USD_USD.parquet,AR_USD:USD,3646,21,
ASTER_USD_USD.parquet,ASTER_USD:USD,1643,24,
ASTR_USD_USD.parquet,ASTR_USD:USD,12921,18,
ATH_USD_USD.parquet,ATH_USD:USD,7400,16,
ATOM_USD_USD.parquet,ATOM_USD:USD,540,0,
AUCTION_USD_USD.parquet,AUCTION_USD:USD,10193,15,
AUD_USD_USD.parquet,AUD_USD:USD,5282,0,
AVAX_USD_USD.parquet,AVAX_USD:USD,747,0,
AXS_USD_USD.parquet,AXS_USD:USD,5390,0,
B3_USD_USD.parquet,B3_USD:USD,8416,16,
BAND_USD_USD.parquet,BAND_USD:USD,19704,14,
BAT_USD_USD.parquet,BAT_USD:USD,19122,30,
BCH_USD_USD.parquet,BCH_USD:USD,1430,0,
BDX_USD_USD.parquet,BDX_USD:USD,0,0,
BEAM_USD_USD.parquet,BEAM_USD:USD,8786,22,
BERA_USD_USD.parquet,BERA_USD:USD,3592,24,
BICO_USD_USD.parquet,BICO_USD:USD,13351,13,
BIGTIME_USD_USD.parquet,BIGTIME_USD:USD,8648,6,
BIO_USD_USD.parquet,BIO_USD:USD,6145,19,
BLUR_USD_USD.parquet,BLUR_USD:USD,10473,27,
BNB_USD_USD.parquet,BNB_USD:USD,783,0,
BNT_USD_USD.parquet,BNT_USD:USD,14071,8,
BONK_USD_USD.parquet,BONK_USD:USD,657,18,
BTC_USD_USD.parquet,BTC_USD:USD,0,0,
C98_USD_USD.parquet,C98_USD:USD,12992,20,
CAKE_USD_USD.parquet,CAKE_USD:USD,6535,18,
CAT_USD_USD.parquet,CAT_USD:USD,6637,16,
CELO_USD_USD.parquet,CELO_USD:USD,9926,32,
CELR_USD_USD.parquet,CELR_USD:USD,9895,22,
CFG_USD_USD.parquet,CFG_USD:USD,1664,5,
CHR_USD_USD.parquet,CHR_USD:USD,12132,17,
CHZ_USD_USD.parquet,CHZ_USD:USD,9947,8,
COMP_USD_USD.parquet,COMP_USD:USD,14096,29,
COOKIE_USD_USD.parquet,COOKIE_USD:USD,8169,33,
COTI_USD_USD.parquet,COTI_USD:USD,9153,23,
COW_USD_USD.parquet,COW_USD:USD,9517,11,
CRO_USD_USD.parquet,CRO_USD:USD,5383,31,
CRV_USD_USD.parquet,CRV_USD:USD,2159,0,
CTSI_USD_USD.parquet,CTSI_USD:USD,12686,9,
CVX_USD_USD.parquet,CVX_USD:USD,14303,27,
CYBER_USD_USD.parquet,CYBER_USD:USD,10895,3,
DASH_USD_USD.parquet,DASH_USD:USD,10939,0,
DEEP_USD_USD.parquet,DEEP_USD:USD,9050,15,
DEGEN_USD_USD.parquet,DEGEN_USD:USD,7802,17,
DENT_USD_USD.parquet,DENT_USD:USD,9920,42,
DOGE_USD_USD.parquet,DOGE_USD:USD,1272,0,
DOGS_USD_USD.parquet,DOGS_USD:USD,9397,20,
DOG_USD_USD.parquet,DOG_USD:USD,6163,16,
DOT_USD_USD.parquet,DOT_USD:USD,465,0,
DYDX_USD_USD.parquet,DYDX_USD:USD,8343,1,
DYM_USD_USD.parquet,DYM_USD:USD,8324,19,
EGLD_USD_USD.parquet,EGLD_USD:USD,14724,41,
EIGEN_USD_USD.parquet,EIGEN_USD:USD,4635,36,
ENA_USD_USD.parquet,ENA_USD:USD,551,0,
ENJ_USD_USD.parquet,ENJ_USD:USD,16848,10,
ENS_USD_USD.parquet,ENS_USD:USD,7960,13,
ESPORTS_USD_USD.parquet,ESPORTS_USD:USD,1368,4,
ETC_USD_USD.parquet,ETC_USD:USD,9925,0,
ETHFI_USD_USD.parquet,ETHFI_USD:USD,6403,8,
ETH_USD_USD.parquet,ETH_USD:USD,0,0,
EUR_USD_USD.parquet,EUR_USD:USD,8942,2,
