symbol,status,error,dist_vwap_norm_nan_before,dist_vwap_norm_nan_after,vwap_zone_1d_atr_nan_before,vwap_zone_1d_atr_nan_after,vwap_zone_7d_atr_nan_before,vwap_zone_7d_atr_nan_after,dist_vwap_12_atr_nan_before,dist_vwap_12_atr_nan_after,dist_vwap_24_atr_nan_before,dist_vwap_24_atr_nan_after,dist_vwap_96_atr_nan_before,dist_vwap_96_atr_nan_after,trapped_longs_12_nan_before,trapped_longs_12_nan_after,trapped_longs_24_nan_before,trapped_longs_24_nan_after,trapped_longs_96_nan_before,trapped_longs_96_nan_after,dist_stack_nan_before,dist_stack_nan_after,oi_rel_vol_2h_nan_before,oi_rel_vol_2h_nan_after,oi_rel_vol_4h_nan_before,oi_rel_vol_4h_nan_after,oi_rel_vol_8h_nan_before,oi_rel_vol_8h_nan_after,unwind_score_nan_before,unwind_score_nan_after,innovation_z_x_zr_1h_nan_before,innovation_z_x_zr_1h_nan_after,innovation_z_x_zr_3h_nan_before,innovation_z_x_zr_3h_nan_after
1INCH_USD:USD,updated,,0.07262920578750606,0.07262920578750606,0.06549470620130704,0.06549470620130704,0.06366827430724009,0.06366827430724009,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.07262920578750606,0.10904369167546589,0.10904369167546589,0.4117462401187181,0.4117462401187181,0.30898090807910733,0.30898090807910733,0.238349362175737,0.238349362175737,0.1996232984218487,0.1996232984218487,0.9516851688022602,0.9516851688022602,0.9516851688022602,0.9516851688022602
2Z_USD:USD,updated,,0.9191233126908479,0.9191233126908479,0.8927542022202563,0.8927542022202563,0.8554835763819526,0.8554835763819526,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9191233126908479,0.9467195570902657,0.9467195570902657,0.9767415313489912,0.9767415313489912,0.9654690220027967,0.9654690220027967,0.9511714848320538,0.9511714848320538,0.861590708027739,0.861590708027739,0.9985160240860707,0.9985160240860707,0.9985160240860707,0.9985160240860707
AAVE_USD:USD,updated,,0.024143146599697497,0.024143146599697497,0.02397191860962872,0.02397191860962872,0.02397191860962872,0.02397191860962872,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.024143146599697497,0.06552324419965183,0.06552324419965183,0.20370423218515454,0.20367569418680972,0.1987956964698496,0.1987671584715048,0.19762563853771298,0.19759710053936816,0.1996232984218487,0.1995947604235039,0.050483719071944294,0.050483719071944294,0.050455181073599496,0.050455181073599496
ADA_USD:USD,updated,,0.0,0.0,2.8537998344796096e-05,2.8537998344796096e-05,2.8537998344796096e-05,2.8537998344796096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04160840158671271,0.04160840158671271,0.19768271453440256,0.19762563853771298,0.19756856254102337,0.1975114865443338,0.19756856254102337,0.1975114865443338,0.1996232984218487,0.1995662224251591,0.881738534859165,0.881738534859165,0.881738534859165,0.881738534859165
AEVO_USD:USD,updated,,0.5090037384777831,0.5090037384777831,0.5014126309180674,0.5014126309180674,0.5004708769726891,0.5004708769726891,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5090037384777831,0.5506121400644959,0.5506121400644959,0.7198710082474815,0.7198710082474815,0.6309466054050968,0.6309466054050968,0.5608002054735881,0.5608002054735881,0.502868068833652,0.502868068833652,0.9797950971718844,0.9797950971718844,0.9797950971718844,0.9797950971718844
AIXBT_USD:USD,updated,,0.6670186353129192,0.6670186353129192,0.667047173311264,0.667047173311264,0.667047173311264,0.667047173311264,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.6670186353129192,0.7086270368996319,0.7086270368996319,0.7035187351959133,0.7035187351959133,0.6804600325333181,0.6804600325333181,0.6708427270911218,0.6708427270911218,0.669415827173882,0.669415827173882,0.9917525184783539,0.9917525184783539,0.9917525184783539,0.9917525184783539
AKT_USD:USD,updated,,0.6254102337262064,0.6254102337262064,0.6238691818155875,0.6238691818155875,0.6238691818155875,0.6238691818155875,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6254102337262064,0.6670186353129192,0.6670186353129192,0.7661596415627407,0.7661596415627407,0.7045746411346708,0.7045746411346708,0.6558888159584487,0.6558888159584487,0.6262378356782056,0.6262378356782056,0.8620187780029108,0.8620187780029108,0.861990240004566,0.861990240004566
ALCH_USD:USD,updated,,0.6783196826574585,0.6783196826574585,0.6742958248908422,0.6742958248908422,0.6717559430381553,0.6717559430381553,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.6783196826574585,0.7199280842441711,0.7199280842441711,0.7651893496190177,0.7651893496190177,0.7272908878171285,0.7272908878171285,0.6992094974458491,0.6992094974458491,0.6819725464455924,0.6819725464455924,0.9843041009103621,0.9843041009103621,0.9843041009103621,0.9843041009103621
ALGO_USD:USD,updated,,0.030307354242173453,0.030307354242173453,0.03005051225707029,0.03005051225707029,0.03005051225707029,0.03005051225707029,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.030307354242173453,0.07183014183385178,0.07183014183385178,0.2578408150452327,0.2577837390485431,0.22048457521189463,0.22042749921520505,0.20287663023315544,0.20281955423646586,0.1996232984218487,0.1995662224251591,0.9728032875774093,0.9728032875774093,0.9728032875774093,0.9728032875774093
ALICE_USD:USD,updated,,0.11001398361918895,0.11001398361918895,0.08741188893011044,0.08741188893011044,0.08290288519163266,0.08290288519163266,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.11001398361918895,0.14639993150880398,0.14639993150880398,0.5794640563910848,0.5794355183927399,0.43982763048999746,0.4397990924916526,0.318683827516338,0.3186552895179932,0.1996232984218487,0.1995947604235039,0.6631374675380269,0.6631374675380269,0.663108929539682,0.663108929539682
