symbol_key,rows,actual_trades_rows,confirmed_no_trades_rows,unavailable_rows,duplicate_timestamps,non_hourly_timestamps,negative_numeric_rows,bad_actual_trade_rows,bad_confirmed_no_trade_rows,unavailable_rows_with_numeric_values,max_vwap_rel_error_actual_trades
1INCH_USD_USD,31215,16242,14973,0,0,0,0,0,0,0,0.0
2Z_USD_USD,5475,526,4949,0,0,0,0,0,0,0,0.0
AAVE_USD_USD,16177,12626,3547,4,0,0,0,0,0,0,0.0
ADA_USD_USD,428,0,0,428,0,0,0,0,0,0,
AEVO_USD_USD,17454,6775,10679,0,0,0,0,0,0,0,0.0
AIXBT_USD_USD,10938,8312,2626,0,0,0,0,0,0,0,0.0
AKT_USD_USD,13108,5848,7260,0,0,0,0,0,0,0,0.0
ALCH_USD_USD,10951,6172,4779,0,0,0,0,0,0,0,0.0
ALEO_USD_USD,1798,46,1752,0,0,0,0,0,0,0,0.0
ALGO_USD_USD,28937,21846,7091,0,0,0,0,0,0,0,0.0
ALICE_USD_USD,32067,10973,21094,0,0,0,0,0,0,0,0.0
ALT_USD_USD,17289,6726,10563,0,0,0,0,0,0,0,0.0
ANIME_USD_USD,11569,2594,8975,0,0,0,0,0,0,0,0.0
ANKR_USD_USD,32082,15032,17050,0,0,0,0,0,0,0,0.0
APE_USD_USD,27444,24154,3290,0,0,0,0,0,0,0,0.0
API3_USD_USD,20006,10836,9170,0,0,0,0,0,0,0,0.0
APT_USD_USD,22141,17293,4845,3,0,0,0,0,0,0,0.0
ARB_USD_USD,8112,5592,2509,11,0,0,0,0,0,0,0.0
ARC_USD_USD,10839,6660,4179,0,0,0,0,0,0,0,0.0
ARKM_USD_USD,17404,7834,9570,0,0,0,0,0,0,0,0.0
AR_USD_USD,16988,13342,3646,0,0,0,0,0,0,0,0.0
ASTER_USD_USD,5611,3968,1643,0,0,0,0,0,0,0,0.0
ASTR_USD_USD,17998,5077,12921,0,0,0,0,0,0,0,0.0
ATH_USD_USD,13191,5791,7400,0,0,0,0,0,0,0,0.0
ATOM_USD_USD,10824,10274,540,10,0,0,0,0,0,0,0.0
AUCTION_USD_USD,15107,4914,10193,0,0,0,0,0,0,0,0.0
AUD_USD_USD,9039,74,5282,3683,0,0,0,0,0,0,0.0
AVAX_USD_USD,9866,9109,747,10,0,0,0,0,0,0,0.0
AXS_USD_USD,30105,24715,5390,0,0,0,0,0,0,0,0.0
B3_USD_USD,10443,2027,8416,0,0,0,0,0,0,0,0.0
BAND_USD_USD,31925,12221,19704,0,0,0,0,0,0,0,0.0
BAT_USD_USD,33413,14291,19122,0,0,0,0,0,0,0,0.0
BCH_USD_USD,13761,12327,1430,4,0,0,0,0,0,0,0.0
BDX_USD_USD,2109,0,0,2109,0,0,0,0,0,0,
BEAM_USD_USD,17554,8768,8786,0,0,0,0,0,0,0,0.0
BERA_USD_USD,10755,7163,3592,0,0,0,0,0,0,0,0.0
BICO_USD_USD,18003,4652,13351,0,0,0,0,0,0,0,0.0
BIGTIME_USD_USD,15956,7308,8648,0,0,0,0,0,0,0,0.0
BIO_USD_USD,11459,5308,6145,6,0,0,0,0,0,0,0.0
BLUR_USD_USD,28145,17672,10473,0,0,0,0,0,0,0,0.0
BNB_USD_USD,6468,5677,783,8,0,0,0,0,0,0,0.0
BNT_USD_USD,16875,2804,14071,0,0,0,0,0,0,0,0.0
BONK_USD_USD,7020,5970,657,393,0,0,0,0,0,0,0.0
BTC_USD_USD,399,0,0,399,0,0,0,0,0,0,
C98_USD_USD,17499,4507,12992,0,0,0,0,0,0,0,0.0
CAKE_USD_USD,12950,6415,6535,0,0,0,0,0,0,0,0.0
CAT_USD_USD,13498,6861,6637,0,0,0,0,0,0,0,0.0
CELO_USD_USD,13992,4066,9926,0,0,0,0,0,0,0,0.0
CELR_USD_USD,15302,5407,9895,0,0,0,0,0,0,0,0.0
CFG_USD_USD,2066,402,1664,0,0,0,0,0,0,0,0.0
CHR_USD_USD,17813,5681,12132,0,0,0,0,0,0,0,0.0
CHZ_USD_USD,31510,21563,9947,0,0,0,0,0,0,0,0.0
COMP_USD_USD,32873,18777,14096,0,0,0,0,0,0,0,0.0
COOKIE_USD_USD,11326,3157,8169,0,0,0,0,0,0,0,0.0
COTI_USD_USD,17896,8743,9153,0,0,0,0,0,0,0,0.0
COW_USD_USD,12984,3467,9517,0,0,0,0,0,0,0,0.0
CRO_USD_USD,11904,6521,5383,0,0,0,0,0,0,0,0.0
CRV_USD_USD,12737,10569,2159,9,0,0,0,0,0,0,0.0
CTSI_USD_USD,17357,4671,12686,0,0,0,0,0,0,0,0.0
CVX_USD_USD,27123,12820,14303,0,0,0,0,0,0,0,0.0
CYBER_USD_USD,13798,2903,10895,0,0,0,0,0,0,0,0.0
