symbol,status,error,innovation_z_x_zr_1h_nan_before,innovation_z_x_zr_1h_nan_after,innovation_z_x_zr_3h_nan_before,innovation_z_x_zr_3h_nan_after
1INCH_USD:USD,updated,,1.0,0.9516851688022602,0.9516851688022602,0.9516851688022602
2Z_USD:USD,updated,,1.0,0.9985160240860707,0.9985160240860707,0.9985160240860707
AAVE_USD:USD,updated,,1.0,0.050483719071944294,0.050455181073599496,0.050455181073599496
ADA_USD:USD,updated,,1.0,0.881738534859165,0.881738534859165,0.881738534859165
AEVO_USD:USD,updated,,1.0,0.9797950971718844,0.9797950971718844,0.9797950971718844
AIXBT_USD:USD,updated,,1.0,0.9917525184783539,0.9917525184783539,0.9917525184783539
AKT_USD:USD,updated,,1.0,0.8620187780029108,0.861990240004566,0.861990240004566
ALCH_USD:USD,updated,,1.0,0.9843041009103621,0.9843041009103621,0.9843041009103621
ALGO_USD:USD,updated,,1.0,0.9728032875774093,0.9728032875774093,0.9728032875774093
ALICE_USD:USD,updated,,1.0,0.6631374675380269,0.663108929539682,0.663108929539682
ALT_USD:USD,updated,,1.0,0.9967181301903485,0.9967181301903485,0.9967181301903485
ANIME_USD:USD,updated,,1.0,0.9994292400331041,0.9994292400331041,0.9994292400331041
ANKR_USD:USD,updated,,1.0,0.9989155560628977,0.9989155560628977,0.9989155560628977
APE_USD:USD,updated,,1.0,0.5152250221169488,0.515196484118604,0.515196484118604
API3_USD:USD,updated,,1.0,0.7709254872863217,0.7708969492879769,0.7708969492879769
APT_USD:USD,updated,,1.0,0.2025627122513627,0.2025341742530179,0.2025341742530179
ARB_USD:USD,updated,,1.0,0.7908450101309894,0.7908450101309894,0.7908450101309894
ARC_USD:USD,updated,,1.0,0.9905824605462172,0.9905824605462172,0.9905824605462172
ARKM_USD:USD,updated,,1.0,0.8747181872663451,0.8746896492680003,0.8746896492680003
AR_USD:USD,updated,,1.0,0.5396535487000942,0.5396250107017494,0.5396250107017494
ASTER_USD:USD,updated,,1.0,0.9740018835078907,0.9740018835078907,0.9740018835078907
ASTR_USD:USD,updated,,1.0,0.999857310008276,0.999857310008276,0.999857310008276
ATH_USD:USD,updated,,1.0,0.9987728660711738,0.9987728660711738,0.9987728660711738
ATOM_USD:USD,updated,,1.0,0.04357752347250364,0.04354898547415884,0.04354898547415884
AUCTION_USD:USD,updated,,1.0,0.5893382038183842,0.5893096658200394,0.5893096658200394
AUD_USD:USD,updated,,1.0,0.9995148540281384,0.9995148540281384,0.9995148540281384
AVAX_USD:USD,updated,,1.0,0.027738934391141806,0.02771039639279701,0.02771039639279701
AXS_USD:USD,updated,,1.0,0.17097114808367342,0.17094261008532863,0.17094261008532863
B3_USD:USD,updated,,1.0,0.9988584800662081,0.9988584800662081,0.9988584800662081
BAND_USD:USD,updated,,1.0,0.5476441882366371,0.5476156502382923,0.5476156502382923
BAT_USD:USD,updated,,1.0,0.9851031648640164,0.9851031648640164,0.9851031648640164
BCH_USD:USD,updated,,1.0,0.026483262463970775,0.02645472446562598,0.02645472446562598
BEAM_USD:USD,updated,,1.0,0.9999714620016552,0.9999714620016552,0.9999714620016552
BERA_USD:USD,updated,,1.0,0.8567963243058132,0.8567677863074684,0.8567677863074684
BICO_USD:USD,updated,,1.0,0.9908107645329757,0.9907822265346309,0.9907822265346309
BIGTIME_USD:USD,updated,,1.0,0.9939214063525584,0.9939214063525584,0.9939214063525584
BIO_USD:USD,updated,,1.0,0.9894124026140807,0.9894124026140807,0.9894124026140807
BLUR_USD:USD,updated,,1.0,0.9484318369909535,0.9484318369909535,0.9484318369909535
BNB_USD:USD,updated,,1.0,0.40167232670300507,0.4016437887046603,0.4016437887046603
BNT_USD:USD,updated,,1.0,0.9421820153534431,0.9421820153534431,0.9421820153534431
BONK_USD:USD,updated,,1.0,,1.0,
BTC_USD:USD,updated,,1.0,0.026483262463970775,0.02645472446562598,0.02645472446562598
C98_USD:USD,updated,,1.0,0.9952912302731086,0.9952912302731086,0.9952912302731086
CAKE_USD:USD,updated,,1.0,0.6993807254359179,0.6993521874375731,0.6993521874375731
CAT_USD:USD,updated,,1.0,,1.0,
CELO_USD:USD,updated,,1.0,0.9796238691818155,0.9795953311834708,0.9795953311834708
CELR_USD:USD,updated,,1.0,0.9998002340115865,0.9998002340115865,0.9998002340115865
CFX_USD:USD,updated,,1.0,0.9827059730030535,0.9827059730030535,0.9827059730030535
CHR_USD:USD,updated,,1.0,0.9929225764104905,0.9929225764104905,0.9929225764104905
CHZ_USD:USD,updated,,1.0,0.9950058502896607,0.9950058502896607,0.9950058502896607
COMP_USD:USD,updated,,1.0,0.06226991238834508,0.062241374390000284,0.062241374390000284
COOKIE_USD:USD,updated,,1.0,0.9920093604634571,0.9920093604634571,0.9920093604634571
COTI_USD:USD,updated,,1.0,0.997060586170486,0.997060586170486,0.997060586170486
COW_USD:USD,updated,,1.0,0.9807653891156074,0.9807653891156074,0.9807653891156074
