symbol,status,error,basis_pct_mkt_resid_nan_before,basis_pct_mkt_resid_nan_after,basis_fund_div_mkt_resid_nan_before,basis_fund_div_mkt_resid_nan_after,squeeze_prob_mkt_resid_nan_before,squeeze_prob_mkt_resid_nan_after
1INCH_USD:USD,updated,,0.06881990413147683,0.06881990413147683,0.06893403332572472,0.06893403332572472,0.20526135585482766,0.20526135585482766
2Z_USD:USD,updated,,0.8495491896827209,0.8495491896827209,0.8671821501940197,0.8671821501940197,0.8682949098379366,0.8682949098379366
AAVE_USD:USD,updated,,0.029102944533211595,0.029102944533211595,0.02953092901164118,0.02953092901164118,0.20523282355626568,0.20523282355626568
ADA_USD:USD,updated,,0.0051928783382789315,0.0051928783382789315,0.00556379821958457,0.00556379821958457,0.20520429125770373,0.20520429125770373
AEVO_USD:USD,updated,,0.5105284181693677,0.5105284181693677,0.5056779274138324,0.5056779274138324,0.5243095183748002,0.5243095183748002
AIXBT_USD:USD,updated,,0.6933063227573614,0.6933063227573614,0.672192421821502,0.672192421821502,0.6908240127824697,0.6908240127824697
AKT_USD:USD,updated,,0.6289089249029902,0.6289089249029902,0.629023054097238,0.629023054097238,0.6476546450582059,0.6476546450582059
ALCH_USD:USD,updated,,0.7315110705318421,0.7315110705318421,0.6881705090162064,0.6881705090162064,0.6957315681351289,0.6957315681351289
ALGO_USD:USD,updated,,0.03520885642547364,0.03520885642547364,0.035494179411093355,0.035494179411093355,0.20520429125770373,0.20520429125770373
ALICE_USD:USD,updated,,0.08799360876512212,0.08799360876512212,0.08813627025793198,0.08813627025793198,0.20523282355626568,0.20523282355626568
ALT_USD:USD,updated,,0.5104998858708057,0.5104998858708057,0.5100148367952523,0.5100148367952523,0.5286464277562201,0.5286464277562201
ANIME_USD:USD,updated,,0.8583371376398082,0.8583371376398082,0.6743608765122118,0.6743608765122118,0.6929924674731797,0.6929924674731797
ANKR_USD:USD,updated,,0.08348550559233052,0.08348550559233052,0.08385642547363616,0.08385642547363616,0.20520429125770373,0.20520429125770373
APE_USD:USD,updated,,0.019459027619265008,0.019459027619265008,0.01963022141063684,0.01963022141063684,0.20520429125770373,0.20520429125770373
API3_USD:USD,updated,,0.428269801415202,0.428269801415202,0.4455889066423191,0.4455889066423191,0.44721524766035153,0.44721524766035153
APT_USD:USD,updated,,0.10705318420451952,0.10705318420451952,0.1074811686829491,0.1074811686829491,0.20526135585482766,0.20526135585482766
ARB_USD:USD,updated,,0.21325039945217986,0.21325039945217986,0.2134215932435517,0.2134215932435517,0.2320531842045195,0.2320531842045195
ARC_USD:USD,updated,,0.7309974891577266,0.7309974891577266,0.6880563798219584,0.6880563798219584,0.6958742296279389,0.6958742296279389
ARKM_USD:USD,updated,,0.5104998858708057,0.5104998858708057,0.5005421136726774,0.5005421136726774,0.5191737046336453,0.5191737046336453
AR_USD:USD,updated,,0.7384444190824013,0.7384444190824013,0.4966902533668112,0.4966902533668112,0.515321844327779,0.515321844327779
ASTER_USD:USD,updated,,0.8583086053412463,0.8583086053412463,0.8418454690709883,0.8418454690709883,0.8604770600319561,0.8604770600319561
ASTR_USD:USD,updated,,0.49124058434147455,0.49124058434147455,0.4913832458342844,0.4913832458342844,0.5100148367952523,0.5100148367952523
ATH_USD:USD,updated,,0.6257703720611733,0.6257703720611733,0.6258845012554212,0.6258845012554212,0.644516092216389,0.644516092216389
ATOM_USD:USD,updated,,0.0051928783382789315,0.0051928783382789315,0.00556379821958457,0.00556379821958457,0.20520429125770373,0.20520429125770373
AUCTION_USD:USD,updated,,0.5638552841816937,0.5638552841816937,0.5639979456745036,0.5639979456745036,0.5826295366354713,0.5826295366354713
AUD_USD:USD,updated,,0.747888609906414,0.747888609906414,0.748002739100662,0.748002739100662,0.8569390550102717,0.8569390550102717
AVAX_USD:USD,updated,,0.0051928783382789315,0.0051928783382789315,0.00556379821958457,0.00556379821958457,0.20520429125770373,0.20520429125770373
AXS_USD:USD,updated,,0.054496690253366814,0.054496690253366814,0.05486761013467245,0.05486761013467245,0.20520429125770373,0.20520429125770373
B3_USD:USD,updated,,0.7076866012325953,0.7076866012325953,0.7078007304268432,0.7078007304268432,0.726432321387811,0.726432321387811
BAND_USD:USD,updated,,0.08799360876512212,0.08799360876512212,0.08813627025793198,0.08813627025793198,0.20520429125770373,0.20520429125770373
BAT_USD:USD,updated,,0.04493837023510614,0.04493837023510614,0.045937000684775166,0.045937000684775166,0.20531842045195162,0.20531842045195162
BCH_USD:USD,updated,,0.0051928783382789315,0.0051928783382789315,0.00556379821958457,0.00556379821958457,0.20523282355626568,0.20523282355626568
BEAM_USD:USD,updated,,0.48168226432321387,0.48168226432321387,0.4821673133987674,0.4821673133987674,0.5007989043597352,0.5007989043597352
BERA_USD:USD,updated,,0.6872289431636612,0.6872289431636612,0.6875427984478429,0.6875427984478429,0.7061743894088107,0.7061743894088107
BICO_USD:USD,updated,,0.49075553526592103,0.49075553526592103,0.49089819675873086,0.49089819675873086,0.5095297877196987,0.5095297877196987
BIGTIME_USD:USD,updated,,0.5319561743894088,0.5319561743894088,0.5410294453321159,0.5410294453321159,0.547078292627254,0.547078292627254
BIO_USD:USD,updated,,0.6817507418397626,0.6817507418397626,0.6878566537320246,0.6878566537320246,0.6959027619265008,0.6959027619265008
BLUR_USD:USD,updated,,0.1893403332572472,0.1893403332572472,0.19444761469984023,0.19444761469984023,0.20808605341246292,0.20808605341246292
BNB_USD:USD,updated,,0.7343643003880392,0.7343643003880392,0.3805067336224606,0.3805067336224606,0.4230769230769231,0.4230769230769231
BNT_USD:USD,updated,,0.5234820817165031,0.5234820817165031,0.523624743209313,0.523624743209313,0.5422563341702807,0.5422563341702807
BONK_USD:USD,updated,,0.40093585939283266,0.40093585939283266,0.400622004108651,0.400622004108651,0.4192535950696188,0.4192535950696188
BTC_USD:BTC,updated,,1.0,1.0,0.005677927413832458,0.005677927413832458,0.25336681123031274,0.25336681123031274
BTC_USD:USD,updated,,0.005221410636840904,0.005221410636840904,0.00556379821958457,0.00556379821958457,0.20520429125770373,0.20520429125770373
C98_USD:USD,updated,,0.5056208628167085,0.5056208628167085,0.5057349920109564,0.5057349920109564,0.5243665829719242,0.5243665829719242
CAKE_USD:USD,updated,,0.7409837936544168,0.7409837936544168,0.629165715590048,0.629165715590048,0.6477973065510158,0.6477973065510158
CAT_USD:USD,updated,,0.7549646199497831,0.7549646199497831,0.6161549874457887,0.6161549874457887,0.6347865784067565,0.6347865784067565
CELO_USD:USD,updated,,0.7241212052042912,0.7241212052042912,0.6059404245606026,0.6059404245606026,0.6245720155215704,0.6245720155215704
CELR_USD:USD,updated,,0.5680495320703036,0.5680495320703036,0.5684204519516092,0.5684204519516092,0.5870520429125771,0.5870520429125771
CFX_USD:USD,updated,,1.0,1.0,0.3100034238758274,0.3100034238758274,0.3765122118237845,0.3765122118237845
CHR_USD:USD,updated,,0.4957201552157042,0.4957201552157042,0.49586281670851406,0.49586281670851406,0.5144944076694818,0.5144944076694818
CHZ_USD:USD,updated,,0.04493837023510614,0.04493837023510614,0.04530929011641178,0.04530929011641178,0.20531842045195162,0.20531842045195162
COMP_USD:USD,updated,,0.040087879479570876,0.040087879479570876,0.04031613786806665,0.04031613786806665,0.20531842045195162,0.20531842045195162
COOKIE_USD:USD,updated,,0.7453492353343986,0.7453492353343986,0.6821787263181922,0.6821787263181922,0.70081031727916,0.70081031727916
COTI_USD:USD,updated,,0.4899851632047478,0.4899851632047478,0.4900992923989957,0.4900992923989957,0.5087308833599635,0.5087308833599635
COW_USD:USD,updated,,0.6681123031271399,0.6681123031271399,0.6341018032412691,0.6341018032412691,0.652733394202237,0.652733394202237
CRO_USD:USD,updated,,0.6775564939511527,0.6775564939511527,0.6503652134215933,0.6503652134215933,0.668996804382561,0.668996804382561
CRV_USD:USD,updated,,0.029102944533211595,0.029102944533211595,0.029217073727459485,0.029217073727459485,0.20520429125770373,0.20520429125770373
