symbol,status,error,dist_vwap_norm_nan_before,dist_vwap_norm_nan_after,vwap_zone_1d_atr_nan_before,vwap_zone_1d_atr_nan_after,vwap_zone_7d_atr_nan_before,vwap_zone_7d_atr_nan_after,dist_vwap_12_atr_nan_before,dist_vwap_12_atr_nan_after,dist_vwap_24_atr_nan_before,dist_vwap_24_atr_nan_after,dist_vwap_96_atr_nan_before,dist_vwap_96_atr_nan_after,trapped_longs_12_nan_before,trapped_longs_12_nan_after,trapped_longs_24_nan_before,trapped_longs_24_nan_after,trapped_longs_96_nan_before,trapped_longs_96_nan_after,dist_stack_nan_before,dist_stack_nan_after,oi_rel_vol_2h_nan_before,oi_rel_vol_2h_nan_after,oi_rel_vol_4h_nan_before,oi_rel_vol_4h_nan_after,oi_rel_vol_8h_nan_before,oi_rel_vol_8h_nan_after,unwind_score_nan_before,unwind_score_nan_after
1INCH_USD:USD,updated,,0.07261469984021912,0.07261469984021912,0.06548162519972608,0.06548162519972608,0.06365555809175988,0.06365555809175988,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.07261469984021912,0.1092216388952294,0.1092216388952294,0.41186372974206803,0.41186372974206803,0.3091189226204063,0.3091189226204063,0.23844441908240127,0.23844441908240127,0.19958342844099522,0.19958342844099522
2Z_USD:USD,updated,,0.919053868979685,0.919053868979685,0.8925758959141749,0.8925758959141749,0.8553127139922392,0.8553127139922392,0.919053868979685,0.919053868979685,0.919053868979685,0.919053868979685,0.919053868979685,0.919053868979685,0.919053868979685,0.919053868979685,0.919053868979685,0.919053868979685,0.919053868979685,0.919053868979685,0.946787263181922,0.946787263181922,0.9767461766719927,0.9767461766719927,0.9654759187400137,0.9654759187400137,0.9511527048619036,0.9511527048619036,0.8608479799132618,0.8608479799132618
AAVE_USD:USD,updated,,0.02413832458342844,0.02413832458342844,0.023967130792056607,0.023967130792056607,0.023967130792056607,0.023967130792056607,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.02413832458342844,0.06570988358822187,0.06570988358822187,0.20363501483679525,0.20363501483679525,0.19872745948413603,0.19872745948413603,0.1975576352430952,0.1975576352430952,0.19955489614243324,0.19955489614243324
ADA_USD:USD,updated,,0.0,0.0,2.8532298561972153e-05,2.8532298561972153e-05,2.8532298561972153e-05,2.8532298561972153e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0417998173932892,0.0417998173932892,0.19758616754165714,0.19758616754165714,0.19747203834740926,0.19747203834740926,0.19747203834740926,0.19747203834740926,0.19952636384387126,0.19952636384387126
AEVO_USD:USD,updated,,0.5089020771513353,0.5089020771513353,0.5013124857338507,0.5013124857338507,0.5003709198813057,0.5003709198813057,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5089020771513353,0.5507018945446245,0.5507018945446245,0.7196986989271855,0.7196986989271855,0.6307349920109564,0.6307349920109564,0.560459940652819,0.560459940652819,0.5027676329605113,0.5027676329605113
AIXBT_USD:USD,updated,,0.6668854142889751,0.6668854142889751,0.6669139465875371,0.6669139465875371,0.6669139465875371,0.6669139465875371,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.6668854142889751,0.7086852316822643,0.7086852316822643,0.7033782241497375,0.7033782241497375,0.680324126911664,0.680324126911664,0.6707087422962794,0.6707087422962794,0.6692821273681808,0.6692821273681808
AKT_USD:USD,updated,,0.6252853229856197,0.6252853229856197,0.6237445788632733,0.6237445788632733,0.6237445788632733,0.6237445788632733,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6252853229856197,0.6670851403789089,0.6670851403789089,0.7660066194932664,0.7660066194932664,0.7044339191965304,0.7044339191965304,0.655757817849806,0.655757817849806,0.6261127596439169,0.6261127596439169
ALCH_USD:USD,updated,,0.678212736818078,0.678212736818078,0.67418968272084,0.67418968272084,0.6716217758502625,0.6716217758502625,0.678212736818078,0.678212736818078,0.678212736818078,0.678212736818078,0.678212736818078,0.678212736818078,0.678212736818078,0.678212736818078,0.678212736818078,0.678212736818078,0.678212736818078,0.678212736818078,0.7200125542113672,0.7200125542113672,0.7650079890435973,0.7650079890435973,0.7271456288518603,0.7271456288518603,0.6990698470668797,0.6990698470668797,0.6818363387354486,0.6818363387354486
ALGO_USD:USD,updated,,0.030301301072814427,0.030301301072814427,0.030044510385756677,0.030044510385756677,0.030044510385756677,0.030044510385756677,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.030301301072814427,0.07201552157041771,0.07201552157041771,0.25773225291029445,0.25773225291029445,0.2203834740926729,0.2203834740926729,0.2027790458799361,0.2027790458799361,0.19952636384387126,0.19952636384387126
ALICE_USD:USD,updated,,0.10999201095640265,0.10999201095640265,0.0873944304953207,0.0873944304953207,0.0828863273225291,0.0828863273225291,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.10999201095640265,0.14657041771285095,0.14657041771285095,0.5795195160922164,0.5795195160922164,0.43991097922848665,0.43991097922848665,0.31879137183291484,0.31879137183291484,0.19955489614243324,0.19955489614243324
ALT_USD:USD,updated,,0.5213136270257932,0.5213136270257932,0.5095012554211368,0.5095012554211368,0.5050216845469071,0.5050216845469071,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5213136270257932,0.5616582971924218,0.5616582971924218,0.7306836338735448,0.7306836338735448,0.6505364072129651,0.6505364072129651,0.5812029217073728,0.5812029217073728,0.507104542341931,0.507104542341931
ANIME_USD:USD,updated,,0.7041485962109107,0.7041485962109107,0.6826352430951838,0.6826352430951838,0.669110933576809,0.669110933576809,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7041485962109107,0.7363044966902533,0.7363044966902533,0.8845868523168227,0.8845868523168227,0.8330289888153389,0.8330289888153389,0.775679068705775,0.775679068705775,0.6714505820588906,0.6714505820588906
ANKR_USD:USD,updated,,0.09027619265007988,0.09027619265007988,0.0794053868979685,0.0794053868979685,0.07869207943391919,0.07869207943391919,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.09027619265007988,0.12751084227345355,0.12751084227345355,0.48085482766491666,0.48085482766491666,0.35049075553526593,0.35049075553526593,0.26069961196073954,0.26069961196073954,0.19952636384387126,0.19952636384387126
APE_USD:USD,updated,,0.014266149280986077,0.014266149280986077,0.014294681579548048,0.014294681579548048,0.014294681579548048,0.014294681579548048,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.014266149280986077,0.056065966674275276,0.056065966674275276,0.21307920566080804,0.21307920566080804,0.199811686829491,0.199811686829491,0.1975291029445332,0.1975291029445332,0.19952636384387126,0.19952636384387126
API3_USD:USD,updated,,0.42416115042227803,0.42416115042227803,0.42313398767404703,0.42313398767404703,0.42313398767404703,0.42313398767404703,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.42416115042227803,0.46593243551700525,0.46593243551700525,0.5861675416571559,0.5861675416571559,0.5033668112303127,0.5033668112303127,0.4500114129194248,0.4500114129194248,0.4391120748687514,0.4391120748687514
APT_USD:USD,updated,,0.10251654873316594,0.10251654873316594,0.10188883816480256,0.10188883816480256,0.10188883816480256,0.10188883816480256,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.10251654873316594,0.1436601232595298,0.1436601232595298,0.2548219584569733,0.2548219584569733,0.22246633188769688,0.22246633188769688,0.2033782241497375,0.2033782241497375,0.19958342844099522,0.19958342844099522
