metric,old_rows,new_rows,delta_rows,old_pct_of_price_rows,new_pct_of_price_rows,delta_pct_points
price_rows,4731222,4731696,474,100.0,100.0,0.0
missing_oi,356781,356785,4,7.5409904671562655,7.540319580970545,-0.0006708861857204762
missing_volume,1716932,22810,-1694122,36.289398383757934,0.4820681632970504,-35.807330220460884
missing_funding,324,324,0,0.0068481250721272435,0.006847439057792386,-6.860143348581837e-07
missing_any,1918733,372793,-1545940,40.55470235808001,7.878633792196286,-32.67606856588372
valid_all,2812489,4358903,1546414,59.44529764191999,92.12136620780372,32.67606856588372
actual_trades,0,1980714,1980714,0.0,41.86055063554379,41.86055063554379
confirmed_no_trades,0,1693949,1693949,0.0,35.80003871761838,35.80003871761838
unavailable_volume,0,30122,30122,0.0,0.6366004916630316,0.6366004916630316
chart_positive_volume,3014290,3014767,477,63.71060161624206,63.71430032698635,0.0036987107442931766
