symbol,price_rows,confirmed_no_trades_aligned,confirmed_with_any_price_move,confirmed_with_open_close_move,confirmed_with_high_low_move,confirmed_with_chart_positive_volume,confirmed_all_prices_flat
PNUT_USD:USD,13053,1419,23,23,23,23,1396
POL_USD:USD,14664,1290,4,4,4,4,1286
POPCAT_USD:USD,16916,37,0,0,0,0,37
PORTAL_USD:USD,16749,10938,20,20,20,20,10918
POWR_USD:USD,17729,14287,11,11,11,11,14276
PROMPT_USD:USD,5606,4668,8,8,8,8,4660
PUMP_USD:USD,7531,157,6,6,6,6,151
PYTH_USD:USD,21763,2378,4,4,4,4,2374
QNT_USD:USD,31674,12608,26,26,26,26,12582
QTUM_USD:USD,32855,23154,14,14,14,14,23140
RARE_USD:USD,15502,9434,12,12,12,13,9422
RARI_USD:USD,5108,1955,0,0,0,0,1955
RAVE_USD:USD,1609,120,5,5,5,5,115
RAY_USD:USD,13841,2885,25,24,25,25,2860
RENDER_USD:USD,15909,324,1,1,1,1,323
REZ_USD:USD,16177,10383,19,19,19,20,10364
RIVER_USD:USD,4771,651,0,0,0,0,651
RLC_USD:USD,27303,19996,20,20,20,21,19976
RSR_USD:USD,14541,8161,23,23,23,23,8138
RUNE_USD:USD,32517,7182,12,12,12,12,7170
SAGA_USD:USD,18493,8818,18,17,18,20,8800
SAND_USD:USD,33860,11048,1,1,1,1,11047
SEI_USD:USD,19248,749,1,1,1,1,748
SHIB_USD:USD,26145,2897,0,0,0,0,2897
SNX_USD:USD,34031,6685,20,20,20,21,6665
SOLV_USD:USD,11179,8012,16,16,16,16,7996
SOL_USD:USD,35135,12,0,0,0,0,12
SONIC_USD:USD,11539,8944,13,12,13,15,8931
SOON_USD:USD,5732,4704,11,11,11,11,4693
SPELL_USD:USD,19605,12236,7,7,7,7,12229
SPK_USD:USD,7885,4787,26,26,26,26,4761
SPX_USD:USD,12476,780,6,6,6,6,774
SSV_USD:USD,13507,10083,3,3,3,3,10080
STBL_USD:USD,5759,4947,12,12,12,12,4935
