symbol,status,error,oi_rel_vol_2h_nan_before,oi_rel_vol_2h_nan_after,oi_rel_vol_4h_nan_before,oi_rel_vol_4h_nan_after,oi_rel_vol_8h_nan_before,oi_rel_vol_8h_nan_after,leverage_build_nan_before,leverage_build_nan_after,leverage_build_score_nan_before,leverage_build_score_nan_after,unwind_score_nan_before,unwind_score_nan_after
1INCH_USD:USD,updated,,0.41186372974206803,0.41186372974206803,0.3091189226204063,0.3091189226204063,0.23844441908240127,0.23844441908240127,0.19958342844099522,0.19958342844099522,0.19958342844099522,0.19958342844099522,0.19958342844099522,0.19958342844099522
2Z_USD:USD,updated,,0.9767461766719927,0.9767461766719927,0.9654759187400137,0.9654759187400137,0.9511527048619036,0.9511527048619036,0.8467530244236475,0.8467530244236475,0.8467530244236475,0.8467530244236475,0.8608479799132618,0.8608479799132618
AAVE_USD:USD,updated,,0.20363501483679525,0.20363501483679525,0.19872745948413603,0.19872745948413603,0.1975576352430952,0.1975576352430952,0.19955489614243324,0.19955489614243324,0.19955489614243324,0.19955489614243324,0.19955489614243324,0.19955489614243324
ADA_USD:USD,updated,,0.19758616754165714,0.19758616754165714,0.19747203834740926,0.19747203834740926,0.19747203834740926,0.19747203834740926,0.19952636384387126,0.19952636384387126,0.19952636384387126,0.19952636384387126,0.19952636384387126,0.19952636384387126
AEVO_USD:USD,updated,,0.7196986989271855,0.7196986989271855,0.6307349920109564,0.6307349920109564,0.560459940652819,0.560459940652819,0.5027676329605113,0.5027676329605113,0.5027676329605113,0.5027676329605113,0.5027676329605113,0.5027676329605113
AIXBT_USD:USD,updated,,0.7033782241497375,0.7033782241497375,0.680324126911664,0.680324126911664,0.6707087422962794,0.6707087422962794,0.6692821273681808,0.6692821273681808,0.6692821273681808,0.6692821273681808,0.6692821273681808,0.6692821273681808
AKT_USD:USD,updated,,0.7660066194932664,0.7660066194932664,0.7044339191965304,0.7044339191965304,0.655757817849806,0.655757817849806,0.6261127596439169,0.6261127596439169,0.6261127596439169,0.6261127596439169,0.6261127596439169,0.6261127596439169
ALCH_USD:USD,updated,,0.7650079890435973,0.7650079890435973,0.7271456288518603,0.7271456288518603,0.6990698470668797,0.6990698470668797,0.6739899566309062,0.6739899566309062,0.6739899566309062,0.6739899566309062,0.6818363387354486,0.6818363387354486
ALGO_USD:USD,updated,,0.25773225291029445,0.25773225291029445,0.2203834740926729,0.2203834740926729,0.2027790458799361,0.2027790458799361,0.19952636384387126,0.19952636384387126,0.19952636384387126,0.19952636384387126,0.19952636384387126,0.19952636384387126
ALICE_USD:USD,updated,,0.5795195160922164,0.5795195160922164,0.43991097922848665,0.43991097922848665,0.31879137183291484,0.31879137183291484,0.19955489614243324,0.19955489614243324,0.19955489614243324,0.19955489614243324,0.19955489614243324,0.19955489614243324
