path,rows,updated,missing_columns,fund_payment_pressure_5h_old_bad_rows,fund_payment_pressure_5h_old_bad_pct,fund_payment_pressure_5h_new_bad_rows,fund_payment_pressure_5h_new_bad_pct,fund_payment_pressure_5h_changed_rows,fund_payment_pressure_10h_old_bad_rows,fund_payment_pressure_10h_old_bad_pct,fund_payment_pressure_10h_new_bad_rows,fund_payment_pressure_10h_new_bad_pct,fund_payment_pressure_10h_changed_rows
data_perp/features/20260523_015947/symbol=1INCH_USD:USD.parquet,35048,True,,2232,6.368409039032184,0,0.0,3873,2232,6.368409039032184,0,0.0,4178
data_perp/features/20260523_015947/symbol=2Z_USD:USD.parquet,35048,True,,29594,84.4384843643004,0,0.0,29847,29594,84.4384843643004,0,0.0,29891
data_perp/features/20260523_015947/symbol=AAVE_USD:USD.parquet,35048,True,,840,2.396713079205661,0,0.0,2560,840,2.396713079205661,0,0.0,2957
data_perp/features/20260523_015947/symbol=ADA_USD:USD.parquet,35048,True,,10,0.028532298561972154,0,0.0,1812,10,0.028532298561972154,0,0.0,2209
data_perp/features/20260523_015947/symbol=AEVO_USD:USD.parquet,35048,True,,17538,50.039945217986755,0,0.0,18409,17538,50.039945217986755,0,0.0,18577
data_perp/features/20260523_015947/symbol=AIXBT_USD:USD.parquet,35048,True,,23375,66.69424788860991,0,0.0,23929,23375,66.69424788860991,0,0.0,23987
data_perp/features/20260523_015947/symbol=AKT_USD:USD.parquet,35048,True,,21862,62.37731111618352,0,0.0,22469,21862,62.37731111618352,0,0.0,22592
data_perp/features/20260523_015947/symbol=ALCH_USD:USD.parquet,35048,True,,23540,67.16503081488244,0,0.0,24098,23540,67.16503081488244,0,0.0,24269
data_perp/features/20260523_015947/symbol=ALEO_USD:USD.parquet,35048,True,,33378,95.23510614015065,0,0.0,33436,33378,95.23510614015065,0,0.0,33448
data_perp/features/20260523_015947/symbol=ALGO_USD:USD.parquet,35048,True,,1056,3.0130107281442595,0,0.0,2718,1056,3.0130107281442595,0,0.0,3072
data_perp/features/20260523_015947/symbol=ALICE_USD:USD.parquet,35048,True,,2904,8.285779502396712,0,0.0,4512,2904,8.285779502396712,0,0.0,4892
data_perp/features/20260523_015947/symbol=ALT_USD:USD.parquet,35048,True,,17686,50.46222323670395,0,0.0,18543,17686,50.46222323670395,0,0.0,18686
data_perp/features/20260523_015947/symbol=ANIME_USD:USD.parquet,35048,True,,23451,66.9110933576809,0,0.0,24082,23451,66.9110933576809,0,0.0,24169
data_perp/features/20260523_015947/symbol=ANKR_USD:USD.parquet,35048,True,,2748,7.840675644829948,0,0.0,4734,2748,7.840675644829948,0,0.0,5143
data_perp/features/20260523_015947/symbol=APE_USD:USD.parquet,35048,True,,504,1.4380278475233965,0,0.0,2179,504,1.4380278475233965,0,0.0,2532
data_perp/features/20260523_015947/symbol=API3_USD:USD.parquet,35048,True,,14830,42.313398767404706,0,0.0,15782,14830,42.313398767404706,0,0.0,15944
data_perp/features/20260523_015947/symbol=APT_USD:USD.parquet,35048,True,,3572,10.191737046336453,0,0.0,5331,3572,10.191737046336453,0,0.0,5695
data_perp/features/20260523_015947/symbol=ARB_USD:USD.parquet,35048,True,,7295,20.814311800958684,0,0.0,8745,7295,20.814311800958684,0,0.0,9010
data_perp/features/20260523_015947/symbol=ARC_USD:USD.parquet,35048,True,,23544,67.17644373430723,0,0.0,24199,23544,67.17644373430723,0,0.0,24287
data_perp/features/20260523_015947/symbol=ARKM_USD:USD.parquet,35048,True,,17355,49.51780415430267,0,0.0,18226,17355,49.51780415430267,0,0.0,18397
data_perp/features/20260523_015947/symbol=AR_USD:USD.parquet,35048,True,,17223,49.141177813284635,0,0.0,18117,17223,49.141177813284635,0,0.0,18294
data_perp/features/20260523_015947/symbol=ASTER_USD:USD.parquet,35048,True,,29320,83.65669938370235,0,0.0,29537,29320,83.65669938370235,0,0.0,29563
data_perp/features/20260523_015947/symbol=ASTR_USD:USD.parquet,35048,True,,17037,48.610477060031954,0,0.0,17873,17037,48.610477060031954,0,0.0,18030
data_perp/features/20260523_015947/symbol=ATH_USD:USD.parquet,35048,True,,21752,62.06345583200182,0,0.0,22426,21752,62.06345583200182,0,0.0,22603
data_perp/features/20260523_015947/symbol=ATOM_USD:USD.parquet,35048,True,,10,0.028532298561972154,0,0.0,1871,10,0.028532298561972154,0,0.0,2313
data_perp/features/20260523_015947/symbol=AUCTION_USD:USD.parquet,35048,True,,19582,55.87194704405387,0,0.0,20361,19582,55.87194704405387,0,0.0,20527
data_perp/features/20260523_015947/symbol=AUD_USD:USD.parquet,35048,True,,26035,74.2838393060945,0,0.0,26390,26035,74.2838393060945,0,0.0,26452
data_perp/features/20260523_015947/symbol=AVAX_USD:USD.parquet,35048,True,,10,0.028532298561972154,0,0.0,1859,10,0.028532298561972154,0,0.0,2251
data_perp/features/20260523_015947/symbol=AXS_USD:USD.parquet,35048,True,,1732,4.941794110933577,0,0.0,3342,1732,4.941794110933577,0,0.0,3653
data_perp/features/20260523_015947/symbol=B3_USD:USD.parquet,35048,True,,24621,70.24937228943163,0,0.0,25048,24621,70.24937228943163,0,0.0,25138
data_perp/features/20260523_015947/symbol=BAND_USD:USD.parquet,35048,True,,2904,8.285779502396712,0,0.0,4462,2904,8.285779502396712,0,0.0,4789
data_perp/features/20260523_015947/symbol=BAT_USD:USD.parquet,35048,True,,1396,3.9831088792513123,0,0.0,3176,1396,3.9831088792513123,0,0.0,3542
data_perp/features/20260523_015947/symbol=BCH_USD:USD.parquet,35048,True,,10,0.028532298561972154,0,0.0,1729,10,0.028532298561972154,0,0.0,2096
data_perp/features/20260523_015947/symbol=BDX_USD:USD.parquet,35048,True,,34921,99.63763980826296,0,0.0,34921,34921,99.63763980826296,0,0.0,34921
data_perp/features/20260523_015947/symbol=BEAM_USD:USD.parquet,35048,True,,16702,47.654645058205894,0,0.0,17602,16702,47.654645058205894,0,0.0,17923
data_perp/features/20260523_015947/symbol=BERA_USD:USD.parquet,35048,True,,23906,68.20931294225063,0,0.0,24672,23906,68.20931294225063,0,0.0,24786
data_perp/features/20260523_015947/symbol=BICO_USD:USD.parquet,35048,True,,17020,48.5619721524766,0,0.0,17925,17020,48.5619721524766,0,0.0,18093
data_perp/features/20260523_015947/symbol=BIGTIME_USD:USD.parquet,35048,True,,18336,52.31682264323214,0,0.0,19042,18336,52.31682264323214,0,0.0,19249
data_perp/features/20260523_015947/symbol=BIO_USD:USD.parquet,35048,True,,23546,67.18215019401963,0,0.0,24236,23546,67.18215019401963,0,0.0,24379
data_perp/features/20260523_015947/symbol=BLUR_USD:USD.parquet,35048,True,,6456,18.42045195160922,0,0.0,7982,6456,18.42045195160922,0,0.0,8315
data_perp/features/20260523_015947/symbol=BNB_USD:USD.parquet,35048,True,,13150,37.51997260899338,0,0.0,14282,13150,37.51997260899338,0,0.0,14447
data_perp/features/20260523_015947/symbol=BNT_USD:USD.parquet,35048,True,,18167,51.83462679753481,0,0.0,18975,18167,51.83462679753481,0,0.0,19181
data_perp/features/20260523_015947/symbol=BONK_USD:USD.parquet,35048,True,,13850,39.51723350833143,0,0.0,14905,13850,39.51723350833143,0,0.0,15093
data_perp/features/20260523_015947/symbol=BTC_USD:BTC.parquet,35048,True,,11,0.03138552841816937,0,0.0,1881,11,0.03138552841816937,0,0.0,2074
data_perp/features/20260523_015947/symbol=BTC_USD:USD.parquet,35048,True,,10,0.028532298561972154,0,0.0,1695,10,0.028532298561972154,0,0.0,2118
data_perp/features/20260523_015947/symbol=C98_USD:USD.parquet,35048,True,,17541,50.048504907555355,0,0.0,18220,17541,50.048504907555355,0,0.0,18402
