fold_id,seed,group,gain,split
0,42,location,39.36613,566.0
0,42,regime,108.33629,1889.0
1,42,location,0.938062,3.0
1,42,regime,4.0374193,6.0
2,42,location,2.7031784,17.0
2,42,regime,8.990708,28.0
