,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vp_in_hvn_below_zone,0.02213137,0.009965949,0.049147107,39.333332,11.070481,139.75102,75.2573,33.082157,171.19987,0.022710338,0.010162354,0.05075196,0.32751778,0.08575445,1.2508726,9.5,0.5,0.8333333,1.0,0.91618496,1.0,0.0,4.0,4.8333335,0.9290463,1.0
G_EXH_EFFORT,0.018600576,0.00884398,0.039120555,37.833332,12.837662,111.497025,66.94088,31.634611,141.65123,0.019722326,0.009489026,0.04099158,0.29449233,0.10022852,0.86528003,19.0,1.0,1.0,0.833612,0.82080925,0.8333333,0.0,2.0,10.333333,0.7886889,2.0
impact_12,0.014728571,0.0025481882,0.08513139,32.0,6.164414,166.11473,55.179146,7.4498687,408.6969,0.01650719,0.0022859706,0.11919983,0.26392165,0.07781804,0.8950962,4.0,1.0,1.0,0.6511447,0.9653179,1.0,0.0,4.5,2.0,0.749459,3.0
trap_quality,0.014134245,0.005227924,0.038213424,33.333332,8.844333,125.62973,51.192924,19.68125,133.15799,0.01589964,0.0062606246,0.04037913,0.23888698,0.100059874,0.5703284,22.0,0.0,0.6666667,0.6231372,0.87283236,1.0,0.0,8.0,7.3333335,0.71093357,4.0
body_pct,0.013623101,0.0028199803,0.06581212,35.333332,7.8031335,159.9927,49.15266,11.358764,212.69778,0.014456843,0.0031846636,0.06562712,0.22998734,0.063342035,0.8350564,6.0,1.0,0.8333333,0.59904957,0.90751445,1.0,0.0,6.0,5.3333335,0.7063559,5.0
climax_vol_24,0.01330476,0.0016610458,0.10656939,23.5,2.9297326,188.49843,42.80668,6.258623,292.78192,0.013761981,0.0017937882,0.105582215,0.21136235,0.08796696,0.5078503,1.0,0.0,0.6666667,0.58404785,0.92774564,1.0,0.0,11.0,4.1666665,0.7031628,6.0
climax_vol_12,0.0135983275,0.0031399115,0.058891635,26.333334,4.346135,159.55429,44.98622,12.525688,161.56877,0.014146268,0.0035155818,0.056922846,0.21194667,0.07810289,0.57515657,7.0,0.0,0.6666667,0.59788215,0.84682083,1.0,0.0,6.5,8.833333,0.69054043,7.0
dn_vol_6,0.012866294,0.0024416733,0.06779839,27.833334,4.844814,159.9018,49.246483,9.462024,256.3105,0.014067829,0.0028212715,0.07014702,0.23811758,0.08511723,0.66613984,5.0,0.0,0.6666667,0.56338525,0.90751445,1.0,0.0,6.0,5.3333335,0.6867405,8.0
ker_10,0.012427759,0.003204951,0.04819081,23.833334,3.6247606,156.70767,48.469517,12.438627,188.87083,0.013784831,0.0035934045,0.05288065,0.22746326,0.06762687,0.76507354,9.5,0.0,0.6666667,0.54271936,0.94219655,1.0,0.0,9.5,3.3333333,0.68404484,9.0
atr_pct_base,0.010835655,0.0011046953,0.106284,29.666666,3.3499587,262.723,40.49643,3.984002,411.63654,0.011557566,0.0014289095,0.09348201,0.1908921,0.048807982,0.74659497,3.0,0.0,0.6666667,0.4676918,0.95953757,1.0,0.0,11.5,2.3333333,0.6471149,10.0
dn_vol,0.011931653,0.002574003,0.055308536,26.833334,4.81029,149.6849,44.21696,11.418143,171.23094,0.01263315,0.0030006487,0.053187333,0.20050816,0.042969115,0.9356378,8.0,0.5,0.6666667,0.5193405,0.84393066,1.0,0.0,10.5,9.0,0.6466199,11.0
dir_path_long_2h,0.011742848,0.0033891369,0.040687192,27.166666,3.578485,206.24028,40.60318,11.598889,142.13586,0.012395163,0.0035832415,0.042877395,0.1979294,0.09581734,0.40886173,14.5,0.5,0.6666667,0.5104431,0.8583815,1.0,0.0,14.5,8.166667,0.64533913,12.0
ffd_atr_expansion_06,0.0103938,0.0031691303,0.034088556,25.333334,4.068852,157.72945,35.839775,9.446648,135.97305,0.010511065,0.0030478495,0.036249325,0.17600021,0.08441889,0.36693293,23.0,0.0,0.6666667,0.4468695,0.84393066,1.0,0.0,19.0,9.0,0.60676086,13.0
vol_expansion_ratio,0.011462778,0.0028358113,0.046334278,23.833334,2.114763,268.60117,37.80179,9.140366,156.33675,0.011725499,0.0029485796,0.04662833,0.17828299,0.07159585,0.44394788,12.0,0.5,0.8333333,0.49724483,0.7976879,0.8333333,0.0,16.0,11.666667,0.59790665,14.0
loc_vwap_dev_z_24,0.011588055,0.0029766022,0.045112852,24.333334,6.92018,85.562965,37.6032,10.863593,130.15956,0.011843305,0.003409796,0.04113556,0.1770141,0.061766557,0.507297,14.5,0.0,0.6666667,0.5031485,0.77745664,0.8333333,0.0,18.0,12.833333,0.5960958,15.0
ker_16,0.009280085,0.0021825635,0.039458167,20.0,5.1639776,77.45966,35.46939,9.240155,136.1533,0.009910303,0.0029019187,0.033844538,0.16184887,0.03889978,0.6733986,21.0,0.0,0.6666667,0.39438587,0.7919075,0.8333333,0.0,16.0,12.0,0.5398891,16.0
stall_x_flow,0.007718843,0.00059995754,0.09930792,22.833334,2.2669117,229.98738,28.453535,1.0896004,743.028,0.008379259,0.00023182876,0.30286142,0.13469039,0.038686562,0.46893543,2.0,0.5,0.8333333,0.3208127,0.9132948,0.8333333,0.0,29.0,5.0,0.5297707,17.0
up_down_semivol_ratio_tanh,0.008166159,0.0016823433,0.039638847,23.5,3.5939765,153.65988,30.916986,7.6672716,124.66756,0.008646419,0.001823389,0.04100089,0.15253273,0.07377064,0.3153861,18.0,0.0,0.6666667,0.34189236,0.78612715,0.6666667,0.0,28.0,12.333333,0.4845726,18.0
up_vol,0.00841995,0.002681438,0.026439374,20.5,5.469613,76.83359,32.106747,8.874775,116.15429,0.009068242,0.0026355374,0.03120161,0.16208768,0.08797025,0.29865116,32.0,0.0,0.6666667,0.3538522,0.6936416,0.6666667,0.0,20.5,17.666666,0.46802914,19.0
range_expansion_ratio_G_VOL_1,0.008802367,0.0023830377,0.032513827,19.666666,2.2110832,174.92683,28.27826,7.0526085,113.38499,0.008986903,0.0023157154,0.034876663,0.14349881,0.07964234,0.2585548,26.0,0.0,0.0,0.37187356,0.7514451,0.5,0.0,41.5,14.333333,0.46739173,20.0
