feature,symbol,finite_row_count,finite_row_pct_within_symbol
accel,1000CHEEMS/USDT,2160,1.0
accel,1MBABYDOGE/USDT,1080,1.0
accel,1000SATS/USDT,720,1.0
accel,1INCH/USDT,720,1.0
accel,1000CAT/USDT,360,1.0
accel,2Z/USDT,145,0.2013888888888889
accel,0G/USDT,0,0.0
accel_5h,1000CHEEMS/USDT,2160,1.0
accel_5h,1MBABYDOGE/USDT,1080,1.0
accel_5h,1000SATS/USDT,720,1.0
accel_5h,1INCH/USDT,720,1.0
accel_5h,1000CAT/USDT,360,1.0
accel_5h,2Z/USDT,145,0.2013888888888889
accel_5h,0G/USDT,0,0.0
amihud_illiq,1000CHEEMS/USDT,2160,1.0
amihud_illiq,1MBABYDOGE/USDT,1080,1.0
amihud_illiq,1000SATS/USDT,720,1.0
amihud_illiq,1INCH/USDT,720,1.0
amihud_illiq,1000CAT/USDT,360,1.0
amihud_illiq,2Z/USDT,145,0.2013888888888889
amihud_illiq,0G/USDT,0,0.0
amihud_z,1000CHEEMS/USDT,2160,1.0
amihud_z,1MBABYDOGE/USDT,1080,1.0
amihud_z,1000SATS/USDT,720,1.0
amihud_z,1INCH/USDT,720,1.0
amihud_z,1000CAT/USDT,360,1.0
amihud_z,2Z/USDT,145,0.2013888888888889
amihud_z,0G/USDT,0,0.0
atr_change_rate,1000CHEEMS/USDT,2160,1.0
atr_change_rate,1MBABYDOGE/USDT,1080,1.0
atr_change_rate,1000SATS/USDT,720,1.0
atr_change_rate,1INCH/USDT,720,1.0
atr_change_rate,1000CAT/USDT,360,1.0
atr_change_rate,2Z/USDT,145,0.2013888888888889
atr_change_rate,0G/USDT,0,0.0
atr_compression_ratio,1000CHEEMS/USDT,2160,1.0
atr_compression_ratio,1MBABYDOGE/USDT,1080,1.0
atr_compression_ratio,1000SATS/USDT,720,1.0
atr_compression_ratio,1INCH/USDT,720,1.0
atr_compression_ratio,1000CAT/USDT,360,1.0
atr_compression_ratio,2Z/USDT,145,0.2013888888888889
atr_compression_ratio,0G/USDT,0,0.0
atr_pct_change,1000CHEEMS/USDT,2160,1.0
atr_pct_change,1MBABYDOGE/USDT,1080,1.0
atr_pct_change,1000SATS/USDT,720,1.0
atr_pct_change,1INCH/USDT,720,1.0
atr_pct_change,1000CAT/USDT,360,1.0
atr_pct_change,2Z/USDT,145,0.2013888888888889
atr_pct_change,0G/USDT,0,0.0
atr_percentile,1000CHEEMS/USDT,2160,1.0
atr_percentile,1MBABYDOGE/USDT,1080,1.0
atr_percentile,1000SATS/USDT,720,1.0
atr_percentile,1INCH/USDT,720,1.0
atr_percentile,1000CAT/USDT,360,1.0
atr_percentile,2Z/USDT,145,0.2013888888888889
atr_percentile,0G/USDT,0,0.0
atr_slope,1000CHEEMS/USDT,2160,1.0
atr_slope,1MBABYDOGE/USDT,1080,1.0
atr_slope,1000SATS/USDT,720,1.0
atr_slope,1INCH/USDT,720,1.0
atr_slope,1000CAT/USDT,360,1.0
atr_slope,2Z/USDT,145,0.2013888888888889
atr_slope,0G/USDT,0,0.0
autocorr_24h,1000CHEEMS/USDT,2160,1.0
autocorr_24h,1MBABYDOGE/USDT,1080,1.0
autocorr_24h,1000SATS/USDT,720,1.0
autocorr_24h,1INCH/USDT,720,1.0
autocorr_24h,1000CAT/USDT,360,1.0
autocorr_24h,2Z/USDT,145,0.2013888888888889
autocorr_24h,0G/USDT,0,0.0
autocorr_6h,1000CHEEMS/USDT,2160,1.0
autocorr_6h,1MBABYDOGE/USDT,1080,1.0
autocorr_6h,1000SATS/USDT,720,1.0
autocorr_6h,1INCH/USDT,720,1.0
