regime_family,generated_booleans,retained,dropped
compression,54,36,18
context,36,0,36
liquidity,72,54,18
momentum,18,18,0
path_structure,54,0,54
trend,198,72,126
volatility,144,54,90
volatility_term_structure,72,19,53
