reason,usage_count
interaction_group_violation_regime:trend,6206
interaction_group_violation_location,3018
group_violation_location_3,1643
group_violation_location_2,1617
interaction_group_violation_regime:volatility,834
group_violation_location_4,675
interaction_group_violation_regime:liquidity,611
interaction_group_violation_regime:compression,239
interaction_group_violation_regime:momentum,177
group_violation_location_5,173
interaction_group_violation_regime:volatility_term_structure,66
all_negative_path,24
group_violation_location_6,11
