fold_id,seed,best_iteration,best_val_metric,max_depth,num_leaves,min_data_in_leaf,objective,metric
0,42,132,,6,64,20,quantile,quantile
1,42,96,,6,64,20,quantile,quantile
2,42,228,,6,64,20,quantile,quantile
3,42,66,,6,64,20,quantile,quantile
4,42,3,,6,64,20,quantile,quantile
