fold_id,seed,group,used_feature_count,split_count
0,42,location,68,1507
0,42,regime,196,3018
1,42,location,71,1112
1,42,regime,196,2434
2,42,location,78,2876
2,42,regime,200,5770
3,42,location,72,812
3,42,regime,192,1808
4,42,location,29,39
4,42,regime,75,103
