side,source_horizon,cheap_rank,canonical_key
short,0,4.809851365208357,(*)|(loc_dist_ema20_atr_ts_bot70==0)|(reg_atr_change_rate_ts_bot20==0&reg_atr_change_rate_ts_bot60==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top80==0)
short,0,5.9030981660841775,(*)|(loc_dist_ema20_atr_ts_bot60==0&loc_dist_ema20_atr_ts_top80==0)|(reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top60==1)
short,0,5.489166490628494,(*)|(*)|(reg_atr_change_rate_ts_bot50==1&reg_atr_change_rate_ts_top40==1&reg_atr_change_rate_ts_top60==0)
short,0,6.743258672124849,(*)|(loc_dist_ema20_atr_ts_bot70==1)|(reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top60==1)
short,0,7.537174273534255,(*)|(loc_dist_ema20_atr_ts_bot70==1)|(reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==0)
short,0,6.591706383689627,(*)|(loc_dist_ema20_atr_ts_bot60==1&loc_dist_ema20_atr_ts_top80==0)|(reg_compression_ratio_ts_top40==1)
short,0,7.224215985572693,(*)|(loc_dist_ema20_atr_ts_bot70==1)|(reg_atr_change_rate_ts_bot40==0&reg_atr_change_rate_ts_bot50==0&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==1)
short,0,7.461186916385715,(*)|(loc_dist_ema20_atr_ts_bot70==1&loc_dist_ema20_atr_ts_top80==0)|(reg_atr_change_rate_ts_bot20==0&reg_atr_change_rate_ts_bot30==0&reg_atr_change_rate_ts_top60==0&reg_compression_ratio_ts_bot50==1)
short,0,8.523004909408554,(*)|(*)|(reg_atr_change_rate_ts_bot40==1&reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top50==0)
short,0,8.714212528966689,(*)|(*)|(reg_atr_change_rate_ts_top20==0&reg_atr_change_rate_ts_top60==0&reg_compression_ratio_ts_bot50==1)
short,0,7.29064220896324,(*)|(*)|(reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top50==1&reg_atr_change_rate_ts_top60==0)
short,0,8.90297398542109,(*)|(*)|(reg_atr_change_rate_ts_top20==1&reg_atr_change_rate_ts_top30==1&reg_atr_change_rate_ts_top40==0)
