families_combo,count
context|liquidity|unknown,50
context|unknown,34
context|liquidity,23
context|path_structure|unknown,21
compression|context|unknown,18
context|liquidity|path_structure|unknown,15
context,14
context|unknown|volatility,12
context|liquidity|unknown|volatility,11
context|liquidity|volatility_term_structure,10
context|path_structure|volatility_term_structure,10
compression|context|liquidity|unknown,10
compression|context|unknown|volatility_term_structure,8
compression|unknown,7
context|unknown|volatility_term_structure,7
unknown|volatility_term_structure,6
path_structure|unknown,6
context|liquidity|volatility,6
compression|unknown|volatility_term_structure,6
compression|context|volatility_term_structure,6
context|liquidity|unknown|volatility_term_structure,6
context|path_structure,5
context|path_structure|trend|volatility_term_structure,5
compression|context|path_structure|unknown,5
context|liquidity|path_structure,5
context|momentum|unknown,5
context|liquidity|momentum,5
path_structure|unknown|volatility,4
context|liquidity|momentum|unknown,4
context|volatility_term_structure,4
context|liquidity|unknown|volatility|volatility_term_structure,4
context|trend|volatility_term_structure,4
liquidity|path_structure|unknown,3
context|liquidity|momentum|volatility,3
unknown,3
context|momentum,3
context|momentum|unknown|volatility_term_structure,3
compression|context|liquidity,2
context|liquidity|momentum|path_structure|volatility,2
context|path_structure|unknown|volatility,2
context|liquidity|path_structure|trend|unknown,2
compression|path_structure|volatility_term_structure,2
context|liquidity|momentum|path_structure|trend|unknown,2
context|liquidity|momentum|path_structure,2
context|liquidity|path_structure|unknown|volatility,2
compression|liquidity|unknown,2
context|liquidity|path_structure|volatility_term_structure,2
unknown|volatility,2
liquidity|momentum,2
compression|context|trend|unknown,2
context|momentum|path_structure|volatility_term_structure,2
context|momentum|path_structure|unknown,2
compression|context,2
context|path_structure|unknown|volatility_term_structure,2
compression|context|liquidity|trend|unknown,2
compression|context|liquidity|momentum|unknown,2
context|momentum|volatility_term_structure,2
momentum|unknown|volatility_term_structure,2
compression|context|liquidity|unknown|volatility,2
trend|unknown,2
volatility_term_structure,2
liquidity|trend|unknown,2
liquidity|unknown|volatility|volatility_term_structure,2
compression|path_structure|unknown,2
compression|liquidity,2
path_structure|trend|volatility,2
context|liquidity|path_structure|trend,2
compression|context|volatility|volatility_term_structure,2
compression|context|liquidity|momentum,1
compression|liquidity|momentum,1
context|momentum|path_structure,1
liquidity|unknown,1
liquidity|trend,1
context|path_structure|volatility,1
liquidity|path_structure,1
path_structure|volatility_term_structure,1
context|liquidity|momentum|path_structure|trend,1
momentum,1
liquidity|trend|volatility_term_structure,1
liquidity|unknown|volatility_term_structure,1
