group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,36,648,648,0,0,0,0,0,74267.0,111716.0,185656.5,223156.0,297392.0
location,39,702,702,0,0,0,0,0,74267.0,111716.0,185656.5,223156.0,297392.0
