metric,value,filter_type
volume_kalman_snr_improvement,1.550785805349141,volume
volume_kalman_noise_reduction,-0.788881157929028,volume
volume_kalman_smoothness_ratio,100.0,volume
volume_kalman_tracking_rmse,847.6658948402376,volume
volume_kalman_high_freq_reduction,-1.0,volume
volume_kalman_low_freq_preservation,1.4320042801187338,volume
moving_average_snr_improvement,36.471421726878155,moving
moving_average_noise_reduction,0.971933493837887,moving
moving_average_smoothness_ratio,0.002529636548551765,moving
moving_average_tracking_rmse,103.21405324208281,moving
moving_average_high_freq_reduction,0.5908257391288414,moving
moving_average_low_freq_preservation,1.0253863235705614,moving
fisher_snr_improvement,4.236917267454139e-06,fisher
fisher_noise_reduction,-5.4040672438970816e-05,fisher
fisher_smoothness_ratio,0.0003981274859930575,fisher
fisher_tracking_rmse,4135.1509091042635,fisher
fisher_high_freq_reduction,0.999727278725587,fisher
fisher_low_freq_preservation,3.6845398458043447e-06,fisher
