canonical_key,display_arity,structural_depth,groups_used,regime_families_used
(*)|(*)|(reg_prior_volatility_ts_band20_80==0&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top20==1),3,3,regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==0)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==0),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==0)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==1),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==1)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==0),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==1)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==1),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_top60==0)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_bot40==0&reg_prior_volatility_ts_top50==0),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_top60==0)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_bot40==1&reg_prior_volatility_ts_top50==0),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_top60==0)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_top50==1),3,3,location|regime,context
(*)|(loc_dist_ema50_atr_ts_top60==1)|(reg_prior_volatility_ts_band30_70==1),2,2,location|regime,context
(*)|(*)|(reg_prior_volatility_ts_band20_80==0&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top20==1),3,3,regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==0)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==0),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==0)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==1),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==1)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==0),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==1)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==1),4,4,location|regime,context
(*)|(*)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_bot40==0&reg_prior_volatility_ts_top50==0),3,3,regime,context
(*)|(*)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_bot40==1&reg_prior_volatility_ts_top50==0),3,3,regime,context
(*)|(loc_dist_ema50_atr_ts_bot60==0)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_top50==1),3,3,location|regime,context
(*)|(loc_dist_ema50_atr_ts_bot60==1)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_top50==1),3,3,location|regime,context
(*)|(*)|(reg_prior_volatility_ts_band20_80==0&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top20==1),3,3,regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==0)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==0),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==0)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==1),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==1)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==0),4,4,location|regime,context
(*)|(loc_dist_ema50_atr_ts_band25_75==1)|(reg_prior_volatility_ts_band20_80==1&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_top30==1),4,4,location|regime,context
(*)|(*)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_bot40==0&reg_prior_volatility_ts_top50==0),3,3,regime,context
(*)|(*)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_bot40==1&reg_prior_volatility_ts_top50==0),3,3,regime,context
(*)|(loc_dist_ema50_atr_ts_top60==0)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_top50==1),3,3,location|regime,context
(*)|(loc_dist_ema50_atr_ts_top60==1)|(reg_prior_volatility_ts_band30_70==1&reg_prior_volatility_ts_top50==1),3,3,location|regime,context
(*)|(*)|(reg_prior_volatility_ts_band20_80==0&reg_prior_volatility_ts_band30_70==0&reg_prior_volatility_ts_bot20==1),3,3,regime,context
