,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,blended_mu,blended_std,blended_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
vp_in_lvn_below_zone,0.034408372,0.009563594,0.12379615,58.5,8.883505,385.23645,120.56846,34.798294,417.74326,0.03838933,0.011842557,0.12444446,0.33164692,0.081827916,1.3441584,4.0,0.0,0.0,1.0,0.97783935,1.0,0.0,1.5,1.3333334,0.9444598,1.0
reversion_target_distance,0.0340818,0.004194091,0.27695373,53.333332,5.4057584,526.18787,124.08687,14.094387,1092.4597,0.03939117,0.004490948,0.34550935,0.34751284,0.054748632,2.2058117,1.0,0.0,0.0,0.9902344,0.99168974,1.0,0.0,1.5,0.5,0.9425514,2.0
tf_tape,0.026529117,0.00693083,0.101545416,46.166668,8.070867,264.0808,90.29005,23.56051,346.0151,0.029232755,0.007839113,0.109011576,0.25553724,0.079073355,0.82580644,5.0,0.0,0.0,0.76438254,0.9529086,1.0,0.0,3.0,2.8333333,0.8086375,3.0
ffd_mr_z_04,0.018777682,0.002781858,0.1267503,31.5,2.43242,407.9271,61.145367,8.165157,457.89145,0.020794999,0.002932446,0.14746459,0.16904505,0.025964776,1.1005768,3.0,1.0,1.0,0.5325873,0.96121883,1.0,0.0,6.0,2.3333333,0.68322766,4.0
gap_pct,0.018557752,0.00417981,0.08239373,31.0,3.559026,270.0177,59.571625,12.207389,290.7074,0.020684244,0.004494874,0.09518353,0.16676316,0.046530355,0.5976733,7.0,0.0,0.0,0.52601063,0.9307479,1.0,0.0,7.0,4.1666665,0.6719929,5.0
dir_path_risk_skew_2h,0.018171005,0.008007316,0.04123547,39.666668,10.749677,146.37132,66.12387,26.736752,163.53392,0.01993224,0.008521281,0.046623763,0.18685295,0.0877279,0.39798087,16.0,0.33333334,0.33333334,0.51444554,0.86149585,1.0,0.0,8.5,8.333333,0.648319,6.0
G_EXH_GIVEBACK,0.019800974,0.008094075,0.048440196,33.5,9.8784275,113.60613,66.87828,28.154669,158.86191,0.02164458,0.009518561,0.049218345,0.18389805,0.07726639,0.437687,12.0,0.0,0.0,0.56318736,0.8365651,0.8333333,0.0,5.5,9.833333,0.6438943,7.0
ffd_z_24_06,0.015575281,0.0008896902,0.2726673,29.833334,2.3392782,380.47113,54.753334,5.1461234,582.56036,0.017589863,0.0015048768,0.20560043,0.15141551,0.020878911,1.0980773,2.0,0.33333334,0.33333334,0.43682426,0.966759,1.0,0.0,9.0,2.0,0.6319431,8.0
bb_pos_12,0.014234003,0.0027861686,0.0727188,30.0,3.91578,229.83926,46.895645,8.96404,245.33601,0.015356397,0.0029625322,0.07960046,0.12834153,0.023697797,0.69506663,8.0,0.33333334,0.33333334,0.3967153,0.9141274,1.0,0.0,13.0,5.1666665,0.5967253,9.0
up_down_return_mass_ratio_tanh,0.013477172,0.0032729409,0.055495705,27.0,4.7609525,153.12062,42.305298,10.469727,170.94412,0.014228204,0.0038158144,0.053053364,0.11708307,0.036335252,0.37727675,9.0,0.6666667,0.6666667,0.3740834,0.90581715,1.0,0.0,19.0,5.6666665,0.58220017,10.0
