group,raw_source_features,generated_booleans,retained,dropped,drop_reason_all_zeros,drop_reason_all_ones,drop_reason_low_support,drop_reason_duplicate,support_min,support_p25,support_median,support_p75,support_max
regime,67,67,66,1,0,0,0,0,5185.0,5185.0,5185.0,5185.0,5185.0
location,45,45,45,0,0,0,0,0,5185.0,5185.0,5185.0,5185.0,5185.0
