regime_family,generated_booleans,retained,dropped
compression,4,4,0
context,2,2,0
liquidity,7,7,0
momentum,1,1,0
path_structure,6,5,1
trend,5,5,0
unknown,33,33,0
volatility,5,5,0
volatility_term_structure,4,4,0
