,share_mu,share_std,share_stab,freq_mu,freq_std,freq_stab,mdi_depth_mu,mdi_depth_std,mdi_depth_stab,mdi_cov_mu,mdi_cov_std,mdi_cov_stab,composite_rank,top30_support,top30_lift,global_importance,stability_score,frequency_score,interaction_support,median_rank,mean_abs_rank_dev,final_score,final_rank
ret120h,0.01640283,0.004915822,0.05473201,50.5,6.0484157,421.63934,59.115387,16.579144,210.78464,0.03992948,0.011129934,0.14325,22.0,0.0,0.0,0.18632187,0.41304347,0.16666667,0.0,19.5,9.0,0.2307379,26.0
G_VOL,0.014239261,0.0035843868,0.056566596,58.0,8.445907,398.29947,43.249325,7.432594,251.66235,0.03460513,0.006124444,0.19553041,18.0,0.0,0.0,0.14911611,0.5869565,0.0,0.0,30.0,6.3333335,0.228753,27.0
rsi_lag1,0.0055679427,0.0017074815,0.018156558,30.666666,5.05525,186.03322,17.125916,3.875615,75.67753,0.013838422,0.0031218773,0.061341908,58.5,0.0,0.0,0.0,0.8043478,0.0,0.49994215,57.5,3.0,0.22608405,28.0
wick_body_ratio,0.012219006,0.002159889,0.06912582,39.166668,6.693695,229.17503,44.69298,14.158861,141.07509,0.030742506,0.00768032,0.12305498,23.0,0.0,0.0,0.11437485,0.6304348,0.0,0.0,33.5,5.6666665,0.22051486,29.0
comp_to_exp,0.008543187,0.001361852,0.053593222,39.333332,5.7348833,269.77203,26.600283,5.7300596,123.48476,0.02025197,0.0039155935,0.104745895,29.0,0.0,0.0,0.051163714,0.65217394,0.0,0.51437557,45.5,5.3333335,0.2169023,30.0
stall_x_flow,0.006982615,0.0018942927,0.02573885,42.0,4.163332,423.6991,20.51808,4.989255,84.379654,0.01672677,0.003926303,0.0712591,53.0,0.0,0.0,0.02432738,0.7173913,0.0,0.42565867,54.0,4.3333335,0.21401083,31.0
pullback_72,0.014936855,0.0048530316,0.04597325,35.833332,6.202598,207.01451,50.960552,17.068792,152.14774,0.035646003,0.011384247,0.11161366,31.0,0.0,0.0,0.16111228,0.35869566,0.16666667,0.14716221,26.5,9.833333,0.21064377,32.0
ts_24,0.008104162,0.002379078,0.02760626,31.666666,4.642796,215.98575,26.73494,8.295862,86.158264,0.020496815,0.0056398804,0.074490845,50.5,0.0,0.0,0.043614037,0.6413044,0.0,0.52386785,48.0,5.5,0.21050721,33.0
vol_price_spread,0.013821664,0.0036863487,0.051823203,37.5,8.261355,170.22025,51.27837,18.51896,141.98805,0.032420218,0.010834247,0.09701371,32.0,0.0,0.0,0.14193493,0.5,0.0,0.0,24.5,7.6666665,0.2030642,34.0
sin_hod,0.0066940617,0.0023911437,0.018740179,38.166668,6.4914474,224.4021,20.21665,6.1613717,66.334724,0.016016835,0.004885837,0.05250667,58.5,0.0,0.0,0.019365277,0.7173913,0.0,0.22134323,52.5,4.3333335,0.2010659,35.0
