window,n_trades,trades_per_day,gross_hit_rate,net_hit_rate,mean_gross_bps,median_gross_bps,mean_net_bps,median_net_bps,stop_loss_rate,capital_protect_rate,trailing_rate,adverse_exit_rate,delayed_1m_entry_coverage
june_to_now,1.0,1.0,0.0,0.0,-6.157115567475557,-6.157115567475557,-21.2484085932374,-21.2484085932374,1.0,0.0,0.0,0.0,0.0
may_to_now,234.0,7.943422913719944,0.6666666666666666,0.5341880341880342,36.89165911490484,21.475946996361017,21.869276944273274,6.31126924417913,0.2564102564102564,0.0,0.5683760683760684,0.0,0.6623931623931624
