strategy_id,side,mask_rows_total,mask_pass_total,mask_rows_eval,mask_pass_eval,scored_rows,selected_rows,finite_score_rows,finite_rank_rows,max_threshold_rank_score,finite_entry_price_rows,finite_exit_price_rows,finite_net_return_rows,reason,finite_rows
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,long,37410,5928,8370,1229,1229,63,1104,1104,0.9806235431235432,1223,1098,1096,ok,971
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,long,37410,4878,8370,1351,1351,120,1009,1009,0.9972392191142191,1339,1287,1278,ok,941
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,short,37410,3381,8370,823,823,26,823,823,0.9102199883449883,823,823,823,ok,823
short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,short,37410,4329,8370,748,748,56,632,632,0.9806453962703963,741,712,710,ok,597
