strategy_id,reason,input_selected_rows,path_rows,simulated_rows,delayed_1m_rows,entry_execution_sources,total_trades_after_sim_selection,mean_net_trade,win_rate,full_sl_exit_count,capital_protect_exit_count,trailing_exit_count,adverse_exit_count
long_dist_ema20_atr_-0_92271453_loc_bb_channel_pos_48_0_60767579_leverage_build_score_0_45107844_return_autocorr_48_1_18643_rolling_range_20_-0_25967735,ok,1275,1275,1275,1275,{'delayed_1m_intraminute_proxy': 1275},1275,0.0010665218578651547,0.41411764705882353,294,1,418,0
long_bars_in_high_vol_state_log_norm_-0_49417102_loc_range_pos_48_0_22034115_loc_swing_range_pos_24_1_0002919_atr_percentile_-1_477338_range_24h_pct_0_13988039_variance_ratio_10_48_0_92117828,ok,1815,1815,1815,1815,{'delayed_1m_intraminute_proxy': 1815},1815,0.0018489394569769502,0.48760330578512395,488,0,629,0
short_bollinger_band_width_-0_0062114433_oi_value_z_90d_0_082444385_price_rv_15d_robust_z_0_060036644,ok,988,988,988,988,{'delayed_1m_intraminute_proxy': 988},988,-0.0009972007246688008,0.44129554655870445,324,0,479,35
short_asset_minus_mkt_oi_1d_peer_resid_0_34164831_oi_expansion_compression_balance_24h_0_42287597,ok,799,799,799,799,{'delayed_1m_intraminute_proxy': 799},799,0.001894646673463285,0.523153942428035,172,3,353,0
